Model type: 	Bend axon, antidromic
Parameter ID:	327
Pulse duration in ms:	0.1400
Field orientation in degrees:	111.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.2202 kV/m: 	 no AP.
Increasing amplitude: 	0.2401 kV/m: 	 no AP.
Increasing amplitude: 	0.2618 kV/m: 	 no AP.
Increasing amplitude: 	0.2855 kV/m: 	 no AP.
Increasing amplitude: 	0.3114 kV/m: 	 no AP.
Increasing amplitude: 	0.3396 kV/m: 	 no AP.
Increasing amplitude: 	0.3703 kV/m: 	 no AP.
Increasing amplitude: 	0.4038 kV/m: 	 no AP.
Increasing amplitude: 	0.4403 kV/m: 	 no AP.
Increasing amplitude: 	0.4802 kV/m: 	 no AP.
Increasing amplitude: 	0.5237 kV/m: 	 no AP.
Increasing amplitude: 	0.5711 kV/m: 	 no AP.
Increasing amplitude: 	0.6227 kV/m: 	 no AP.
Increasing amplitude: 	0.6791 kV/m: 	 no AP.
Increasing amplitude: 	0.7406 kV/m: 	 no AP.
Increasing amplitude: 	0.8076 kV/m: 	 no AP.
Increasing amplitude: 	0.8807 kV/m: 	 no AP.
Increasing amplitude: 	0.9604 kV/m: 	 no AP.
Increasing amplitude: 	1.0473 kV/m: 	 no AP.
Increasing amplitude: 	1.1421 kV/m: 	 no AP.
Increasing amplitude: 	1.2455 kV/m: 	 no AP.
Increasing amplitude: 	1.3582 kV/m: 	 no AP.
Increasing amplitude: 	1.4811 kV/m: 	 no AP.
Increasing amplitude: 	1.6152 kV/m: 	 no AP.
Increasing amplitude: 	1.7614 kV/m: 	 no AP.
Increasing amplitude: 	1.9208 kV/m: 	 no AP.
Increasing amplitude: 	2.0947 kV/m: 	 no AP.
Increasing amplitude: 	2.2842 kV/m: 	 no AP.
Increasing amplitude: 	2.4910 kV/m: 	 no AP.
Increasing amplitude: 	2.7164 kV/m: 	 no AP.
Increasing amplitude: 	2.9623 kV/m: 	 no AP.
Increasing amplitude: 	3.2304 kV/m: 	 no AP.
Increasing amplitude: 	3.5228 kV/m: 	 no AP.
Increasing amplitude: 	3.8416 kV/m: 	 no AP.
Increasing amplitude: 	4.1893 kV/m: 	 no AP.
Increasing amplitude: 	4.5685 kV/m: 	 no AP.
Increasing amplitude: 	4.9820 kV/m: 	 no AP.
Increasing amplitude: 	5.4329 kV/m: 	 no AP.
Increasing amplitude: 	5.9246 kV/m: 	 no AP.
Increasing amplitude: 	6.4608 kV/m: 	 no AP.
Increasing amplitude: 	7.0456 kV/m: 	 no AP.
Increasing amplitude: 	7.6832 kV/m: 	 no AP.
Increasing amplitude: 	8.3786 kV/m: 	 no AP.
Increasing amplitude: 	9.1370 kV/m: 	 no AP.
Increasing amplitude: 	9.9639 kV/m: 	 no AP.
Increasing amplitude: 	10.8657 kV/m: 	 no AP.
Increasing amplitude: 	11.8492 kV/m: 	 no AP.
Increasing amplitude: 	12.9216 kV/m: 	 no AP.
Increasing amplitude: 	14.0911 kV/m: 	 no AP.
Increasing amplitude: 	15.3665 kV/m: 	 no AP.
Increasing amplitude: 	16.7573 kV/m: 	 no AP.
Increasing amplitude: 	18.2739 kV/m: 	 no AP.
Increasing amplitude: 	19.9279 kV/m: 	 no AP.
Increasing amplitude: 	21.7315 kV/m: 	 no AP.
Increasing amplitude: 	23.6984 kV/m: 	 no AP.
Increasing amplitude: 	25.8433 kV/m: 	 no AP.
Increasing amplitude: 	28.1823 kV/m: 	 no AP.
Increasing amplitude: 	30.7330 kV/m: 	 no AP.
Increasing amplitude: 	33.5146 kV/m: 	 no AP.
Increasing amplitude: 	36.5479 kV/m: 	 no AP.
Increasing amplitude: 	39.8557 kV/m: 	 no AP.
Increasing amplitude: 	43.4630 kV/m: 	 no AP.
Increasing amplitude: 	47.3967 kV/m: 	 no AP.
Increasing amplitude: 	51.6865 kV/m: 	 no AP.
Increasing amplitude: 	56.3645 kV/m: 	 no AP.
Increasing amplitude: 	61.4660 kV/m: 	 no AP.
Increasing amplitude: 	67.0291 kV/m: 	 no AP.
Increasing amplitude: 	73.0958 kV/m: 	 no AP.
Increasing amplitude: 	79.7115 kV/m: 	 no AP.
Increasing amplitude: 	86.9260 kV/m: 	 no AP.
Increasing amplitude: 	94.7935 kV/m: 	 no AP.
Increasing amplitude: 	0.1034 MV/m: 	 no AP.
Increasing amplitude: 	0.1127 MV/m: 	 no AP.
Increasing amplitude: 	0.1229 MV/m: 	 no AP.
Increasing amplitude: 	0.1341 MV/m: 	 no AP.
Increasing amplitude: 	0.1462 MV/m: 	 no AP.
Increasing amplitude: 	0.1594 MV/m: 	 no AP.
Increasing amplitude: 	0.1739 MV/m: 	 no AP.
Increasing amplitude: 	0.1896 MV/m: 	 no AP.
Increasing amplitude: 	0.2067 MV/m: 	 no AP.
Increasing amplitude: 	0.2255 MV/m: 	 no AP.
Increasing amplitude: 	0.2459 MV/m: 	 no AP.
Increasing amplitude: 	0.2681 MV/m: 	 no AP.
Increasing amplitude: 	0.2924 MV/m: 	 no AP.
Increasing amplitude: 	0.3188 MV/m: 	 no AP.
Increasing amplitude: 	0.3477 MV/m: 	 no AP.
Increasing amplitude: 	0.3792 MV/m: 	 no AP.
Increasing amplitude: 	0.4135 MV/m: 	 no AP.
Increasing amplitude: 	0.4509 MV/m: 	 no AP.
Increasing amplitude: 	0.4917 MV/m: 	 no AP.
Increasing amplitude: 	0.5362 MV/m: 	 no AP.
Increasing amplitude: 	0.5848 MV/m: 	 no AP.
Increasing amplitude: 	0.6377 MV/m: 	 no AP.
Increasing amplitude: 	0.6954 MV/m: 	 no AP.
Increasing amplitude: 	0.7583 MV/m: 	 no AP.
Increasing amplitude: 	0.8270 MV/m: 	 no AP.
Increasing amplitude: 	0.9018 MV/m: 	 no AP.
Increasing amplitude: 	0.9835 MV/m: 	 no AP.
Increasing amplitude: 	1.0725 MV/m: 	 no AP.
Increasing amplitude: 	1.1695 MV/m: 	 no AP.
Increasing amplitude: 	1.2754 MV/m: 	 no AP.
Increasing amplitude: 	1.3908 MV/m: 	 no AP.
Increasing amplitude: 	1.5167 MV/m: 	 no AP.
Increasing amplitude: 	1.6540 MV/m: 	 no AP.
Increasing amplitude: 	1.8037 MV/m: 	 no AP.
Increasing amplitude: 	1.9669 MV/m: 	 no AP.
Increasing amplitude: 	2.1449 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 10.58 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.2202 kV/m: 	 no AP.
Increasing amplitude: 	0.2401 kV/m: 	 no AP.
Increasing amplitude: 	0.2618 kV/m: 	 no AP.
Increasing amplitude: 	0.2855 kV/m: 	 no AP.
Increasing amplitude: 	0.3114 kV/m: 	 no AP.
Increasing amplitude: 	0.3396 kV/m: 	 no AP.
Increasing amplitude: 	0.3703 kV/m: 	 no AP.
Increasing amplitude: 	0.4038 kV/m: 	 no AP.
Increasing amplitude: 	0.4403 kV/m: 	 no AP.
Increasing amplitude: 	0.4802 kV/m: 	 no AP.
Increasing amplitude: 	0.5237 kV/m: 	 no AP.
Increasing amplitude: 	0.5711 kV/m: 	 no AP.
Increasing amplitude: 	0.6227 kV/m: 	 no AP.
Increasing amplitude: 	0.6791 kV/m: 	 no AP.
Increasing amplitude: 	0.7406 kV/m: 	 no AP.
Increasing amplitude: 	0.8076 kV/m: 	 no AP.
Increasing amplitude: 	0.8807 kV/m: 	 no AP.
Increasing amplitude: 	0.9604 kV/m: 	 no AP.
Increasing amplitude: 	1.0473 kV/m: 	 no AP.
Increasing amplitude: 	1.1421 kV/m: 	 no AP.
Increasing amplitude: 	1.2455 kV/m: 	 no AP.
Increasing amplitude: 	1.3582 kV/m: 	 no AP.
Increasing amplitude: 	1.4811 kV/m: 	 no AP.
Increasing amplitude: 	1.6152 kV/m: 	 no AP.
Increasing amplitude: 	1.7614 kV/m: 	 no AP.
Increasing amplitude: 	1.9208 kV/m: 	 no AP.
Increasing amplitude: 	2.0947 kV/m: 	 no AP.
Increasing amplitude: 	2.2842 kV/m: 	 no AP.
Increasing amplitude: 	2.4910 kV/m: 	 no AP.
Increasing amplitude: 	2.7164 kV/m: 	 no AP.
Increasing amplitude: 	2.9623 kV/m: 	 no AP.
Increasing amplitude: 	3.2304 kV/m: 	 no AP.
Increasing amplitude: 	3.5228 kV/m: 	 no AP.
Increasing amplitude: 	3.8416 kV/m: 	 no AP.
Increasing amplitude: 	4.1893 kV/m: 	 no AP.
Increasing amplitude: 	4.5685 kV/m: 	 no AP.
Increasing amplitude: 	4.9820 kV/m: 	 AP.
Lower bound: 4.5685 kV/m.   Upper bound: 4.9820 kV/m.   Search amplitude: 4.7707 kV/m: AP.
Lower bound: 4.5685 kV/m.   Upper bound: 4.7707 kV/m.   Search amplitude: 4.6685 kV/m: no AP.
Lower bound: 4.6685 kV/m.   Upper bound: 4.7707 kV/m.   Search amplitude: 4.7194 kV/m: AP.
Lower bound: 4.6685 kV/m.   Upper bound: 4.7194 kV/m.   Search amplitude: 4.6939 kV/m: no AP.
Lower bound: 4.6939 kV/m.   Upper bound: 4.7194 kV/m.   Search amplitude: 4.7066 kV/m: AP.
Binary search ended. Threshold: 4.7066 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 42.08 min.
 
-----------------------------------------------------------
Total run time: 52.661 min.
Results saved in UF_BndA_HH/Results/result_327.mat.
