Model type: 	Bend axon, antidromic
Parameter ID:	301
Pulse duration in ms:	0.1000
Field orientation in degrees:	109.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.2950 kV/m: 	 no AP.
Increasing amplitude: 	0.3216 kV/m: 	 no AP.
Increasing amplitude: 	0.3508 kV/m: 	 no AP.
Increasing amplitude: 	0.3825 kV/m: 	 no AP.
Increasing amplitude: 	0.4171 kV/m: 	 no AP.
Increasing amplitude: 	0.4549 kV/m: 	 no AP.
Increasing amplitude: 	0.4960 kV/m: 	 no AP.
Increasing amplitude: 	0.5409 kV/m: 	 no AP.
Increasing amplitude: 	0.5899 kV/m: 	 no AP.
Increasing amplitude: 	0.6433 kV/m: 	 no AP.
Increasing amplitude: 	0.7015 kV/m: 	 no AP.
Increasing amplitude: 	0.7650 kV/m: 	 no AP.
Increasing amplitude: 	0.8343 kV/m: 	 no AP.
Increasing amplitude: 	0.9098 kV/m: 	 no AP.
Increasing amplitude: 	0.9921 kV/m: 	 no AP.
Increasing amplitude: 	1.0819 kV/m: 	 no AP.
Increasing amplitude: 	1.1798 kV/m: 	 no AP.
Increasing amplitude: 	1.2866 kV/m: 	 no AP.
Increasing amplitude: 	1.4030 kV/m: 	 no AP.
Increasing amplitude: 	1.5300 kV/m: 	 no AP.
Increasing amplitude: 	1.6685 kV/m: 	 no AP.
Increasing amplitude: 	1.8195 kV/m: 	 no AP.
Increasing amplitude: 	1.9842 kV/m: 	 no AP.
Increasing amplitude: 	2.1638 kV/m: 	 no AP.
Increasing amplitude: 	2.3596 kV/m: 	 no AP.
Increasing amplitude: 	2.5732 kV/m: 	 no AP.
Increasing amplitude: 	2.8061 kV/m: 	 no AP.
Increasing amplitude: 	3.0600 kV/m: 	 no AP.
Increasing amplitude: 	3.3370 kV/m: 	 no AP.
Increasing amplitude: 	3.6390 kV/m: 	 no AP.
Increasing amplitude: 	3.9684 kV/m: 	 no AP.
