Model type: 	Bend axon, antidromic
Parameter ID:	257
Pulse duration in ms:	0.0450
Field orientation in degrees:	113.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.6162 kV/m: 	 no AP.
Increasing amplitude: 	0.6720 kV/m: 	 no AP.
Increasing amplitude: 	0.7328 kV/m: 	 no AP.
Increasing amplitude: 	0.7991 kV/m: 	 no AP.
Increasing amplitude: 	0.8714 kV/m: 	 no AP.
Increasing amplitude: 	0.9503 kV/m: 	 no AP.
Increasing amplitude: 	1.0363 kV/m: 	 no AP.
Increasing amplitude: 	1.1301 kV/m: 	 no AP.
Increasing amplitude: 	1.2324 kV/m: 	 no AP.
Increasing amplitude: 	1.3439 kV/m: 	 no AP.
Increasing amplitude: 	1.4656 kV/m: 	 no AP.
Increasing amplitude: 	1.5982 kV/m: 	 no AP.
Increasing amplitude: 	1.7428 kV/m: 	 no AP.
Increasing amplitude: 	1.9006 kV/m: 	 no AP.
Increasing amplitude: 	2.0726 kV/m: 	 no AP.
Increasing amplitude: 	2.2602 kV/m: 	 no AP.
Increasing amplitude: 	2.4648 kV/m: 	 no AP.
Increasing amplitude: 	2.6878 kV/m: 	 no AP.
Increasing amplitude: 	2.9311 kV/m: 	 no AP.
Increasing amplitude: 	3.1964 kV/m: 	 no AP.
Increasing amplitude: 	3.4857 kV/m: 	 no AP.
Increasing amplitude: 	3.8012 kV/m: 	 no AP.
Increasing amplitude: 	4.1452 kV/m: 	 no AP.
Increasing amplitude: 	4.5204 kV/m: 	 no AP.
Increasing amplitude: 	4.9295 kV/m: 	 no AP.
Increasing amplitude: 	5.3757 kV/m: 	 no AP.
Increasing amplitude: 	5.8622 kV/m: 	 no AP.
Increasing amplitude: 	6.3928 kV/m: 	 no AP.
Increasing amplitude: 	6.9714 kV/m: 	 no AP.
Increasing amplitude: 	7.6024 kV/m: 	 no AP.
Increasing amplitude: 	8.2904 kV/m: 	 no AP.
Increasing amplitude: 	9.0408 kV/m: 	 no AP.
Increasing amplitude: 	9.8590 kV/m: 	 no AP.
Increasing amplitude: 	10.7514 kV/m: 	 no AP.
Increasing amplitude: 	11.7244 kV/m: 	 no AP.
Increasing amplitude: 	12.7856 kV/m: 	 no AP.
Increasing amplitude: 	13.9428 kV/m: 	 no AP.
Increasing amplitude: 	15.2047 kV/m: 	 no AP.
Increasing amplitude: 	16.5809 kV/m: 	 no AP.
Increasing amplitude: 	18.0816 kV/m: 	 no AP.
Increasing amplitude: 	19.7181 kV/m: 	 no AP.
Increasing amplitude: 	21.5027 kV/m: 	 no AP.
Increasing amplitude: 	23.4489 kV/m: 	 no AP.
Increasing amplitude: 	25.5712 kV/m: 	 no AP.
Increasing amplitude: 	27.8856 kV/m: 	 no AP.
Increasing amplitude: 	30.4094 kV/m: 	 no AP.
Increasing amplitude: 	33.1617 kV/m: 	 no AP.
Increasing amplitude: 	36.1631 kV/m: 	 no AP.
Increasing amplitude: 	39.4362 kV/m: 	 no AP.
Increasing amplitude: 	43.0054 kV/m: 	 no AP.
Increasing amplitude: 	46.8978 kV/m: 	 no AP.
Increasing amplitude: 	51.1424 kV/m: 	 no AP.
Increasing amplitude: 	55.7711 kV/m: 	 no AP.
Increasing amplitude: 	60.8189 kV/m: 	 no AP.
Increasing amplitude: 	66.3234 kV/m: 	 no AP.
Increasing amplitude: 	72.3262 kV/m: 	 no AP.
Increasing amplitude: 	78.8723 kV/m: 	 no AP.
Increasing amplitude: 	86.0109 kV/m: 	 no AP.
Increasing amplitude: 	93.7955 kV/m: 	 no AP.
Increasing amplitude: 	0.1023 MV/m: 	 no AP.
Increasing amplitude: 	0.1115 MV/m: 	 no AP.
Increasing amplitude: 	0.1216 MV/m: 	 no AP.
Increasing amplitude: 	0.1326 MV/m: 	 no AP.
Increasing amplitude: 	0.1447 MV/m: 	 no AP.
Increasing amplitude: 	0.1577 MV/m: 	 no AP.
Increasing amplitude: 	0.1720 MV/m: 	 no AP.
Increasing amplitude: 	0.1876 MV/m: 	 no AP.
Increasing amplitude: 	0.2046 MV/m: 	 no AP.
Increasing amplitude: 	0.2231 MV/m: 	 no AP.
Increasing amplitude: 	0.2433 MV/m: 	 no AP.
Increasing amplitude: 	0.2653 MV/m: 	 no AP.
Increasing amplitude: 	0.2893 MV/m: 	 no AP.
Increasing amplitude: 	0.3155 MV/m: 	 no AP.
Increasing amplitude: 	0.3440 MV/m: 	 no AP.
Increasing amplitude: 	0.3752 MV/m: 	 no AP.
Increasing amplitude: 	0.4091 MV/m: 	 no AP.
Increasing amplitude: 	0.4462 MV/m: 	 no AP.
Increasing amplitude: 	0.4866 MV/m: 	 no AP.
Increasing amplitude: 	0.5306 MV/m: 	 no AP.
Increasing amplitude: 	0.5786 MV/m: 	 no AP.
Increasing amplitude: 	0.6310 MV/m: 	 no AP.
Increasing amplitude: 	0.6881 MV/m: 	 no AP.
Increasing amplitude: 	0.7504 MV/m: 	 no AP.
Increasing amplitude: 	0.8183 MV/m: 	 no AP.
Increasing amplitude: 	0.8923 MV/m: 	 no AP.
Increasing amplitude: 	0.9731 MV/m: 	 no AP.
Increasing amplitude: 	1.0612 MV/m: 	 no AP.
Increasing amplitude: 	1.1572 MV/m: 	 no AP.
Increasing amplitude: 	1.2620 MV/m: 	 no AP.
Increasing amplitude: 	1.3762 MV/m: 	 no AP.
Increasing amplitude: 	1.5007 MV/m: 	 no AP.
Increasing amplitude: 	1.6366 MV/m: 	 no AP.
Increasing amplitude: 	1.7847 MV/m: 	 no AP.
Increasing amplitude: 	1.9462 MV/m: 	 no AP.
Increasing amplitude: 	2.1223 MV/m: 	 no AP.
Increasing amplitude: 	2.3144 MV/m: 	 no AP.
Increasing amplitude: 	2.5239 MV/m: 	 no AP.
Increasing amplitude: 	2.7523 MV/m: 	 no AP.
Increasing amplitude: 	3.0015 MV/m: 	 no AP.
Increasing amplitude: 	3.2731 MV/m: 	 no AP.
Increasing amplitude: 	3.5694 MV/m: 	 no AP.
Increasing amplitude: 	3.8924 MV/m: 	 no AP.
Increasing amplitude: 	4.2447 MV/m: 	 no AP.
Increasing amplitude: 	4.6289 MV/m: 	 no AP.
Increasing amplitude: 	5.0478 MV/m: 	 no AP.
Increasing amplitude: 	5.5047 MV/m: 	 no AP.
Increasing amplitude: 	6.0029 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 10.55 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.6162 kV/m: 	 no AP.
Increasing amplitude: 	0.6720 kV/m: 	 no AP.
Increasing amplitude: 	0.7328 kV/m: 	 no AP.
Increasing amplitude: 	0.7991 kV/m: 	 no AP.
Increasing amplitude: 	0.8714 kV/m: 	 no AP.
Increasing amplitude: 	0.9503 kV/m: 	 no AP.
Increasing amplitude: 	1.0363 kV/m: 	 no AP.
Increasing amplitude: 	1.1301 kV/m: 	 no AP.
Increasing amplitude: 	1.2324 kV/m: 	 no AP.
Increasing amplitude: 	1.3439 kV/m: 	 no AP.
Increasing amplitude: 	1.4656 kV/m: 	 no AP.
Increasing amplitude: 	1.5982 kV/m: 	 no AP.
Increasing amplitude: 	1.7428 kV/m: 	 no AP.
Increasing amplitude: 	1.9006 kV/m: 	 no AP.
Increasing amplitude: 	2.0726 kV/m: 	 no AP.
Increasing amplitude: 	2.2602 kV/m: 	 no AP.
Increasing amplitude: 	2.4648 kV/m: 	 no AP.
Increasing amplitude: 	2.6878 kV/m: 	 no AP.
Increasing amplitude: 	2.9311 kV/m: 	 no AP.
Increasing amplitude: 	3.1964 kV/m: 	 no AP.
Increasing amplitude: 	3.4857 kV/m: 	 no AP.
Increasing amplitude: 	3.8012 kV/m: 	 no AP.
Increasing amplitude: 	4.1452 kV/m: 	 no AP.
Increasing amplitude: 	4.5204 kV/m: 	 no AP.
Increasing amplitude: 	4.9295 kV/m: 	 no AP.
Increasing amplitude: 	5.3757 kV/m: 	 no AP.
Increasing amplitude: 	5.8622 kV/m: 	 no AP.
Increasing amplitude: 	6.3928 kV/m: 	 no AP.
Increasing amplitude: 	6.9714 kV/m: 	 no AP.
Increasing amplitude: 	7.6024 kV/m: 	 no AP.
Increasing amplitude: 	8.2904 kV/m: 	 no AP.
Increasing amplitude: 	9.0408 kV/m: 	 no AP.
Increasing amplitude: 	9.8590 kV/m: 	 no AP.
Increasing amplitude: 	10.7514 kV/m: 	 AP.
Lower bound: 9.8590 kV/m.   Upper bound: 10.7514 kV/m.   Search amplitude: 10.2955 kV/m: AP.
Lower bound: 9.8590 kV/m.   Upper bound: 10.2955 kV/m.   Search amplitude: 10.0749 kV/m: AP.
Lower bound: 9.8590 kV/m.   Upper bound: 10.0749 kV/m.   Search amplitude: 9.9664 kV/m: no AP.
Lower bound: 9.9664 kV/m.   Upper bound: 10.0749 kV/m.   Search amplitude: 10.0205 kV/m: AP.
Lower bound: 9.9664 kV/m.   Upper bound: 10.0205 kV/m.   Search amplitude: 9.9934 kV/m: no AP.
Binary search ended. Threshold: 9.9934 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 34.94 min.
 
-----------------------------------------------------------
Total run time: 45.484 min.
Results saved in UF_BndA_HH/Results/result_257.mat.
