Model type: 	Bend axon, antidromic
Parameter ID:	408
Pulse duration in ms:	0.4500
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.1022 kV/m: 	 no AP.
Increasing amplitude: 	0.1114 kV/m: 	 no AP.
Increasing amplitude: 	0.1215 kV/m: 	 no AP.
Increasing amplitude: 	0.1325 kV/m: 	 no AP.
Increasing amplitude: 	0.1445 kV/m: 	 no AP.
Increasing amplitude: 	0.1576 kV/m: 	 no AP.
Increasing amplitude: 	0.1719 kV/m: 	 no AP.
Increasing amplitude: 	0.1874 kV/m: 	 no AP.
Increasing amplitude: 	0.2044 kV/m: 	 no AP.
Increasing amplitude: 	0.2229 kV/m: 	 no AP.
Increasing amplitude: 	0.2431 kV/m: 	 no AP.
Increasing amplitude: 	0.2651 kV/m: 	 no AP.
Increasing amplitude: 	0.2891 kV/m: 	 no AP.
Increasing amplitude: 	0.3152 kV/m: 	 no AP.
Increasing amplitude: 	0.3437 kV/m: 	 no AP.
Increasing amplitude: 	0.3749 kV/m: 	 no AP.
Increasing amplitude: 	0.4088 kV/m: 	 no AP.
Increasing amplitude: 	0.4458 kV/m: 	 no AP.
Increasing amplitude: 	0.4861 kV/m: 	 no AP.
Increasing amplitude: 	0.5301 kV/m: 	 no AP.
Increasing amplitude: 	0.5781 kV/m: 	 no AP.
Increasing amplitude: 	0.6304 kV/m: 	 no AP.
Increasing amplitude: 	0.6875 kV/m: 	 no AP.
Increasing amplitude: 	0.7497 kV/m: 	 no AP.
Increasing amplitude: 	0.8176 kV/m: 	 no AP.
Increasing amplitude: 	0.8916 kV/m: 	 no AP.
Increasing amplitude: 	0.9723 kV/m: 	 no AP.
Increasing amplitude: 	1.0603 kV/m: 	 no AP.
Increasing amplitude: 	1.1562 kV/m: 	 no AP.
Increasing amplitude: 	1.2609 kV/m: 	 no AP.
Increasing amplitude: 	1.3750 kV/m: 	 no AP.
Increasing amplitude: 	1.4994 kV/m: 	 no AP.
Increasing amplitude: 	1.6352 kV/m: 	 no AP.
Increasing amplitude: 	1.7831 kV/m: 	 no AP.
Increasing amplitude: 	1.9445 kV/m: 	 no AP.
Increasing amplitude: 	2.1205 kV/m: 	 no AP.
Increasing amplitude: 	2.3125 kV/m: 	 no AP.
Increasing amplitude: 	2.5217 kV/m: 	 no AP.
Increasing amplitude: 	2.7500 kV/m: 	 no AP.
Increasing amplitude: 	2.9989 kV/m: 	 no AP.
Increasing amplitude: 	3.2703 kV/m: 	 no AP.
Increasing amplitude: 	3.5663 kV/m: 	 no AP.
Increasing amplitude: 	3.8891 kV/m: 	 no AP.
Increasing amplitude: 	4.2411 kV/m: 	 no AP.
Increasing amplitude: 	4.6249 kV/m: 	 no AP.
Increasing amplitude: 	5.0435 kV/m: 	 no AP.
Increasing amplitude: 	5.5000 kV/m: 	 no AP.
Increasing amplitude: 	5.9978 kV/m: 	 no AP.
Increasing amplitude: 	6.5406 kV/m: 	 no AP.
Increasing amplitude: 	7.1326 kV/m: 	 no AP.
Increasing amplitude: 	7.7781 kV/m: 	 no AP.
Increasing amplitude: 	8.4821 kV/m: 	 no AP.
Increasing amplitude: 	9.2498 kV/m: 	 no AP.
Increasing amplitude: 	10.0870 kV/m: 	 no AP.
Increasing amplitude: 	10.9999 kV/m: 	 no AP.
Increasing amplitude: 	11.9955 kV/m: 	 no AP.
Increasing amplitude: 	13.0812 kV/m: 	 no AP.
Increasing amplitude: 	14.2652 kV/m: 	 no AP.
Increasing amplitude: 	15.5563 kV/m: 	 no AP.
Increasing amplitude: 	16.9642 kV/m: 	 no AP.
Increasing amplitude: 	18.4996 kV/m: 	 no AP.
Increasing amplitude: 	20.1740 kV/m: 	 no AP.
Increasing amplitude: 	21.9999 kV/m: 	 no AP.
Increasing amplitude: 	23.9910 kV/m: 	 no AP.
Increasing amplitude: 	26.1624 kV/m: 	 no AP.
Increasing amplitude: 	28.5303 kV/m: 	 no AP.
Increasing amplitude: 	31.1125 kV/m: 	 no AP.
Increasing amplitude: 	33.9284 kV/m: 	 no AP.
Increasing amplitude: 	36.9992 kV/m: 	 no AP.
Increasing amplitude: 	40.3480 kV/m: 	 no AP.
Increasing amplitude: 	43.9998 kV/m: 	 no AP.
Increasing amplitude: 	47.9821 kV/m: 	 no AP.
Increasing amplitude: 	52.3248 kV/m: 	 no AP.
Increasing amplitude: 	57.0606 kV/m: 	 no AP.
Increasing amplitude: 	62.2251 kV/m: 	 no AP.
Increasing amplitude: 	67.8569 kV/m: 	 no AP.
Increasing amplitude: 	73.9985 kV/m: 	 no AP.
Increasing amplitude: 	80.6959 kV/m: 	 no AP.
Increasing amplitude: 	87.9995 kV/m: 	 no AP.
Increasing amplitude: 	95.9641 kV/m: 	 no AP.
Increasing amplitude: 	0.1046 MV/m: 	 no AP.
