Model type: 	Bend axon, antidromic
Parameter ID:	334
Pulse duration in ms:	0.1400
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.2390 kV/m: 	 no AP.
Increasing amplitude: 	0.2607 kV/m: 	 no AP.
Increasing amplitude: 	0.2843 kV/m: 	 no AP.
Increasing amplitude: 	0.3100 kV/m: 	 no AP.
Increasing amplitude: 	0.3381 kV/m: 	 no AP.
Increasing amplitude: 	0.3687 kV/m: 	 no AP.
Increasing amplitude: 	0.4020 kV/m: 	 no AP.
Increasing amplitude: 	0.4384 kV/m: 	 no AP.
Increasing amplitude: 	0.4781 kV/m: 	 no AP.
Increasing amplitude: 	0.5214 kV/m: 	 no AP.
Increasing amplitude: 	0.5686 kV/m: 	 no AP.
Increasing amplitude: 	0.6200 kV/m: 	 no AP.
Increasing amplitude: 	0.6761 kV/m: 	 no AP.
Increasing amplitude: 	0.7373 kV/m: 	 no AP.
Increasing amplitude: 	0.8041 kV/m: 	 no AP.
Increasing amplitude: 	0.8768 kV/m: 	 no AP.
Increasing amplitude: 	0.9562 kV/m: 	 no AP.
Increasing amplitude: 	1.0427 kV/m: 	 no AP.
Increasing amplitude: 	1.1371 kV/m: 	 no AP.
Increasing amplitude: 	1.2400 kV/m: 	 no AP.
Increasing amplitude: 	1.3523 kV/m: 	 no AP.
Increasing amplitude: 	1.4747 kV/m: 	 no AP.
Increasing amplitude: 	1.6081 kV/m: 	 no AP.
Increasing amplitude: 	1.7537 kV/m: 	 no AP.
Increasing amplitude: 	1.9124 kV/m: 	 no AP.
Increasing amplitude: 	2.0855 kV/m: 	 no AP.
Increasing amplitude: 	2.2742 kV/m: 	 no AP.
Increasing amplitude: 	2.4801 kV/m: 	 no AP.
Increasing amplitude: 	2.7045 kV/m: 	 no AP.
Increasing amplitude: 	2.9493 kV/m: 	 no AP.
Increasing amplitude: 	3.2162 kV/m: 	 no AP.
Increasing amplitude: 	3.5073 kV/m: 	 no AP.
Increasing amplitude: 	3.8248 kV/m: 	 no AP.
Increasing amplitude: 	4.1710 kV/m: 	 no AP.
Increasing amplitude: 	4.5485 kV/m: 	 no AP.
Increasing amplitude: 	4.9601 kV/m: 	 no AP.
Increasing amplitude: 	5.4091 kV/m: 	 no AP.
Increasing amplitude: 	5.8986 kV/m: 	 no AP.
Increasing amplitude: 	6.4325 kV/m: 	 no AP.
Increasing amplitude: 	7.0147 kV/m: 	 no AP.
Increasing amplitude: 	7.6496 kV/m: 	 no AP.
Increasing amplitude: 	8.3419 kV/m: 	 no AP.
Increasing amplitude: 	9.0969 kV/m: 	 no AP.
Increasing amplitude: 	9.9203 kV/m: 	 no AP.
Increasing amplitude: 	10.8181 kV/m: 	 no AP.
Increasing amplitude: 	11.7972 kV/m: 	 no AP.
Increasing amplitude: 	12.8650 kV/m: 	 no AP.
Increasing amplitude: 	14.0294 kV/m: 	 no AP.
Increasing amplitude: 	15.2991 kV/m: 	 no AP.
Increasing amplitude: 	16.6838 kV/m: 	 no AP.
Increasing amplitude: 	18.1938 kV/m: 	 no AP.
Increasing amplitude: 	19.8405 kV/m: 	 no AP.
Increasing amplitude: 	21.6362 kV/m: 	 no AP.
Increasing amplitude: 	23.5945 kV/m: 	 no AP.
Increasing amplitude: 	25.7300 kV/m: 	 no AP.
Increasing amplitude: 	28.0587 kV/m: 	 no AP.
Increasing amplitude: 	30.5983 kV/m: 	 no AP.
Increasing amplitude: 	33.3676 kV/m: 	 no AP.
Increasing amplitude: 	36.3877 kV/m: 	 no AP.
Increasing amplitude: 	39.6810 kV/m: 	 no AP.
Increasing amplitude: 	43.2725 kV/m: 	 no AP.
