Model type: 	Bend axon, antidromic
Parameter ID:	228
Pulse duration in ms:	0.0310
Field orientation in degrees:	108.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.8803 kV/m: 	 no AP.
Increasing amplitude: 	0.9600 kV/m: 	 no AP.
Increasing amplitude: 	1.0469 kV/m: 	 no AP.
Increasing amplitude: 	1.1416 kV/m: 	 no AP.
Increasing amplitude: 	1.2450 kV/m: 	 no AP.
Increasing amplitude: 	1.3577 kV/m: 	 no AP.
Increasing amplitude: 	1.4805 kV/m: 	 no AP.
Increasing amplitude: 	1.6145 kV/m: 	 no AP.
Increasing amplitude: 	1.7607 kV/m: 	 no AP.
Increasing amplitude: 	1.9200 kV/m: 	 no AP.
Increasing amplitude: 	2.0938 kV/m: 	 no AP.
Increasing amplitude: 	2.2833 kV/m: 	 no AP.
Increasing amplitude: 	2.4899 kV/m: 	 no AP.
Increasing amplitude: 	2.7153 kV/m: 	 no AP.
Increasing amplitude: 	2.9611 kV/m: 	 no AP.
Increasing amplitude: 	3.2291 kV/m: 	 no AP.
Increasing amplitude: 	3.5213 kV/m: 	 no AP.
Increasing amplitude: 	3.8400 kV/m: 	 no AP.
Increasing amplitude: 	4.1876 kV/m: 	 no AP.
Increasing amplitude: 	4.5666 kV/m: 	 no AP.
Increasing amplitude: 	4.9799 kV/m: 	 no AP.
Increasing amplitude: 	5.4306 kV/m: 	 no AP.
Increasing amplitude: 	5.9221 kV/m: 	 no AP.
Increasing amplitude: 	6.4581 kV/m: 	 no AP.
Increasing amplitude: 	7.0426 kV/m: 	 no AP.
Increasing amplitude: 	7.6800 kV/m: 	 no AP.
Increasing amplitude: 	8.3751 kV/m: 	 no AP.
Increasing amplitude: 	9.1331 kV/m: 	 no AP.
Increasing amplitude: 	9.9598 kV/m: 	 no AP.
Increasing amplitude: 	10.8612 kV/m: 	 no AP.
Increasing amplitude: 	11.8442 kV/m: 	 no AP.
Increasing amplitude: 	12.9162 kV/m: 	 no AP.
Increasing amplitude: 	14.0852 kV/m: 	 no AP.
Increasing amplitude: 	15.3601 kV/m: 	 no AP.
Increasing amplitude: 	16.7503 kV/m: 	 no AP.
Increasing amplitude: 	18.2663 kV/m: 	 no AP.
Increasing amplitude: 	19.9195 kV/m: 	 no AP.
Increasing amplitude: 	21.7224 kV/m: 	 no AP.
Increasing amplitude: 	23.6884 kV/m: 	 no AP.
Increasing amplitude: 	25.8324 kV/m: 	 no AP.
Increasing amplitude: 	28.1705 kV/m: 	 no AP.
Increasing amplitude: 	30.7201 kV/m: 	 no AP.
Increasing amplitude: 	33.5005 kV/m: 	 no AP.
Increasing amplitude: 	36.5326 kV/m: 	 no AP.
Increasing amplitude: 	39.8391 kV/m: 	 no AP.
Increasing amplitude: 	43.4448 kV/m: 	 no AP.
Increasing amplitude: 	47.3769 kV/m: 	 no AP.
Increasing amplitude: 	51.6649 kV/m: 	 no AP.
Increasing amplitude: 	56.3409 kV/m: 	 no AP.
Increasing amplitude: 	61.4402 kV/m: 	 no AP.
