Model type: 	Bend axon, antidromic
Parameter ID:	190
Pulse duration in ms:	0.0140
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	2.0756 kV/m: 	 no AP.
Increasing amplitude: 	2.2635 kV/m: 	 no AP.
Increasing amplitude: 	2.4683 kV/m: 	 no AP.
Increasing amplitude: 	2.6917 kV/m: 	 no AP.
Increasing amplitude: 	2.9353 kV/m: 	 no AP.
Increasing amplitude: 	3.2010 kV/m: 	 no AP.
Increasing amplitude: 	3.4907 kV/m: 	 no AP.
Increasing amplitude: 	3.8067 kV/m: 	 no AP.
Increasing amplitude: 	4.1512 kV/m: 	 no AP.
Increasing amplitude: 	4.5269 kV/m: 	 no AP.
Increasing amplitude: 	4.9366 kV/m: 	 no AP.
Increasing amplitude: 	5.3834 kV/m: 	 no AP.
Increasing amplitude: 	5.8707 kV/m: 	 no AP.
Increasing amplitude: 	6.4020 kV/m: 	 no AP.
Increasing amplitude: 	6.9815 kV/m: 	 no AP.
Increasing amplitude: 	7.6133 kV/m: 	 no AP.
Increasing amplitude: 	8.3024 kV/m: 	 no AP.
Increasing amplitude: 	9.0538 kV/m: 	 no AP.
Increasing amplitude: 	9.8733 kV/m: 	 no AP.
Increasing amplitude: 	10.7669 kV/m: 	 no AP.
Increasing amplitude: 	11.7414 kV/m: 	 no AP.
Increasing amplitude: 	12.8040 kV/m: 	 no AP.
Increasing amplitude: 	13.9629 kV/m: 	 no AP.
Increasing amplitude: 	15.2267 kV/m: 	 no AP.
Increasing amplitude: 	16.6048 kV/m: 	 no AP.
Increasing amplitude: 	18.1076 kV/m: 	 no AP.
Increasing amplitude: 	19.7465 kV/m: 	 no AP.
Increasing amplitude: 	21.5337 kV/m: 	 no AP.
Increasing amplitude: 	23.4827 kV/m: 	 no AP.
Increasing amplitude: 	25.6081 kV/m: 	 no AP.
Increasing amplitude: 	27.9258 kV/m: 	 no AP.
Increasing amplitude: 	30.4533 kV/m: 	 no AP.
Increasing amplitude: 	33.2096 kV/m: 	 no AP.
Increasing amplitude: 	36.2153 kV/m: 	 no AP.
Increasing amplitude: 	39.4931 kV/m: 	 no AP.
Increasing amplitude: 	43.0675 kV/m: 	 no AP.
Increasing amplitude: 	46.9654 kV/m: 	 no AP.
Increasing amplitude: 	51.2162 kV/m: 	 no AP.
Increasing amplitude: 	55.8516 kV/m: 	 no AP.
Increasing amplitude: 	60.9066 kV/m: 	 no AP.
Increasing amplitude: 	66.4191 kV/m: 	 no AP.
Increasing amplitude: 	72.4306 kV/m: 	 no AP.
Increasing amplitude: 	78.9861 kV/m: 	 no AP.
