Model type: 	Bend axon, antidromic
Parameter ID:	88
Pulse duration in ms:	0.0031
Field orientation in degrees:	112.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	8.5259 kV/m: 	 no AP.
Increasing amplitude: 	9.2975 kV/m: 	 no AP.
Increasing amplitude: 	10.1390 kV/m: 	 no AP.
Increasing amplitude: 	11.0567 kV/m: 	 no AP.
Increasing amplitude: 	12.0574 kV/m: 	 no AP.
Increasing amplitude: 	13.1487 kV/m: 	 no AP.
Increasing amplitude: 	14.3387 kV/m: 	 no AP.
Increasing amplitude: 	15.6365 kV/m: 	 no AP.
Increasing amplitude: 	17.0517 kV/m: 	 no AP.
Increasing amplitude: 	18.5950 kV/m: 	 no AP.
Increasing amplitude: 	20.2780 kV/m: 	 no AP.
Increasing amplitude: 	22.1133 kV/m: 	 no AP.
Increasing amplitude: 	24.1148 kV/m: 	 no AP.
Increasing amplitude: 	26.2973 kV/m: 	 no AP.
Increasing amplitude: 	28.6775 kV/m: 	 no AP.
Increasing amplitude: 	31.2730 kV/m: 	 no AP.
Increasing amplitude: 	34.1034 kV/m: 	 no AP.
Increasing amplitude: 	37.1901 kV/m: 	 no AP.
Increasing amplitude: 	40.5560 kV/m: 	 no AP.
Increasing amplitude: 	44.2267 kV/m: 	 no AP.
Increasing amplitude: 	48.2295 kV/m: 	 no AP.
Increasing amplitude: 	52.5947 kV/m: 	 no AP.
Increasing amplitude: 	57.3549 kV/m: 	 no AP.
Increasing amplitude: 	62.5460 kV/m: 	 no AP.
Increasing amplitude: 	68.2069 kV/m: 	 no AP.
Increasing amplitude: 	74.3801 kV/m: 	 no AP.
Increasing amplitude: 	81.1121 kV/m: 	 no AP.
Increasing amplitude: 	88.4534 kV/m: 	 no AP.
Increasing amplitude: 	96.4591 kV/m: 	 no AP.
Increasing amplitude: 	0.1052 MV/m: 	 no AP.
Increasing amplitude: 	0.1147 MV/m: 	 no AP.
Increasing amplitude: 	0.1251 MV/m: 	 no AP.
Increasing amplitude: 	0.1364 MV/m: 	 no AP.
Increasing amplitude: 	0.1488 MV/m: 	 no AP.
Increasing amplitude: 	0.1622 MV/m: 	 no AP.
Increasing amplitude: 	0.1769 MV/m: 	 no AP.
Increasing amplitude: 	0.1929 MV/m: 	 no AP.
Increasing amplitude: 	0.2104 MV/m: 	 no AP.
Increasing amplitude: 	0.2294 MV/m: 	 no AP.
Increasing amplitude: 	0.2502 MV/m: 	 no AP.
Increasing amplitude: 	0.2728 MV/m: 	 no AP.
Increasing amplitude: 	0.2975 MV/m: 	 no AP.
Increasing amplitude: 	0.3244 MV/m: 	 no AP.
Increasing amplitude: 	0.3538 MV/m: 	 no AP.
Increasing amplitude: 	0.3858 MV/m: 	 no AP.
Increasing amplitude: 	0.4208 MV/m: 	 no AP.
Increasing amplitude: 	0.4588 MV/m: 	 no AP.
Increasing amplitude: 	0.5004 MV/m: 	 no AP.
Increasing amplitude: 	0.5457 MV/m: 	 no AP.
Increasing amplitude: 	0.5950 MV/m: 	 no AP.
Increasing amplitude: 	0.6489 MV/m: 	 no AP.
Increasing amplitude: 	0.7076 MV/m: 	 no AP.
Increasing amplitude: 	0.7717 MV/m: 	 no AP.
Increasing amplitude: 	0.8415 MV/m: 	 no AP.
Increasing amplitude: 	0.9177 MV/m: 	 no AP.
Increasing amplitude: 	1.0007 MV/m: 	 no AP.
Increasing amplitude: 	1.0913 MV/m: 	 no AP.
Increasing amplitude: 	1.1901 MV/m: 	 no AP.
Increasing amplitude: 	1.2978 MV/m: 	 no AP.
Increasing amplitude: 	1.4153 MV/m: 	 no AP.
Increasing amplitude: 	1.5433 MV/m: 	 no AP.
Increasing amplitude: 	1.6830 MV/m: 	 no AP.
Increasing amplitude: 	1.8354 MV/m: 	 no AP.
Increasing amplitude: 	2.0015 MV/m: 	 no AP.
Increasing amplitude: 	2.1826 MV/m: 	 no AP.
Increasing amplitude: 	2.3802 MV/m: 	 no AP.
Increasing amplitude: 	2.5956 MV/m: 	 no AP.
Increasing amplitude: 	2.8305 MV/m: 	 no AP.
Increasing amplitude: 	3.0867 MV/m: 	 no AP.
Increasing amplitude: 	3.3661 MV/m: 	 no AP.
Increasing amplitude: 	3.6707 MV/m: 	 no AP.
Increasing amplitude: 	4.0029 MV/m: 	 no AP.
Increasing amplitude: 	4.3652 MV/m: 	 no AP.
Increasing amplitude: 	4.7603 MV/m: 	 no AP.
Increasing amplitude: 	5.1912 MV/m: 	 no AP.
Increasing amplitude: 	5.6610 MV/m: 	 no AP.
Increasing amplitude: 	6.1734 MV/m: 	 no AP.
Increasing amplitude: 	6.7321 MV/m: 	 no AP.
Increasing amplitude: 	7.3414 MV/m: 	 no AP.
Increasing amplitude: 	8.0059 MV/m: 	 no AP.
Increasing amplitude: 	8.7305 MV/m: 	 no AP.
Increasing amplitude: 	9.5207 MV/m: 	 no AP.
Increasing amplitude: 	10.3823 MV/m: 	 no AP.
Increasing amplitude: 	11.3220 MV/m: 	 no AP.
Increasing amplitude: 	12.3468 MV/m: 	 no AP.
Increasing amplitude: 	13.4642 MV/m: 	 no AP.
Increasing amplitude: 	14.6829 MV/m: 	 no AP.
Increasing amplitude: 	16.0118 MV/m: 	 no AP.
Increasing amplitude: 	17.4610 MV/m: 	 no AP.
Increasing amplitude: 	19.0413 MV/m: 	 no AP.
Increasing amplitude: 	20.7647 MV/m: 	 no AP.
Increasing amplitude: 	22.6441 MV/m: 	 no AP.
Increasing amplitude: 	24.6935 MV/m: 	 no AP.
Increasing amplitude: 	26.9285 MV/m: 	 no AP.
Increasing amplitude: 	29.3657 MV/m: 	 no AP.
Increasing amplitude: 	32.0235 MV/m: 	 no AP.
Increasing amplitude: 	34.9219 MV/m: 	 no AP.
Increasing amplitude: 	38.0826 MV/m: 	 no AP.
Increasing amplitude: 	41.5294 MV/m: 	 no AP.
Increasing amplitude: 	45.2881 MV/m: 	 no AP.
Increasing amplitude: 	49.3870 MV/m: 	 no AP.
Increasing amplitude: 	53.8570 MV/m: 	 no AP.
Increasing amplitude: 	58.7314 MV/m: 	 no AP.
Increasing amplitude: 	64.0471 MV/m: 	 no AP.
Increasing amplitude: 	69.8438 MV/m: 	 no AP.
Increasing amplitude: 	76.1652 MV/m: 	 no AP.
Increasing amplitude: 	83.0588 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 9.98 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	8.5259 kV/m: 	 no AP.
Increasing amplitude: 	9.2975 kV/m: 	 no AP.
Increasing amplitude: 	10.1390 kV/m: 	 no AP.
Increasing amplitude: 	11.0567 kV/m: 	 no AP.
Increasing amplitude: 	12.0574 kV/m: 	 no AP.
Increasing amplitude: 	13.1487 kV/m: 	 no AP.
Increasing amplitude: 	14.3387 kV/m: 	 no AP.
Increasing amplitude: 	15.6365 kV/m: 	 no AP.
Increasing amplitude: 	17.0517 kV/m: 	 no AP.
Increasing amplitude: 	18.5950 kV/m: 	 no AP.
Increasing amplitude: 	20.2780 kV/m: 	 no AP.
Increasing amplitude: 	22.1133 kV/m: 	 no AP.
Increasing amplitude: 	24.1148 kV/m: 	 no AP.
Increasing amplitude: 	26.2973 kV/m: 	 no AP.
Increasing amplitude: 	28.6775 kV/m: 	 no AP.
Increasing amplitude: 	31.2730 kV/m: 	 no AP.
Increasing amplitude: 	34.1034 kV/m: 	 no AP.
Increasing amplitude: 	37.1901 kV/m: 	 no AP.
Increasing amplitude: 	40.5560 kV/m: 	 no AP.
Increasing amplitude: 	44.2267 kV/m: 	 no AP.
Increasing amplitude: 	48.2295 kV/m: 	 no AP.
Increasing amplitude: 	52.5947 kV/m: 	 no AP.
Increasing amplitude: 	57.3549 kV/m: 	 no AP.
Increasing amplitude: 	62.5460 kV/m: 	 no AP.
Increasing amplitude: 	68.2069 kV/m: 	 no AP.
Increasing amplitude: 	74.3801 kV/m: 	 no AP.
Increasing amplitude: 	81.1121 kV/m: 	 no AP.
Increasing amplitude: 	88.4534 kV/m: 	 no AP.
Increasing amplitude: 	96.4591 kV/m: 	 AP.
