Model type: 	Bend axon, antidromic
Parameter ID:	547
Pulse duration in ms:	4.5000
Field orientation in degrees:	115.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	60.8503  V/m: 	 no AP.
Increasing amplitude: 	66.3577  V/m: 	 no AP.
Increasing amplitude: 	72.3636  V/m: 	 no AP.
Increasing amplitude: 	78.9131  V/m: 	 no AP.
Increasing amplitude: 	86.0553  V/m: 	 no AP.
Increasing amplitude: 	93.8440  V/m: 	 no AP.
Increasing amplitude: 	0.1023 kV/m: 	 no AP.
Increasing amplitude: 	0.1116 kV/m: 	 no AP.
Increasing amplitude: 	0.1217 kV/m: 	 no AP.
Increasing amplitude: 	0.1327 kV/m: 	 no AP.
Increasing amplitude: 	0.1447 kV/m: 	 no AP.
Increasing amplitude: 	0.1578 kV/m: 	 no AP.
Increasing amplitude: 	0.1721 kV/m: 	 no AP.
Increasing amplitude: 	0.1877 kV/m: 	 no AP.
Increasing amplitude: 	0.2047 kV/m: 	 no AP.
Increasing amplitude: 	0.2232 kV/m: 	 no AP.
Increasing amplitude: 	0.2434 kV/m: 	 no AP.
Increasing amplitude: 	0.2654 kV/m: 	 no AP.
Increasing amplitude: 	0.2895 kV/m: 	 no AP.
Increasing amplitude: 	0.3157 kV/m: 	 no AP.
Increasing amplitude: 	0.3442 kV/m: 	 no AP.
Increasing amplitude: 	0.3754 kV/m: 	 no AP.
Increasing amplitude: 	0.4094 kV/m: 	 no AP.
Increasing amplitude: 	0.4464 kV/m: 	 no AP.
Increasing amplitude: 	0.4868 kV/m: 	 no AP.
Increasing amplitude: 	0.5309 kV/m: 	 no AP.
Increasing amplitude: 	0.5789 kV/m: 	 no AP.
Increasing amplitude: 	0.6313 kV/m: 	 no AP.
Increasing amplitude: 	0.6884 kV/m: 	 no AP.
Increasing amplitude: 	0.7508 kV/m: 	 no AP.
Increasing amplitude: 	0.8187 kV/m: 	 no AP.
Increasing amplitude: 	0.8928 kV/m: 	 no AP.
Increasing amplitude: 	0.9736 kV/m: 	 no AP.
Increasing amplitude: 	1.0617 kV/m: 	 no AP.
Increasing amplitude: 	1.1578 kV/m: 	 no AP.
Increasing amplitude: 	1.2626 kV/m: 	 no AP.
Increasing amplitude: 	1.3769 kV/m: 	 no AP.
Increasing amplitude: 	1.5015 kV/m: 	 no AP.
Increasing amplitude: 	1.6374 kV/m: 	 no AP.
Increasing amplitude: 	1.7856 kV/m: 	 no AP.
Increasing amplitude: 	1.9472 kV/m: 	 no AP.
Increasing amplitude: 	2.1234 kV/m: 	 no AP.
Increasing amplitude: 	2.3156 kV/m: 	 no AP.
Increasing amplitude: 	2.5252 kV/m: 	 no AP.
Increasing amplitude: 	2.7538 kV/m: 	 no AP.
Increasing amplitude: 	3.0030 kV/m: 	 no AP.
Increasing amplitude: 	3.2748 kV/m: 	 no AP.
Increasing amplitude: 	3.5712 kV/m: 	 no AP.
Increasing amplitude: 	3.8944 kV/m: 	 no AP.
Increasing amplitude: 	4.2469 kV/m: 	 no AP.
Increasing amplitude: 	4.6313 kV/m: 	 no AP.
Increasing amplitude: 	5.0504 kV/m: 	 no AP.
Increasing amplitude: 	5.5075 kV/m: 	 no AP.
Increasing amplitude: 	6.0060 kV/m: 	 no AP.
Increasing amplitude: 	6.5496 kV/m: 	 no AP.
Increasing amplitude: 	7.1424 kV/m: 	 no AP.
Increasing amplitude: 	7.7888 kV/m: 	 no AP.
Increasing amplitude: 	8.4938 kV/m: 	 no AP.
Increasing amplitude: 	9.2625 kV/m: 	 no AP.
Increasing amplitude: 	10.1009 kV/m: 	 no AP.
Increasing amplitude: 	11.0151 kV/m: 	 no AP.
Increasing amplitude: 	12.0120 kV/m: 	 no AP.
Increasing amplitude: 	13.0992 kV/m: 	 no AP.
Increasing amplitude: 	14.2848 kV/m: 	 no AP.
Increasing amplitude: 	15.5777 kV/m: 	 no AP.
Increasing amplitude: 	16.9876 kV/m: 	 no AP.
Increasing amplitude: 	18.5251 kV/m: 	 no AP.
Increasing amplitude: 	20.2018 kV/m: 	 no AP.
Increasing amplitude: 	22.0302 kV/m: 	 no AP.
Increasing amplitude: 	24.0241 kV/m: 	 no AP.
Increasing amplitude: 	26.1984 kV/m: 	 no AP.
Increasing amplitude: 	28.5696 kV/m: 	 no AP.
Increasing amplitude: 	31.1554 kV/m: 	 no AP.
Increasing amplitude: 	33.9752 kV/m: 	 no AP.
Increasing amplitude: 	37.0502 kV/m: 	 no AP.
Increasing amplitude: 	40.4035 kV/m: 	 no AP.
Increasing amplitude: 	44.0603 kV/m: 	 no AP.
Increasing amplitude: 	48.0481 kV/m: 	 no AP.
Increasing amplitude: 	52.3969 kV/m: 	 no AP.
Increasing amplitude: 	57.1392 kV/m: 	 no AP.
Increasing amplitude: 	62.3107 kV/m: 	 no AP.
Increasing amplitude: 	67.9503 kV/m: 	 no AP.
Increasing amplitude: 	74.1004 kV/m: 	 no AP.
Increasing amplitude: 	80.8070 kV/m: 	 no AP.
Increasing amplitude: 	88.1207 kV/m: 	 no AP.
Increasing amplitude: 	96.0963 kV/m: 	 no AP.
Increasing amplitude: 	0.1048 MV/m: 	 no AP.
Increasing amplitude: 	0.1143 MV/m: 	 no AP.
Increasing amplitude: 	0.1246 MV/m: 	 no AP.
Increasing amplitude: 	0.1359 MV/m: 	 no AP.
Increasing amplitude: 	0.1482 MV/m: 	 no AP.
Increasing amplitude: 	0.1616 MV/m: 	 no AP.
Increasing amplitude: 	0.1762 MV/m: 	 no AP.
Increasing amplitude: 	0.1922 MV/m: 	 no AP.
Increasing amplitude: 	0.2096 MV/m: 	 no AP.
Increasing amplitude: 	0.2286 MV/m: 	 no AP.
Increasing amplitude: 	0.2492 MV/m: 	 no AP.
Increasing amplitude: 	0.2718 MV/m: 	 no AP.
Increasing amplitude: 	0.2964 MV/m: 	 no AP.
Increasing amplitude: 	0.3232 MV/m: 	 no AP.
Increasing amplitude: 	0.3525 MV/m: 	 no AP.
Increasing amplitude: 	0.3844 MV/m: 	 no AP.
Increasing amplitude: 	0.4192 MV/m: 	 no AP.
Increasing amplitude: 	0.4571 MV/m: 	 no AP.
Increasing amplitude: 	0.4985 MV/m: 	 no AP.
Increasing amplitude: 	0.5436 MV/m: 	 no AP.
Increasing amplitude: 	0.5928 MV/m: 	 no AP.
