Model type: 	Bend axon, antidromic
Parameter ID:	120
Pulse duration in ms:	0.0045
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	6.3872 kV/m: 	 no AP.
Increasing amplitude: 	6.9653 kV/m: 	 no AP.
Increasing amplitude: 	7.5957 kV/m: 	 no AP.
Increasing amplitude: 	8.2832 kV/m: 	 no AP.
Increasing amplitude: 	9.0328 kV/m: 	 no AP.
Increasing amplitude: 	9.8504 kV/m: 	 no AP.
Increasing amplitude: 	10.7419 kV/m: 	 no AP.
Increasing amplitude: 	11.7141 kV/m: 	 no AP.
Increasing amplitude: 	12.7744 kV/m: 	 no AP.
Increasing amplitude: 	13.9305 kV/m: 	 no AP.
Increasing amplitude: 	15.1914 kV/m: 	 no AP.
Increasing amplitude: 	16.5663 kV/m: 	 no AP.
Increasing amplitude: 	18.0657 kV/m: 	 no AP.
Increasing amplitude: 	19.7008 kV/m: 	 no AP.
Increasing amplitude: 	21.4838 kV/m: 	 no AP.
Increasing amplitude: 	23.4283 kV/m: 	 no AP.
Increasing amplitude: 	25.5487 kV/m: 	 no AP.
Increasing amplitude: 	27.8611 kV/m: 	 no AP.
Increasing amplitude: 	30.3827 kV/m: 	 no AP.
Increasing amplitude: 	33.1326 kV/m: 	 no AP.
Increasing amplitude: 	36.1314 kV/m: 	 no AP.
Increasing amplitude: 	39.4015 kV/m: 	 no AP.
Increasing amplitude: 	42.9677 kV/m: 	 no AP.
Increasing amplitude: 	46.8566 kV/m: 	 no AP.
Increasing amplitude: 	51.0975 kV/m: 	 no AP.
Increasing amplitude: 	55.7222 kV/m: 	 no AP.
Increasing amplitude: 	60.7655 kV/m: 	 no AP.
Increasing amplitude: 	66.2652 kV/m: 	 no AP.
Increasing amplitude: 	72.2628 kV/m: 	 no AP.
Increasing amplitude: 	78.8031 kV/m: 	 no AP.
Increasing amplitude: 	85.9354 kV/m: 	 no AP.
Increasing amplitude: 	93.7132 kV/m: 	 no AP.
Increasing amplitude: 	0.1022 MV/m: 	 no AP.
Increasing amplitude: 	0.1114 MV/m: 	 no AP.
Increasing amplitude: 	0.1215 MV/m: 	 no AP.
Increasing amplitude: 	0.1325 MV/m: 	 no AP.
Increasing amplitude: 	0.1445 MV/m: 	 no AP.
Increasing amplitude: 	0.1576 MV/m: 	 no AP.
Increasing amplitude: 	0.1719 MV/m: 	 no AP.
Increasing amplitude: 	0.1874 MV/m: 	 no AP.
Increasing amplitude: 	0.2044 MV/m: 	 no AP.
Increasing amplitude: 	0.2229 MV/m: 	 no AP.
Increasing amplitude: 	0.2431 MV/m: 	 no AP.
Increasing amplitude: 	0.2651 MV/m: 	 no AP.
Increasing amplitude: 	0.2891 MV/m: 	 no AP.
Increasing amplitude: 	0.3152 MV/m: 	 no AP.
Increasing amplitude: 	0.3437 MV/m: 	 no AP.
Increasing amplitude: 	0.3749 MV/m: 	 no AP.
Increasing amplitude: 	0.4088 MV/m: 	 no AP.
Increasing amplitude: 	0.4458 MV/m: 	 no AP.
Increasing amplitude: 	0.4861 MV/m: 	 no AP.
Increasing amplitude: 	0.5301 MV/m: 	 no AP.
Increasing amplitude: 	0.5781 MV/m: 	 no AP.
Increasing amplitude: 	0.6304 MV/m: 	 no AP.
Increasing amplitude: 	0.6875 MV/m: 	 no AP.
Increasing amplitude: 	0.7497 MV/m: 	 no AP.
Increasing amplitude: 	0.8176 MV/m: 	 no AP.
Increasing amplitude: 	0.8916 MV/m: 	 no AP.
Increasing amplitude: 	0.9722 MV/m: 	 no AP.
Increasing amplitude: 	1.0602 MV/m: 	 no AP.
Increasing amplitude: 	1.1562 MV/m: 	 no AP.
Increasing amplitude: 	1.2608 MV/m: 	 no AP.
Increasing amplitude: 	1.3750 MV/m: 	 no AP.
Increasing amplitude: 	1.4994 MV/m: 	 no AP.
Increasing amplitude: 	1.6351 MV/m: 	 no AP.
Increasing amplitude: 	1.7831 MV/m: 	 no AP.
Increasing amplitude: 	1.9445 MV/m: 	 no AP.
Increasing amplitude: 	2.1205 MV/m: 	 no AP.
Increasing amplitude: 	2.3124 MV/m: 	 no AP.
Increasing amplitude: 	2.5217 MV/m: 	 no AP.
Increasing amplitude: 	2.7499 MV/m: 	 no AP.
Increasing amplitude: 	2.9988 MV/m: 	 no AP.
Increasing amplitude: 	3.2702 MV/m: 	 no AP.
Increasing amplitude: 	3.5662 MV/m: 	 no AP.
Increasing amplitude: 	3.8890 MV/m: 	 no AP.
Increasing amplitude: 	4.2410 MV/m: 	 no AP.
Increasing amplitude: 	4.6248 MV/m: 	 no AP.
Increasing amplitude: 	5.0434 MV/m: 	 no AP.
Increasing amplitude: 	5.4999 MV/m: 	 no AP.
Increasing amplitude: 	5.9976 MV/m: 	 no AP.
Increasing amplitude: 	6.5405 MV/m: 	 no AP.
Increasing amplitude: 	7.1324 MV/m: 	 no AP.
Increasing amplitude: 	7.7780 MV/m: 	 no AP.
Increasing amplitude: 	8.4820 MV/m: 	 no AP.
Increasing amplitude: 	9.2496 MV/m: 	 no AP.
Increasing amplitude: 	10.0868 MV/m: 	 no AP.
Increasing amplitude: 	10.9997 MV/m: 	 no AP.
Increasing amplitude: 	11.9953 MV/m: 	 no AP.
Increasing amplitude: 	13.0810 MV/m: 	 no AP.
Increasing amplitude: 	14.2649 MV/m: 	 no AP.
Increasing amplitude: 	15.5560 MV/m: 	 no AP.
Increasing amplitude: 	16.9639 MV/m: 	 no AP.
Increasing amplitude: 	18.4993 MV/m: 	 no AP.
Increasing amplitude: 	20.1736 MV/m: 	 no AP.
Increasing amplitude: 	21.9995 MV/m: 	 no AP.
Increasing amplitude: 	23.9906 MV/m: 	 no AP.
Increasing amplitude: 	26.1619 MV/m: 	 no AP.
Increasing amplitude: 	28.5298 MV/m: 	 no AP.
Increasing amplitude: 	31.1119 MV/m: 	 no AP.
Increasing amplitude: 	33.9278 MV/m: 	 no AP.
Increasing amplitude: 	36.9985 MV/m: 	 no AP.
Increasing amplitude: 	40.3472 MV/m: 	 no AP.
Increasing amplitude: 	43.9989 MV/m: 	 no AP.
Increasing amplitude: 	47.9812 MV/m: 	 no AP.
Increasing amplitude: 	52.3238 MV/m: 	 no AP.
Increasing amplitude: 	57.0595 MV/m: 	 no AP.
Increasing amplitude: 	62.2239 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 8.39 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	6.3872 kV/m: 	 no AP.
Increasing amplitude: 	6.9653 kV/m: 	 no AP.
Increasing amplitude: 	7.5957 kV/m: 	 no AP.
Increasing amplitude: 	8.2832 kV/m: 	 no AP.
Increasing amplitude: 	9.0328 kV/m: 	 no AP.
Increasing amplitude: 	9.8504 kV/m: 	 no AP.
Increasing amplitude: 	10.7419 kV/m: 	 no AP.
Increasing amplitude: 	11.7141 kV/m: 	 no AP.
Increasing amplitude: 	12.7744 kV/m: 	 no AP.
Increasing amplitude: 	13.9305 kV/m: 	 no AP.
Increasing amplitude: 	15.1914 kV/m: 	 no AP.
Increasing amplitude: 	16.5663 kV/m: 	 no AP.
Increasing amplitude: 	18.0657 kV/m: 	 no AP.
Increasing amplitude: 	19.7008 kV/m: 	 no AP.
Increasing amplitude: 	21.4838 kV/m: 	 no AP.
Increasing amplitude: 	23.4283 kV/m: 	 no AP.
Increasing amplitude: 	25.5487 kV/m: 	 no AP.
Increasing amplitude: 	27.8611 kV/m: 	 no AP.
Increasing amplitude: 	30.3827 kV/m: 	 no AP.
Increasing amplitude: 	33.1326 kV/m: 	 no AP.
Increasing amplitude: 	36.1314 kV/m: 	 no AP.
Increasing amplitude: 	39.4015 kV/m: 	 no AP.
Increasing amplitude: 	42.9677 kV/m: 	 no AP.
Increasing amplitude: 	46.8566 kV/m: 	 no AP.
Increasing amplitude: 	51.0975 kV/m: 	 no AP.
Increasing amplitude: 	55.7222 kV/m: 	 no AP.
Increasing amplitude: 	60.7655 kV/m: 	 AP.
Lower bound: 55.7222 kV/m.   Upper bound: 60.7655 kV/m.   Search amplitude: 58.1892 kV/m: no AP.
Lower bound: 58.1892 kV/m.   Upper bound: 60.7655 kV/m.   Search amplitude: 59.4634 kV/m: no AP.
Lower bound: 59.4634 kV/m.   Upper bound: 60.7655 kV/m.   Search amplitude: 60.1109 kV/m: no AP.
Lower bound: 60.1109 kV/m.   Upper bound: 60.7655 kV/m.   Search amplitude: 60.4373 kV/m: AP.
Lower bound: 60.1109 kV/m.   Upper bound: 60.4373 kV/m.   Search amplitude: 60.2739 kV/m: no AP.
Binary search ended. Threshold: 60.2739 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 32.12 min.
 
-----------------------------------------------------------
Total run time: 40.511 min.
Results saved in UF_BndA_HH/Results/result_120.mat.
