Model type: 	Bend axon, antidromic
Parameter ID:	468
Pulse duration in ms:	1.4000
Field orientation in degrees:	108.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	63.3424  V/m: 	 no AP.
Increasing amplitude: 	69.0754  V/m: 	 no AP.
Increasing amplitude: 	75.3272  V/m: 	 no AP.
Increasing amplitude: 	82.1449  V/m: 	 no AP.
Increasing amplitude: 	89.5797  V/m: 	 no AP.
Increasing amplitude: 	97.6874  V/m: 	 no AP.
Increasing amplitude: 	0.1065 kV/m: 	 no AP.
Increasing amplitude: 	0.1162 kV/m: 	 no AP.
Increasing amplitude: 	0.1267 kV/m: 	 no AP.
Increasing amplitude: 	0.1382 kV/m: 	 no AP.
Increasing amplitude: 	0.1507 kV/m: 	 no AP.
Increasing amplitude: 	0.1643 kV/m: 	 no AP.
Increasing amplitude: 	0.1792 kV/m: 	 no AP.
Increasing amplitude: 	0.1954 kV/m: 	 no AP.
Increasing amplitude: 	0.2131 kV/m: 	 no AP.
Increasing amplitude: 	0.2323 kV/m: 	 no AP.
Increasing amplitude: 	0.2534 kV/m: 	 no AP.
Increasing amplitude: 	0.2763 kV/m: 	 no AP.
Increasing amplitude: 	0.3013 kV/m: 	 no AP.
Increasing amplitude: 	0.3286 kV/m: 	 no AP.
Increasing amplitude: 	0.3583 kV/m: 	 no AP.
Increasing amplitude: 	0.3907 kV/m: 	 no AP.
Increasing amplitude: 	0.4261 kV/m: 	 no AP.
Increasing amplitude: 	0.4647 kV/m: 	 no AP.
Increasing amplitude: 	0.5067 kV/m: 	 no AP.
Increasing amplitude: 	0.5526 kV/m: 	 no AP.
Increasing amplitude: 	0.6026 kV/m: 	 no AP.
Increasing amplitude: 	0.6572 kV/m: 	 no AP.
Increasing amplitude: 	0.7166 kV/m: 	 no AP.
Increasing amplitude: 	0.7815 kV/m: 	 no AP.
Increasing amplitude: 	0.8522 kV/m: 	 no AP.
Increasing amplitude: 	0.9294 kV/m: 	 no AP.
Increasing amplitude: 	1.0135 kV/m: 	 no AP.
Increasing amplitude: 	1.1052 kV/m: 	 no AP.
Increasing amplitude: 	1.2052 kV/m: 	 no AP.
Increasing amplitude: 	1.3143 kV/m: 	 no AP.
Increasing amplitude: 	1.4333 kV/m: 	 no AP.
Increasing amplitude: 	1.5630 kV/m: 	 no AP.
Increasing amplitude: 	1.7045 kV/m: 	 no AP.
Increasing amplitude: 	1.8587 kV/m: 	 no AP.
Increasing amplitude: 	2.0270 kV/m: 	 no AP.
Increasing amplitude: 	2.2104 kV/m: 	 no AP.
Increasing amplitude: 	2.4105 kV/m: 	 no AP.
Increasing amplitude: 	2.6286 kV/m: 	 no AP.
Increasing amplitude: 	2.8666 kV/m: 	 no AP.
Increasing amplitude: 	3.1260 kV/m: 	 no AP.
Increasing amplitude: 	3.4089 kV/m: 	 no AP.
Increasing amplitude: 	3.7175 kV/m: 	 no AP.
Increasing amplitude: 	4.0539 kV/m: 	 no AP.
Increasing amplitude: 	4.4208 kV/m: 	 no AP.
Increasing amplitude: 	4.8209 kV/m: 	 no AP.
Increasing amplitude: 	5.2573 kV/m: 	 no AP.
Increasing amplitude: 	5.7331 kV/m: 	 no AP.
Increasing amplitude: 	6.2520 kV/m: 	 no AP.
Increasing amplitude: 	6.8178 kV/m: 	 no AP.
Increasing amplitude: 	7.4349 kV/m: 	 no AP.
Increasing amplitude: 	8.1078 kV/m: 	 no AP.
Increasing amplitude: 	8.8417 kV/m: 	 no AP.
Increasing amplitude: 	9.6419 kV/m: 	 no AP.
Increasing amplitude: 	10.5146 kV/m: 	 no AP.
Increasing amplitude: 	11.4662 kV/m: 	 no AP.
Increasing amplitude: 	12.5040 kV/m: 	 no AP.
Increasing amplitude: 	13.6357 kV/m: 	 no AP.
Increasing amplitude: 	14.8698 kV/m: 	 no AP.
Increasing amplitude: 	16.2157 kV/m: 	 no AP.
Increasing amplitude: 	17.6833 kV/m: 	 no AP.
Increasing amplitude: 	19.2838 kV/m: 	 no AP.
Increasing amplitude: 	21.0291 kV/m: 	 no AP.
Increasing amplitude: 	22.9324 kV/m: 	 no AP.
Increasing amplitude: 	25.0080 kV/m: 	 no AP.
Increasing amplitude: 	27.2714 kV/m: 	 no AP.
Increasing amplitude: 	29.7396 kV/m: 	 no AP.
Increasing amplitude: 	32.4313 kV/m: 	 no AP.
Increasing amplitude: 	35.3666 kV/m: 	 no AP.
Increasing amplitude: 	38.5676 kV/m: 	 no AP.
Increasing amplitude: 	42.0582 kV/m: 	 no AP.
Increasing amplitude: 	45.8648 kV/m: 	 no AP.
Increasing amplitude: 	50.0159 kV/m: 	 no AP.
Increasing amplitude: 	54.5428 kV/m: 	 no AP.
Increasing amplitude: 	59.4793 kV/m: 	 no AP.
Increasing amplitude: 	64.8626 kV/m: 	 no AP.
Increasing amplitude: 	70.7332 kV/m: 	 no AP.
Increasing amplitude: 	77.1351 kV/m: 	 no AP.
Increasing amplitude: 	84.1164 kV/m: 	 no AP.
Increasing amplitude: 	91.7296 kV/m: 	 no AP.
Increasing amplitude: 	0.1000 MV/m: 	 no AP.
Increasing amplitude: 	0.1091 MV/m: 	 no AP.
Increasing amplitude: 	0.1190 MV/m: 	 no AP.
Increasing amplitude: 	0.1297 MV/m: 	 no AP.
