Model type: 	Bend axon, antidromic
Parameter ID:	219
Pulse duration in ms:	0.0310
Field orientation in degrees:	30.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	79.7548  V/m: 	 no AP.
Increasing amplitude: 	86.9732  V/m: 	 no AP.
Increasing amplitude: 	94.8450  V/m: 	 no AP.
Increasing amplitude: 	0.1034 kV/m: 	 no AP.
Increasing amplitude: 	0.1128 kV/m: 	 no AP.
Increasing amplitude: 	0.1230 kV/m: 	 no AP.
Increasing amplitude: 	0.1341 kV/m: 	 no AP.
Increasing amplitude: 	0.1463 kV/m: 	 no AP.
Increasing amplitude: 	0.1595 kV/m: 	 no AP.
Increasing amplitude: 	0.1739 kV/m: 	 no AP.
Increasing amplitude: 	0.1897 kV/m: 	 no AP.
Increasing amplitude: 	0.2069 kV/m: 	 no AP.
Increasing amplitude: 	0.2256 kV/m: 	 no AP.
Increasing amplitude: 	0.2460 kV/m: 	 no AP.
Increasing amplitude: 	0.2683 kV/m: 	 no AP.
Increasing amplitude: 	0.2925 kV/m: 	 no AP.
Increasing amplitude: 	0.3190 kV/m: 	 no AP.
Increasing amplitude: 	0.3479 kV/m: 	 no AP.
Increasing amplitude: 	0.3794 kV/m: 	 no AP.
Increasing amplitude: 	0.4137 kV/m: 	 no AP.
Increasing amplitude: 	0.4512 kV/m: 	 no AP.
Increasing amplitude: 	0.4920 kV/m: 	 no AP.
Increasing amplitude: 	0.5365 kV/m: 	 no AP.
Increasing amplitude: 	0.5851 kV/m: 	 no AP.
Increasing amplitude: 	0.6380 kV/m: 	 no AP.
Increasing amplitude: 	0.6958 kV/m: 	 no AP.
Increasing amplitude: 	0.7588 kV/m: 	 AP.
Lower bound: 0.6958 kV/m.   Upper bound: 0.7588 kV/m.   Search amplitude: 0.7266 kV/m: no AP.
Lower bound: 0.7266 kV/m.   Upper bound: 0.7588 kV/m.   Search amplitude: 0.7425 kV/m: AP.
Lower bound: 0.7266 kV/m.   Upper bound: 0.7425 kV/m.   Search amplitude: 0.7345 kV/m: no AP.
