Model type: 	Bend axon, antidromic
Parameter ID:	387
Pulse duration in ms:	0.4500
Field orientation in degrees:	30.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	8.5277  V/m: 	 no AP.
Increasing amplitude: 	9.2995  V/m: 	 no AP.
Increasing amplitude: 	10.1411  V/m: 	 no AP.
Increasing amplitude: 	11.0590  V/m: 	 no AP.
Increasing amplitude: 	12.0599  V/m: 	 no AP.
Increasing amplitude: 	13.1514  V/m: 	 no AP.
Increasing amplitude: 	14.3417  V/m: 	 no AP.
Increasing amplitude: 	15.6398  V/m: 	 no AP.
Increasing amplitude: 	17.0553  V/m: 	 no AP.
Increasing amplitude: 	18.5989  V/m: 	 no AP.
Increasing amplitude: 	20.2823  V/m: 	 no AP.
Increasing amplitude: 	22.1180  V/m: 	 no AP.
Increasing amplitude: 	24.1199  V/m: 	 no AP.
Increasing amplitude: 	26.3029  V/m: 	 no AP.
Increasing amplitude: 	28.6835  V/m: 	 no AP.
Increasing amplitude: 	31.2796  V/m: 	 no AP.
Increasing amplitude: 	34.1106  V/m: 	 no AP.
Increasing amplitude: 	37.1979  V/m: 	 no AP.
Increasing amplitude: 	40.5646  V/m: 	 no AP.
Increasing amplitude: 	44.2360  V/m: 	 no AP.
Increasing amplitude: 	48.2397  V/m: 	 no AP.
Increasing amplitude: 	52.6058  V/m: 	 no AP.
Increasing amplitude: 	57.3670  V/m: 	 no AP.
Increasing amplitude: 	62.5592  V/m: 	 no AP.
Increasing amplitude: 	68.2212  V/m: 	 AP.
Lower bound: 62.5592  V/m.   Upper bound: 68.2212  V/m.   Search amplitude: 65.3289  V/m: AP.
Lower bound: 62.5592  V/m.   Upper bound: 65.3289  V/m.   Search amplitude: 63.9290  V/m: AP.
Lower bound: 62.5592  V/m.   Upper bound: 63.9290  V/m.   Search amplitude: 63.2404  V/m: AP.
Lower bound: 62.5592  V/m.   Upper bound: 63.2404  V/m.   Search amplitude: 62.8988  V/m: no AP.
Lower bound: 62.8988  V/m.   Upper bound: 63.2404  V/m.   Search amplitude: 63.0694  V/m: AP.
Binary search ended. Threshold: 63.0694  V/m.
 
Run time for search: 3.63 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	6.8507  V/m: 	 no AP.
Increasing amplitude: 	7.0007  V/m: 	 no AP.
Increasing amplitude: 	7.1540  V/m: 	 no AP.
Increasing amplitude: 	7.3107  V/m: 	 no AP.
Increasing amplitude: 	7.4707  V/m: 	 no AP.
Increasing amplitude: 	7.6343  V/m: 	 no AP.
Increasing amplitude: 	7.8015  V/m: 	 no AP.
Increasing amplitude: 	7.9723  V/m: 	 no AP.
Increasing amplitude: 	8.1469  V/m: 	 no AP.
Increasing amplitude: 	8.3253  V/m: 	 no AP.
Increasing amplitude: 	8.5076  V/m: 	 no AP.
Increasing amplitude: 	8.6939  V/m: 	 no AP.
Increasing amplitude: 	8.8843  V/m: 	 no AP.
Increasing amplitude: 	9.0788  V/m: 	 no AP.
Increasing amplitude: 	9.2776  V/m: 	 no AP.
Increasing amplitude: 	9.4808  V/m: 	 no AP.
Increasing amplitude: 	9.6884  V/m: 	 no AP.
Increasing amplitude: 	9.9005  V/m: 	 no AP.
Increasing amplitude: 	10.1173  V/m: 	 no AP.
Increasing amplitude: 	10.3388  V/m: 	 no AP.
Increasing amplitude: 	10.5652  V/m: 	 no AP.
Increasing amplitude: 	10.7966  V/m: 	 no AP.
Increasing amplitude: 	11.0330  V/m: 	 no AP.
Increasing amplitude: 	11.2746  V/m: 	 no AP.
Increasing amplitude: 	11.5215  V/m: 	 no AP.
Increasing amplitude: 	11.7738  V/m: 	 no AP.
Increasing amplitude: 	12.0316  V/m: 	 no AP.
Increasing amplitude: 	12.2950  V/m: 	 no AP.
Increasing amplitude: 	12.5642  V/m: 	 no AP.
Increasing amplitude: 	12.8394  V/m: 	 no AP.
Increasing amplitude: 	13.1205  V/m: 	 no AP.
Increasing amplitude: 	13.4078  V/m: 	 no AP.
Increasing amplitude: 	13.7014  V/m: 	 no AP.
Increasing amplitude: 	14.0014  V/m: 	 no AP.
Increasing amplitude: 	14.3080  V/m: 	 no AP.
Increasing amplitude: 	14.6213  V/m: 	 no AP.
Increasing amplitude: 	14.9415  V/m: 	 no AP.
Increasing amplitude: 	15.2687  V/m: 	 no AP.
Increasing amplitude: 	15.6030  V/m: 	 no AP.
Increasing amplitude: 	15.9447  V/m: 	 no AP.
Increasing amplitude: 	16.2938  V/m: 	 no AP.
Increasing amplitude: 	16.6506  V/m: 	 no AP.
Increasing amplitude: 	17.0152  V/m: 	 no AP.
Increasing amplitude: 	17.3878  V/m: 	 no AP.
Increasing amplitude: 	17.7685  V/m: 	 no AP.
Increasing amplitude: 	18.1576  V/m: 	 no AP.
Increasing amplitude: 	18.5552  V/m: 	 no AP.
Increasing amplitude: 	18.9615  V/m: 	 no AP.
Increasing amplitude: 	19.3767  V/m: 	 no AP.
Increasing amplitude: 	19.8010  V/m: 	 no AP.
Increasing amplitude: 	20.2346  V/m: 	 no AP.
Increasing amplitude: 	20.6777  V/m: 	 no AP.
Increasing amplitude: 	21.1305  V/m: 	 no AP.
Increasing amplitude: 	21.5932  V/m: 	 no AP.
Increasing amplitude: 	22.0660  V/m: 	 no AP.
Increasing amplitude: 	22.5492  V/m: 	 no AP.
Increasing amplitude: 	23.0429  V/m: 	 no AP.
Increasing amplitude: 	23.5475  V/m: 	 no AP.
Increasing amplitude: 	24.0631  V/m: 	 no AP.
Increasing amplitude: 	24.5900  V/m: 	 no AP.
Increasing amplitude: 	25.1285  V/m: 	 no AP.
Increasing amplitude: 	25.6787  V/m: 	 no AP.
Increasing amplitude: 	26.2410  V/m: 	 no AP.
Increasing amplitude: 	26.8156  V/m: 	 no AP.
Increasing amplitude: 	27.4028  V/m: 	 no AP.
Increasing amplitude: 	28.0029  V/m: 	 no AP.
Increasing amplitude: 	28.6160  V/m: 	 no AP.
Increasing amplitude: 	29.2427  V/m: 	 no AP.
Increasing amplitude: 	29.8830  V/m: 	 no AP.
Increasing amplitude: 	30.5373  V/m: 	 no AP.
Increasing amplitude: 	31.2060  V/m: 	 no AP.
Increasing amplitude: 	31.8893  V/m: 	 no AP.
Increasing amplitude: 	32.5876  V/m: 	 no AP.
Increasing amplitude: 	33.3012  V/m: 	 no AP.
Increasing amplitude: 	34.0304  V/m: 	 no AP.
Increasing amplitude: 	34.7756  V/m: 	 no AP.
Increasing amplitude: 	35.5371  V/m: 	 no AP.
Increasing amplitude: 	36.3152  V/m: 	 no AP.
Increasing amplitude: 	37.1104  V/m: 	 no AP.
Increasing amplitude: 	37.9230  V/m: 	 no AP.
Increasing amplitude: 	38.7534  V/m: 	 no AP.
Increasing amplitude: 	39.6020  V/m: 	 no AP.
Increasing amplitude: 	40.4692  V/m: 	 no AP.
