Model type: 	Bend axon, antidromic
Parameter ID:	238
Pulse duration in ms:	0.0310
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.9558 kV/m: 	 no AP.
Increasing amplitude: 	1.0423 kV/m: 	 no AP.
Increasing amplitude: 	1.1366 kV/m: 	 no AP.
Increasing amplitude: 	1.2395 kV/m: 	 no AP.
Increasing amplitude: 	1.3517 kV/m: 	 no AP.
Increasing amplitude: 	1.4740 kV/m: 	 no AP.
Increasing amplitude: 	1.6074 kV/m: 	 no AP.
Increasing amplitude: 	1.7529 kV/m: 	 no AP.
Increasing amplitude: 	1.9116 kV/m: 	 no AP.
Increasing amplitude: 	2.0846 kV/m: 	 no AP.
Increasing amplitude: 	2.2733 kV/m: 	 no AP.
Increasing amplitude: 	2.4790 kV/m: 	 no AP.
Increasing amplitude: 	2.7034 kV/m: 	 no AP.
Increasing amplitude: 	2.9481 kV/m: 	 no AP.
Increasing amplitude: 	3.2149 kV/m: 	 no AP.
Increasing amplitude: 	3.5059 kV/m: 	 no AP.
Increasing amplitude: 	3.8232 kV/m: 	 no AP.
Increasing amplitude: 	4.1692 kV/m: 	 no AP.
Increasing amplitude: 	4.5466 kV/m: 	 no AP.
Increasing amplitude: 	4.9581 kV/m: 	 no AP.
Increasing amplitude: 	5.4068 kV/m: 	 no AP.
Increasing amplitude: 	5.8962 kV/m: 	 no AP.
Increasing amplitude: 	6.4298 kV/m: 	 no AP.
Increasing amplitude: 	7.0117 kV/m: 	 no AP.
Increasing amplitude: 	7.6464 kV/m: 	 no AP.
Increasing amplitude: 	8.3384 kV/m: 	 no AP.
Increasing amplitude: 	9.0931 kV/m: 	 no AP.
Increasing amplitude: 	9.9161 kV/m: 	 no AP.
Increasing amplitude: 	10.8136 kV/m: 	 no AP.
Increasing amplitude: 	11.7923 kV/m: 	 no AP.
Increasing amplitude: 	12.8596 kV/m: 	 no AP.
Increasing amplitude: 	14.0235 kV/m: 	 no AP.
Increasing amplitude: 	15.2927 kV/m: 	 no AP.
Increasing amplitude: 	16.6768 kV/m: 	 no AP.
Increasing amplitude: 	18.1862 kV/m: 	 no AP.
Increasing amplitude: 	19.8322 kV/m: 	 no AP.
Increasing amplitude: 	21.6272 kV/m: 	 no AP.
Increasing amplitude: 	23.5846 kV/m: 	 no AP.
Increasing amplitude: 	25.7192 kV/m: 	 no AP.
Increasing amplitude: 	28.0470 kV/m: 	 no AP.
Increasing amplitude: 	30.5855 kV/m: 	 no AP.
Increasing amplitude: 	33.3537 kV/m: 	 no AP.
Increasing amplitude: 	36.3724 kV/m: 	 no AP.
Increasing amplitude: 	39.6644 kV/m: 	 no AP.
Increasing amplitude: 	43.2544 kV/m: 	 no AP.
Increasing amplitude: 	47.1692 kV/m: 	 no AP.
Increasing amplitude: 	51.4384 kV/m: 	 no AP.
Increasing amplitude: 	56.0940 kV/m: 	 no AP.
Increasing amplitude: 	61.1709 kV/m: 	 no AP.
Increasing amplitude: 	66.7073 kV/m: 	 no AP.
Increasing amplitude: 	72.7449 kV/m: 	 no AP.
Increasing amplitude: 	79.3289 kV/m: 	 no AP.
Increasing amplitude: 	86.5087 kV/m: 	 no AP.
Increasing amplitude: 	94.3384 kV/m: 	 no AP.
Increasing amplitude: 	0.1029 MV/m: 	 no AP.
Increasing amplitude: 	0.1122 MV/m: 	 no AP.
Increasing amplitude: 	0.1223 MV/m: 	 no AP.
Increasing amplitude: 	0.1334 MV/m: 	 no AP.
Increasing amplitude: 	0.1455 MV/m: 	 no AP.
Increasing amplitude: 	0.1587 MV/m: 	 no AP.
Increasing amplitude: 	0.1730 MV/m: 	 no AP.
Increasing amplitude: 	0.1887 MV/m: 	 no AP.
Increasing amplitude: 	0.2058 MV/m: 	 no AP.
Increasing amplitude: 	0.2244 MV/m: 	 no AP.
Increasing amplitude: 	0.2447 MV/m: 	 no AP.
Increasing amplitude: 	0.2668 MV/m: 	 no AP.
Increasing amplitude: 	0.2910 MV/m: 	 no AP.
Increasing amplitude: 	0.3173 MV/m: 	 no AP.
Increasing amplitude: 	0.3460 MV/m: 	 no AP.
Increasing amplitude: 	0.3774 MV/m: 	 no AP.
Increasing amplitude: 	0.4115 MV/m: 	 no AP.
Increasing amplitude: 	0.4488 MV/m: 	 no AP.
Increasing amplitude: 	0.4894 MV/m: 	 no AP.
Increasing amplitude: 	0.5337 MV/m: 	 no AP.
Increasing amplitude: 	0.5820 MV/m: 	 no AP.
Increasing amplitude: 	0.6346 MV/m: 	 no AP.
Increasing amplitude: 	0.6921 MV/m: 	 no AP.
Increasing amplitude: 	0.7547 MV/m: 	 no AP.
Increasing amplitude: 	0.8230 MV/m: 	 no AP.
Increasing amplitude: 	0.8975 MV/m: 	 no AP.
Increasing amplitude: 	0.9787 MV/m: 	 no AP.
Increasing amplitude: 	1.0673 MV/m: 	 no AP.
Increasing amplitude: 	1.1639 MV/m: 	 no AP.
Increasing amplitude: 	1.2693 MV/m: 	 no AP.
Increasing amplitude: 	1.3841 MV/m: 	 no AP.
Increasing amplitude: 	1.5094 MV/m: 	 no AP.
Increasing amplitude: 	1.6460 MV/m: 	 no AP.
Increasing amplitude: 	1.7950 MV/m: 	 no AP.
Increasing amplitude: 	1.9575 MV/m: 	 no AP.
Increasing amplitude: 	2.1346 MV/m: 	 no AP.
Increasing amplitude: 	2.3278 MV/m: 	 no AP.
Increasing amplitude: 	2.5385 MV/m: 	 no AP.
Increasing amplitude: 	2.7683 MV/m: 	 no AP.
Increasing amplitude: 	3.0188 MV/m: 	 no AP.
Increasing amplitude: 	3.2921 MV/m: 	 no AP.
Increasing amplitude: 	3.5900 MV/m: 	 no AP.
Increasing amplitude: 	3.9149 MV/m: 	 no AP.
Increasing amplitude: 	4.2693 MV/m: 	 no AP.
Increasing amplitude: 	4.6557 MV/m: 	 no AP.
Increasing amplitude: 	5.0770 MV/m: 	 no AP.
Increasing amplitude: 	5.5366 MV/m: 	 no AP.
Increasing amplitude: 	6.0377 MV/m: 	 no AP.
Increasing amplitude: 	6.5841 MV/m: 	 no AP.
Increasing amplitude: 	7.1800 MV/m: 	 no AP.
Increasing amplitude: 	7.8299 MV/m: 	 no AP.
Increasing amplitude: 	8.5385 MV/m: 	 no AP.
Increasing amplitude: 	9.3113 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 8.29 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.9558 kV/m: 	 no AP.
Increasing amplitude: 	1.0423 kV/m: 	 no AP.
Increasing amplitude: 	1.1366 kV/m: 	 no AP.
Increasing amplitude: 	1.2395 kV/m: 	 no AP.
Increasing amplitude: 	1.3517 kV/m: 	 no AP.
Increasing amplitude: 	1.4740 kV/m: 	 no AP.
Increasing amplitude: 	1.6074 kV/m: 	 no AP.
Increasing amplitude: 	1.7529 kV/m: 	 no AP.
Increasing amplitude: 	1.9116 kV/m: 	 no AP.
Increasing amplitude: 	2.0846 kV/m: 	 no AP.
