Model type: 	Bend axon, antidromic
Parameter ID:	402
Pulse duration in ms:	0.4500
Field orientation in degrees:	114.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	94.1276  V/m: 	 no AP.
Increasing amplitude: 	0.1026 kV/m: 	 no AP.
Increasing amplitude: 	0.1119 kV/m: 	 no AP.
Increasing amplitude: 	0.1221 kV/m: 	 no AP.
Increasing amplitude: 	0.1331 kV/m: 	 no AP.
Increasing amplitude: 	0.1452 kV/m: 	 no AP.
Increasing amplitude: 	0.1583 kV/m: 	 no AP.
Increasing amplitude: 	0.1726 kV/m: 	 no AP.
Increasing amplitude: 	0.1883 kV/m: 	 no AP.
Increasing amplitude: 	0.2053 kV/m: 	 no AP.
Increasing amplitude: 	0.2239 kV/m: 	 no AP.
Increasing amplitude: 	0.2441 kV/m: 	 no AP.
Increasing amplitude: 	0.2662 kV/m: 	 no AP.
Increasing amplitude: 	0.2903 kV/m: 	 no AP.
Increasing amplitude: 	0.3166 kV/m: 	 no AP.
Increasing amplitude: 	0.3453 kV/m: 	 no AP.
Increasing amplitude: 	0.3765 kV/m: 	 no AP.
Increasing amplitude: 	0.4106 kV/m: 	 no AP.
Increasing amplitude: 	0.4477 kV/m: 	 no AP.
Increasing amplitude: 	0.4883 kV/m: 	 no AP.
Increasing amplitude: 	0.5325 kV/m: 	 no AP.
Increasing amplitude: 	0.5807 kV/m: 	 no AP.
Increasing amplitude: 	0.6332 kV/m: 	 no AP.
Increasing amplitude: 	0.6905 kV/m: 	 no AP.
Increasing amplitude: 	0.7530 kV/m: 	 no AP.
Increasing amplitude: 	0.8212 kV/m: 	 no AP.
Increasing amplitude: 	0.8955 kV/m: 	 no AP.
Increasing amplitude: 	0.9765 kV/m: 	 no AP.
Increasing amplitude: 	1.0649 kV/m: 	 no AP.
Increasing amplitude: 	1.1613 kV/m: 	 no AP.
Increasing amplitude: 	1.2664 kV/m: 	 no AP.
Increasing amplitude: 	1.3810 kV/m: 	 no AP.
Increasing amplitude: 	1.5060 kV/m: 	 no AP.
