Model type: 	Bend axon, antidromic
Parameter ID:	164
Pulse duration in ms:	0.0100
Field orientation in degrees:	117.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	2.8925 kV/m: 	 no AP.
Increasing amplitude: 	3.1543 kV/m: 	 no AP.
Increasing amplitude: 	3.4398 kV/m: 	 no AP.
Increasing amplitude: 	3.7511 kV/m: 	 no AP.
Increasing amplitude: 	4.0906 kV/m: 	 no AP.
Increasing amplitude: 	4.4608 kV/m: 	 no AP.
Increasing amplitude: 	4.8646 kV/m: 	 no AP.
Increasing amplitude: 	5.3049 kV/m: 	 no AP.
Increasing amplitude: 	5.7850 kV/m: 	 no AP.
Increasing amplitude: 	6.3086 kV/m: 	 no AP.
Increasing amplitude: 	6.8796 kV/m: 	 no AP.
Increasing amplitude: 	7.5022 kV/m: 	 no AP.
Increasing amplitude: 	8.1812 kV/m: 	 no AP.
Increasing amplitude: 	8.9217 kV/m: 	 no AP.
Increasing amplitude: 	9.7292 kV/m: 	 no AP.
Increasing amplitude: 	10.6097 kV/m: 	 no AP.
Increasing amplitude: 	11.5700 kV/m: 	 no AP.
Increasing amplitude: 	12.6172 kV/m: 	 no AP.
Increasing amplitude: 	13.7591 kV/m: 	 no AP.
Increasing amplitude: 	15.0044 kV/m: 	 no AP.
Increasing amplitude: 	16.3625 kV/m: 	 no AP.
Increasing amplitude: 	17.8434 kV/m: 	 no AP.
Increasing amplitude: 	19.4584 kV/m: 	 no AP.
Increasing amplitude: 	21.2195 kV/m: 	 no AP.
Increasing amplitude: 	23.1400 kV/m: 	 no AP.
Increasing amplitude: 	25.2344 kV/m: 	 no AP.
Increasing amplitude: 	27.5183 kV/m: 	 no AP.
Increasing amplitude: 	30.0089 kV/m: 	 no AP.
Increasing amplitude: 	32.7249 kV/m: 	 no AP.
Increasing amplitude: 	35.6868 kV/m: 	 no AP.
Increasing amplitude: 	38.9167 kV/m: 	 no AP.
Increasing amplitude: 	42.4390 kV/m: 	 no AP.
Increasing amplitude: 	46.2800 kV/m: 	 no AP.
Increasing amplitude: 	50.4687 kV/m: 	 no AP.
Increasing amplitude: 	55.0366 kV/m: 	 no AP.
Increasing amplitude: 	60.0178 kV/m: 	 no AP.
Increasing amplitude: 	65.4499 kV/m: 	 no AP.
Increasing amplitude: 	71.3736 kV/m: 	 no AP.
Increasing amplitude: 	77.8334 kV/m: 	 no AP.
Increasing amplitude: 	84.8780 kV/m: 	 no AP.
Increasing amplitude: 	92.5601 kV/m: 	 no AP.
Increasing amplitude: 	0.1009 MV/m: 	 no AP.
