Model type: 	Bend axon, antidromic
Parameter ID:	480
Pulse duration in ms:	1.4000
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	68.7726  V/m: 	 no AP.
Increasing amplitude: 	74.9971  V/m: 	 no AP.
Increasing amplitude: 	81.7849  V/m: 	 no AP.
Increasing amplitude: 	89.1870  V/m: 	 no AP.
Increasing amplitude: 	97.2591  V/m: 	 no AP.
Increasing amplitude: 	0.1061 kV/m: 	 no AP.
Increasing amplitude: 	0.1157 kV/m: 	 no AP.
Increasing amplitude: 	0.1261 kV/m: 	 no AP.
Increasing amplitude: 	0.1375 kV/m: 	 no AP.
Increasing amplitude: 	0.1500 kV/m: 	 no AP.
Increasing amplitude: 	0.1636 kV/m: 	 no AP.
Increasing amplitude: 	0.1784 kV/m: 	 no AP.
Increasing amplitude: 	0.1945 kV/m: 	 no AP.
Increasing amplitude: 	0.2121 kV/m: 	 no AP.
Increasing amplitude: 	0.2313 kV/m: 	 no AP.
Increasing amplitude: 	0.2523 kV/m: 	 no AP.
Increasing amplitude: 	0.2751 kV/m: 	 no AP.
Increasing amplitude: 	0.3000 kV/m: 	 no AP.
Increasing amplitude: 	0.3271 kV/m: 	 no AP.
Increasing amplitude: 	0.3567 kV/m: 	 no AP.
Increasing amplitude: 	0.3890 kV/m: 	 no AP.
Increasing amplitude: 	0.4242 kV/m: 	 no AP.
Increasing amplitude: 	0.4626 kV/m: 	 no AP.
Increasing amplitude: 	0.5045 kV/m: 	 no AP.
Increasing amplitude: 	0.5502 kV/m: 	 no AP.
Increasing amplitude: 	0.6000 kV/m: 	 no AP.
Increasing amplitude: 	0.6543 kV/m: 	 no AP.
Increasing amplitude: 	0.7135 kV/m: 	 no AP.
Increasing amplitude: 	0.7781 kV/m: 	 no AP.
Increasing amplitude: 	0.8485 kV/m: 	 no AP.
Increasing amplitude: 	0.9253 kV/m: 	 no AP.
Increasing amplitude: 	1.0090 kV/m: 	 no AP.
Increasing amplitude: 	1.1004 kV/m: 	 no AP.
Increasing amplitude: 	1.2000 kV/m: 	 no AP.
Increasing amplitude: 	1.3086 kV/m: 	 no AP.
Increasing amplitude: 	1.4270 kV/m: 	 no AP.
Increasing amplitude: 	1.5561 kV/m: 	 no AP.
Increasing amplitude: 	1.6970 kV/m: 	 no AP.
Increasing amplitude: 	1.8506 kV/m: 	 no AP.
Increasing amplitude: 	2.0181 kV/m: 	 no AP.
Increasing amplitude: 	2.2007 kV/m: 	 no AP.
Increasing amplitude: 	2.3999 kV/m: 	 no AP.
Increasing amplitude: 	2.6171 kV/m: 	 no AP.
Increasing amplitude: 	2.8540 kV/m: 	 no AP.
Increasing amplitude: 	3.1123 kV/m: 	 no AP.
Increasing amplitude: 	3.3940 kV/m: 	 no AP.
Increasing amplitude: 	3.7012 kV/m: 	 no AP.
Increasing amplitude: 	4.0361 kV/m: 	 no AP.
Increasing amplitude: 	4.4014 kV/m: 	 no AP.
Increasing amplitude: 	4.7998 kV/m: 	 no AP.
Increasing amplitude: 	5.2342 kV/m: 	 no AP.
Increasing amplitude: 	5.7080 kV/m: 	 no AP.
Increasing amplitude: 	6.2246 kV/m: 	 no AP.
Increasing amplitude: 	6.7880 kV/m: 	 no AP.
Increasing amplitude: 	7.4023 kV/m: 	 no AP.
Increasing amplitude: 	8.0723 kV/m: 	 no AP.
Increasing amplitude: 	8.8029 kV/m: 	 no AP.
Increasing amplitude: 	9.5996 kV/m: 	 no AP.
Increasing amplitude: 	10.4685 kV/m: 	 no AP.
Increasing amplitude: 	11.4159 kV/m: 	 no AP.
Increasing amplitude: 	12.4492 kV/m: 	 no AP.
Increasing amplitude: 	13.5759 kV/m: 	 no AP.
Increasing amplitude: 	14.8046 kV/m: 	 no AP.
Increasing amplitude: 	16.1446 kV/m: 	 no AP.
Increasing amplitude: 	17.6058 kV/m: 	 no AP.
Increasing amplitude: 	19.1992 kV/m: 	 no AP.
Increasing amplitude: 	20.9369 kV/m: 	 no AP.
Increasing amplitude: 	22.8319 kV/m: 	 no AP.
Increasing amplitude: 	24.8983 kV/m: 	 no AP.
Increasing amplitude: 	27.1518 kV/m: 	 no AP.
