Model type: 	Bend axon, antidromic
Parameter ID:	41
Pulse duration in ms:	0.0014
Field orientation in degrees:	113.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	18.8417 kV/m: 	 no AP.
Increasing amplitude: 	20.5470 kV/m: 	 no AP.
Increasing amplitude: 	22.4067 kV/m: 	 no AP.
Increasing amplitude: 	24.4346 kV/m: 	 no AP.
Increasing amplitude: 	26.6462 kV/m: 	 no AP.
Increasing amplitude: 	29.0578 kV/m: 	 no AP.
Increasing amplitude: 	31.6878 kV/m: 	 no AP.
Increasing amplitude: 	34.5558 kV/m: 	 no AP.
Increasing amplitude: 	37.6834 kV/m: 	 no AP.
Increasing amplitude: 	41.0940 kV/m: 	 no AP.
Increasing amplitude: 	44.8133 kV/m: 	 no AP.
Increasing amplitude: 	48.8693 kV/m: 	 no AP.
Increasing amplitude: 	53.2923 kV/m: 	 no AP.
Increasing amplitude: 	58.1157 kV/m: 	 no AP.
Increasing amplitude: 	63.3756 kV/m: 	 no AP.
Increasing amplitude: 	69.1116 kV/m: 	 no AP.
Increasing amplitude: 	75.3667 kV/m: 	 no AP.
Increasing amplitude: 	82.1880 kV/m: 	 no AP.
Increasing amplitude: 	89.6266 kV/m: 	 no AP.
Increasing amplitude: 	97.7385 kV/m: 	 no AP.
Increasing amplitude: 	0.1066 MV/m: 	 no AP.
Increasing amplitude: 	0.1162 MV/m: 	 no AP.
Increasing amplitude: 	0.1268 MV/m: 	 no AP.
Increasing amplitude: 	0.1382 MV/m: 	 no AP.
Increasing amplitude: 	0.1507 MV/m: 	 no AP.
Increasing amplitude: 	0.1644 MV/m: 	 no AP.
Increasing amplitude: 	0.1793 MV/m: 	 no AP.
Increasing amplitude: 	0.1955 MV/m: 	 no AP.
Increasing amplitude: 	0.2132 MV/m: 	 no AP.
Increasing amplitude: 	0.2325 MV/m: 	 no AP.
Increasing amplitude: 	0.2535 MV/m: 	 no AP.
Increasing amplitude: 	0.2764 MV/m: 	 no AP.
Increasing amplitude: 	0.3015 MV/m: 	 no AP.
