Model type: 	Bend axon, antidromic
Parameter ID:	185
Pulse duration in ms:	0.0140
Field orientation in degrees:	113.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	1.9117 kV/m: 	 no AP.
Increasing amplitude: 	2.0847 kV/m: 	 no AP.
Increasing amplitude: 	2.2734 kV/m: 	 no AP.
Increasing amplitude: 	2.4792 kV/m: 	 no AP.
Increasing amplitude: 	2.7036 kV/m: 	 no AP.
Increasing amplitude: 	2.9483 kV/m: 	 no AP.
Increasing amplitude: 	3.2151 kV/m: 	 no AP.
Increasing amplitude: 	3.5061 kV/m: 	 no AP.
Increasing amplitude: 	3.8234 kV/m: 	 no AP.
Increasing amplitude: 	4.1695 kV/m: 	 no AP.
Increasing amplitude: 	4.5468 kV/m: 	 no AP.
Increasing amplitude: 	4.9584 kV/m: 	 no AP.
Increasing amplitude: 	5.4071 kV/m: 	 no AP.
Increasing amplitude: 	5.8965 kV/m: 	 no AP.
Increasing amplitude: 	6.4302 kV/m: 	 no AP.
Increasing amplitude: 	7.0122 kV/m: 	 no AP.
Increasing amplitude: 	7.6468 kV/m: 	 no AP.
Increasing amplitude: 	8.3389 kV/m: 	 no AP.
Increasing amplitude: 	9.0937 kV/m: 	 no AP.
Increasing amplitude: 	9.9167 kV/m: 	 no AP.
Increasing amplitude: 	10.8143 kV/m: 	 no AP.
Increasing amplitude: 	11.7931 kV/m: 	 no AP.
Increasing amplitude: 	12.8604 kV/m: 	 no AP.
Increasing amplitude: 	14.0244 kV/m: 	 no AP.
Increasing amplitude: 	15.2937 kV/m: 	 no AP.
Increasing amplitude: 	16.6779 kV/m: 	 no AP.
Increasing amplitude: 	18.1874 kV/m: 	 no AP.
Increasing amplitude: 	19.8335 kV/m: 	 no AP.
Increasing amplitude: 	21.6286 kV/m: 	 no AP.
Increasing amplitude: 	23.5861 kV/m: 	 no AP.
Increasing amplitude: 	25.7208 kV/m: 	 no AP.
Increasing amplitude: 	28.0488 kV/m: 	 no AP.
Increasing amplitude: 	30.5874 kV/m: 	 no AP.
Increasing amplitude: 	33.3558 kV/m: 	 no AP.
Increasing amplitude: 	36.3747 kV/m: 	 no AP.
Increasing amplitude: 	39.6669 kV/m: 	 no AP.
Increasing amplitude: 	43.2571 kV/m: 	 no AP.
Increasing amplitude: 	47.1722 kV/m: 	 no AP.
Increasing amplitude: 	51.4417 kV/m: 	 no AP.
Increasing amplitude: 	56.0975 kV/m: 	 no AP.
Increasing amplitude: 	61.1748 kV/m: 	 no AP.
Increasing amplitude: 	66.7116 kV/m: 	 no AP.
Increasing amplitude: 	72.7495 kV/m: 	 no AP.
Increasing amplitude: 	79.3339 kV/m: 	 no AP.
Increasing amplitude: 	86.5142 kV/m: 	 no AP.
Increasing amplitude: 	94.3444 kV/m: 	 no AP.
Increasing amplitude: 	0.1029 MV/m: 	 no AP.
Increasing amplitude: 	0.1122 MV/m: 	 no AP.
Increasing amplitude: 	0.1223 MV/m: 	 no AP.
Increasing amplitude: 	0.1334 MV/m: 	 no AP.
Increasing amplitude: 	0.1455 MV/m: 	 no AP.
Increasing amplitude: 	0.1587 MV/m: 	 no AP.
Increasing amplitude: 	0.1730 MV/m: 	 no AP.
Increasing amplitude: 	0.1887 MV/m: 	 no AP.
Increasing amplitude: 	0.2058 MV/m: 	 no AP.
Increasing amplitude: 	0.2244 MV/m: 	 no AP.
Increasing amplitude: 	0.2447 MV/m: 	 no AP.
Increasing amplitude: 	0.2668 MV/m: 	 no AP.
Increasing amplitude: 	0.2910 MV/m: 	 no AP.
Increasing amplitude: 	0.3173 MV/m: 	 no AP.
Increasing amplitude: 	0.3461 MV/m: 	 no AP.
Increasing amplitude: 	0.3774 MV/m: 	 no AP.
Increasing amplitude: 	0.4115 MV/m: 	 no AP.
Increasing amplitude: 	0.4488 MV/m: 	 no AP.
Increasing amplitude: 	0.4894 MV/m: 	 no AP.
Increasing amplitude: 	0.5337 MV/m: 	 no AP.
Increasing amplitude: 	0.5820 MV/m: 	 no AP.
Increasing amplitude: 	0.6347 MV/m: 	 no AP.
Increasing amplitude: 	0.6921 MV/m: 	 no AP.
Increasing amplitude: 	0.7548 MV/m: 	 no AP.
Increasing amplitude: 	0.8231 MV/m: 	 no AP.
Increasing amplitude: 	0.8976 MV/m: 	 no AP.
Increasing amplitude: 	0.9788 MV/m: 	 no AP.
Increasing amplitude: 	1.0674 MV/m: 	 no AP.
Increasing amplitude: 	1.1640 MV/m: 	 no AP.
Increasing amplitude: 	1.2693 MV/m: 	 no AP.
Increasing amplitude: 	1.3842 MV/m: 	 no AP.
Increasing amplitude: 	1.5095 MV/m: 	 no AP.
Increasing amplitude: 	1.6461 MV/m: 	 no AP.
Increasing amplitude: 	1.7951 MV/m: 	 no AP.
Increasing amplitude: 	1.9576 MV/m: 	 no AP.
Increasing amplitude: 	2.1348 MV/m: 	 no AP.
Increasing amplitude: 	2.3280 MV/m: 	 no AP.
Increasing amplitude: 	2.5387 MV/m: 	 no AP.
Increasing amplitude: 	2.7685 MV/m: 	 no AP.
Increasing amplitude: 	3.0190 MV/m: 	 no AP.
Increasing amplitude: 	3.2923 MV/m: 	 no AP.
Increasing amplitude: 	3.5902 MV/m: 	 no AP.
Increasing amplitude: 	3.9152 MV/m: 	 no AP.
Increasing amplitude: 	4.2695 MV/m: 	 no AP.
Increasing amplitude: 	4.6560 MV/m: 	 no AP.
Increasing amplitude: 	5.0774 MV/m: 	 no AP.
Increasing amplitude: 	5.5369 MV/m: 	 no AP.
Increasing amplitude: 	6.0380 MV/m: 	 no AP.
Increasing amplitude: 	6.5845 MV/m: 	 no AP.
Increasing amplitude: 	7.1805 MV/m: 	 no AP.
Increasing amplitude: 	7.8304 MV/m: 	 no AP.
Increasing amplitude: 	8.5391 MV/m: 	 no AP.
Increasing amplitude: 	9.3119 MV/m: 	 no AP.
Increasing amplitude: 	10.1547 MV/m: 	 no AP.
Increasing amplitude: 	11.0738 MV/m: 	 no AP.
Increasing amplitude: 	12.0761 MV/m: 	 no AP.
Increasing amplitude: 	13.1691 MV/m: 	 no AP.
Increasing amplitude: 	14.3610 MV/m: 	 no AP.
Increasing amplitude: 	15.6607 MV/m: 	 no AP.
Increasing amplitude: 	17.0782 MV/m: 	 no AP.
Increasing amplitude: 	18.6239 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 14.38 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	1.9117 kV/m: 	 no AP.
Increasing amplitude: 	2.0847 kV/m: 	 no AP.
Increasing amplitude: 	2.2734 kV/m: 	 no AP.
Increasing amplitude: 	2.4792 kV/m: 	 no AP.
Increasing amplitude: 	2.7036 kV/m: 	 no AP.
Increasing amplitude: 	2.9483 kV/m: 	 no AP.
Increasing amplitude: 	3.2151 kV/m: 	 no AP.
Increasing amplitude: 	3.5061 kV/m: 	 no AP.
Increasing amplitude: 	3.8234 kV/m: 	 no AP.
Increasing amplitude: 	4.1695 kV/m: 	 no AP.
Increasing amplitude: 	4.5468 kV/m: 	 no AP.
Increasing amplitude: 	4.9584 kV/m: 	 no AP.
Increasing amplitude: 	5.4071 kV/m: 	 no AP.
Increasing amplitude: 	5.8965 kV/m: 	 no AP.
Increasing amplitude: 	6.4302 kV/m: 	 no AP.
Increasing amplitude: 	7.0122 kV/m: 	 no AP.
Increasing amplitude: 	7.6468 kV/m: 	 no AP.
