Model type: 	Bend axon, antidromic
Parameter ID:	269
Pulse duration in ms:	0.0680
Field orientation in degrees:	60.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	65.6720  V/m: 	 no AP.
Increasing amplitude: 	71.6158  V/m: 	 no AP.
Increasing amplitude: 	78.0976  V/m: 	 no AP.
Increasing amplitude: 	85.1660  V/m: 	 no AP.
Increasing amplitude: 	92.8742  V/m: 	 no AP.
Increasing amplitude: 	0.1013 kV/m: 	 no AP.
Increasing amplitude: 	0.1104 kV/m: 	 no AP.
Increasing amplitude: 	0.1204 kV/m: 	 no AP.
Increasing amplitude: 	0.1313 kV/m: 	 no AP.
Increasing amplitude: 	0.1432 kV/m: 	 no AP.
Increasing amplitude: 	0.1562 kV/m: 	 no AP.
Increasing amplitude: 	0.1703 kV/m: 	 no AP.
Increasing amplitude: 	0.1857 kV/m: 	 no AP.
Increasing amplitude: 	0.2026 kV/m: 	 no AP.
Increasing amplitude: 	0.2209 kV/m: 	 no AP.
Increasing amplitude: 	0.2409 kV/m: 	 no AP.
Increasing amplitude: 	0.2627 kV/m: 	 no AP.
Increasing amplitude: 	0.2865 kV/m: 	 no AP.
Increasing amplitude: 	0.3124 kV/m: 	 no AP.
Increasing amplitude: 	0.3407 kV/m: 	 no AP.
Increasing amplitude: 	0.3715 kV/m: 	 no AP.
Increasing amplitude: 	0.4051 kV/m: 	 no AP.
Increasing amplitude: 	0.4418 kV/m: 	 no AP.
Increasing amplitude: 	0.4818 kV/m: 	 no AP.
Increasing amplitude: 	0.5254 kV/m: 	 no AP.
Increasing amplitude: 	0.5729 kV/m: 	 AP.
Lower bound: 0.5254 kV/m.   Upper bound: 0.5729 kV/m.   Search amplitude: 0.5486 kV/m: AP.
Lower bound: 0.5254 kV/m.   Upper bound: 0.5486 kV/m.   Search amplitude: 0.5369 kV/m: AP.
Lower bound: 0.5254 kV/m.   Upper bound: 0.5369 kV/m.   Search amplitude: 0.5311 kV/m: no AP.
Lower bound: 0.5311 kV/m.   Upper bound: 0.5369 kV/m.   Search amplitude: 0.5340 kV/m: AP.
Lower bound: 0.5311 kV/m.   Upper bound: 0.5340 kV/m.   Search amplitude: 0.5325 kV/m: AP.
Binary search ended. Threshold: 0.5325 kV/m.
 
Run time for search: 3.18 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	57.8450  V/m: 	 no AP.
Increasing amplitude: 	59.1117  V/m: 	 no AP.
Increasing amplitude: 	60.4061  V/m: 	 no AP.
Increasing amplitude: 	61.7288  V/m: 	 no AP.
Increasing amplitude: 	63.0805  V/m: 	 no AP.
