Model type: 	Bend axon, antidromic
Parameter ID:	292
Pulse duration in ms:	0.1000
Field orientation in degrees:	45.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	32.7273  V/m: 	 no AP.
Increasing amplitude: 	35.6893  V/m: 	 no AP.
Increasing amplitude: 	38.9195  V/m: 	 no AP.
Increasing amplitude: 	42.4420  V/m: 	 no AP.
Increasing amplitude: 	46.2833  V/m: 	 no AP.
Increasing amplitude: 	50.4724  V/m: 	 no AP.
Increasing amplitude: 	55.0405  V/m: 	 no AP.
Increasing amplitude: 	60.0221  V/m: 	 no AP.
Increasing amplitude: 	65.4545  V/m: 	 no AP.
Increasing amplitude: 	71.3787  V/m: 	 no AP.
Increasing amplitude: 	77.8390  V/m: 	 no AP.
Increasing amplitude: 	84.8840  V/m: 	 no AP.
Increasing amplitude: 	92.5667  V/m: 	 no AP.
Increasing amplitude: 	0.1009 kV/m: 	 no AP.
Increasing amplitude: 	0.1101 kV/m: 	 no AP.
Increasing amplitude: 	0.1200 kV/m: 	 no AP.
Increasing amplitude: 	0.1309 kV/m: 	 no AP.
Increasing amplitude: 	0.1428 kV/m: 	 no AP.
Increasing amplitude: 	0.1557 kV/m: 	 no AP.
Increasing amplitude: 	0.1698 kV/m: 	 no AP.
Increasing amplitude: 	0.1851 kV/m: 	 no AP.
Increasing amplitude: 	0.2019 kV/m: 	 no AP.
Increasing amplitude: 	0.2202 kV/m: 	 no AP.
Increasing amplitude: 	0.2401 kV/m: 	 no AP.
Increasing amplitude: 	0.2618 kV/m: 	 no AP.
Increasing amplitude: 	0.2855 kV/m: 	 AP.
Lower bound: 0.2618 kV/m.   Upper bound: 0.2855 kV/m.   Search amplitude: 0.2734 kV/m: no AP.
Lower bound: 0.2734 kV/m.   Upper bound: 0.2855 kV/m.   Search amplitude: 0.2794 kV/m: no AP.
Lower bound: 0.2794 kV/m.   Upper bound: 0.2855 kV/m.   Search amplitude: 0.2824 kV/m: AP.
Lower bound: 0.2794 kV/m.   Upper bound: 0.2824 kV/m.   Search amplitude: 0.2809 kV/m: AP.
Lower bound: 0.2794 kV/m.   Upper bound: 0.2809 kV/m.   Search amplitude: 0.2802 kV/m: AP.
Binary search ended. Threshold: 0.2802 kV/m.
 
Run time for search: 3.98 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	30.4308  V/m: 	 no AP.
Increasing amplitude: 	31.0972  V/m: 	 no AP.
Increasing amplitude: 	31.7781  V/m: 	 no AP.
Increasing amplitude: 	32.4740  V/m: 	 no AP.
Increasing amplitude: 	33.1851  V/m: 	 no AP.
Increasing amplitude: 	33.9117  V/m: 	 no AP.
Increasing amplitude: 	34.6543  V/m: 	 no AP.
Increasing amplitude: 	35.4131  V/m: 	 no AP.
Increasing amplitude: 	36.1886  V/m: 	 no AP.
Increasing amplitude: 	36.9810  V/m: 	 no AP.
Increasing amplitude: 	37.7908  V/m: 	 no AP.
Increasing amplitude: 	38.6183  V/m: 	 no AP.
Increasing amplitude: 	39.4639  V/m: 	 no AP.
Increasing amplitude: 	40.3281  V/m: 	 no AP.
Increasing amplitude: 	41.2111  V/m: 	 no AP.
Increasing amplitude: 	42.1135  V/m: 	 no AP.
Increasing amplitude: 	43.0357  V/m: 	 no AP.
Increasing amplitude: 	43.9781  V/m: 	 no AP.
Increasing amplitude: 	44.9411  V/m: 	 no AP.
Increasing amplitude: 	45.9251  V/m: 	 no AP.
Increasing amplitude: 	46.9308  V/m: 	 no AP.
Increasing amplitude: 	47.9584  V/m: 	 no AP.
Increasing amplitude: 	49.0086  V/m: 	 no AP.
Increasing amplitude: 	50.0817  V/m: 	 no AP.
Increasing amplitude: 	51.1784  V/m: 	 no AP.
Increasing amplitude: 	52.2990  V/m: 	 no AP.
