Model type: 	Bend axon, antidromic
Parameter ID:	63
Pulse duration in ms:	0.0021
Field orientation in degrees:	111.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	12.5713 kV/m: 	 no AP.
Increasing amplitude: 	13.7091 kV/m: 	 no AP.
Increasing amplitude: 	14.9498 kV/m: 	 no AP.
Increasing amplitude: 	16.3029 kV/m: 	 no AP.
Increasing amplitude: 	17.7785 kV/m: 	 no AP.
Increasing amplitude: 	19.3876 kV/m: 	 no AP.
Increasing amplitude: 	21.1423 kV/m: 	 no AP.
Increasing amplitude: 	23.0558 kV/m: 	 no AP.
Increasing amplitude: 	25.1425 kV/m: 	 no AP.
Increasing amplitude: 	27.4181 kV/m: 	 no AP.
Increasing amplitude: 	29.8997 kV/m: 	 no AP.
Increasing amplitude: 	32.6059 kV/m: 	 no AP.
Increasing amplitude: 	35.5569 kV/m: 	 no AP.
Increasing amplitude: 	38.7751 kV/m: 	 no AP.
Increasing amplitude: 	42.2846 kV/m: 	 no AP.
Increasing amplitude: 	46.1116 kV/m: 	 no AP.
Increasing amplitude: 	50.2851 kV/m: 	 no AP.
Increasing amplitude: 	54.8363 kV/m: 	 no AP.
Increasing amplitude: 	59.7994 kV/m: 	 no AP.
Increasing amplitude: 	65.2117 kV/m: 	 no AP.
Increasing amplitude: 	71.1139 kV/m: 	 no AP.
Increasing amplitude: 	77.5502 kV/m: 	 no AP.
Increasing amplitude: 	84.5691 kV/m: 	 no AP.
Increasing amplitude: 	92.2233 kV/m: 	 no AP.
Increasing amplitude: 	0.1006 MV/m: 	 no AP.
Increasing amplitude: 	0.1097 MV/m: 	 no AP.
Increasing amplitude: 	0.1196 MV/m: 	 no AP.
Increasing amplitude: 	0.1304 MV/m: 	 no AP.
Increasing amplitude: 	0.1422 MV/m: 	 no AP.
Increasing amplitude: 	0.1551 MV/m: 	 no AP.
Increasing amplitude: 	0.1691 MV/m: 	 no AP.
Increasing amplitude: 	0.1844 MV/m: 	 no AP.
Increasing amplitude: 	0.2011 MV/m: 	 no AP.
Increasing amplitude: 	0.2193 MV/m: 	 no AP.
Increasing amplitude: 	0.2392 MV/m: 	 no AP.
Increasing amplitude: 	0.2608 MV/m: 	 no AP.
Increasing amplitude: 	0.2845 MV/m: 	 no AP.
Increasing amplitude: 	0.3102 MV/m: 	 no AP.
Increasing amplitude: 	0.3383 MV/m: 	 no AP.
Increasing amplitude: 	0.3689 MV/m: 	 no AP.
Increasing amplitude: 	0.4023 MV/m: 	 no AP.
Increasing amplitude: 	0.4387 MV/m: 	 no AP.
Increasing amplitude: 	0.4784 MV/m: 	 no AP.
Increasing amplitude: 	0.5217 MV/m: 	 no AP.
Increasing amplitude: 	0.5689 MV/m: 	 no AP.
Increasing amplitude: 	0.6204 MV/m: 	 no AP.
Increasing amplitude: 	0.6766 MV/m: 	 no AP.
Increasing amplitude: 	0.7378 MV/m: 	 no AP.
Increasing amplitude: 	0.8046 MV/m: 	 no AP.
Increasing amplitude: 	0.8774 MV/m: 	 no AP.
Increasing amplitude: 	0.9568 MV/m: 	 no AP.
Increasing amplitude: 	1.0434 MV/m: 	 no AP.
Increasing amplitude: 	1.1378 MV/m: 	 no AP.
Increasing amplitude: 	1.2408 MV/m: 	 no AP.
Increasing amplitude: 	1.3531 MV/m: 	 no AP.
Increasing amplitude: 	1.4756 MV/m: 	 no AP.
Increasing amplitude: 	1.6091 MV/m: 	 no AP.
Increasing amplitude: 	1.7548 MV/m: 	 no AP.
Increasing amplitude: 	1.9136 MV/m: 	 no AP.
Increasing amplitude: 	2.0868 MV/m: 	 no AP.
Increasing amplitude: 	2.2756 MV/m: 	 no AP.
Increasing amplitude: 	2.4816 MV/m: 	 no AP.
Increasing amplitude: 	2.7062 MV/m: 	 no AP.
Increasing amplitude: 	2.9511 MV/m: 	 no AP.
Increasing amplitude: 	3.2182 MV/m: 	 no AP.
Increasing amplitude: 	3.5095 MV/m: 	 no AP.
Increasing amplitude: 	3.8272 MV/m: 	 no AP.
Increasing amplitude: 	4.1735 MV/m: 	 no AP.
Increasing amplitude: 	4.5513 MV/m: 	 no AP.
Increasing amplitude: 	4.9632 MV/m: 	 no AP.
Increasing amplitude: 	5.4124 MV/m: 	 no AP.
Increasing amplitude: 	5.9023 MV/m: 	 no AP.
Increasing amplitude: 	6.4365 MV/m: 	 no AP.
Increasing amplitude: 	7.0190 MV/m: 	 no AP.
Increasing amplitude: 	7.6543 MV/m: 	 no AP.
Increasing amplitude: 	8.3471 MV/m: 	 no AP.
Increasing amplitude: 	9.1026 MV/m: 	 no AP.
Increasing amplitude: 	9.9264 MV/m: 	 no AP.
Increasing amplitude: 	10.8248 MV/m: 	 no AP.
Increasing amplitude: 	11.8046 MV/m: 	 no AP.
Increasing amplitude: 	12.8730 MV/m: 	 no AP.
Increasing amplitude: 	14.0381 MV/m: 	 no AP.
Increasing amplitude: 	15.3086 MV/m: 	 no AP.
Increasing amplitude: 	16.6942 MV/m: 	 no AP.
Increasing amplitude: 	18.2051 MV/m: 	 no AP.
Increasing amplitude: 	19.8529 MV/m: 	 no AP.
Increasing amplitude: 	21.6497 MV/m: 	 no AP.
Increasing amplitude: 	23.6092 MV/m: 	 no AP.
Increasing amplitude: 	25.7460 MV/m: 	 no AP.
Increasing amplitude: 	28.0762 MV/m: 	 no AP.
Increasing amplitude: 	30.6173 MV/m: 	 no AP.
Increasing amplitude: 	33.3884 MV/m: 	 no AP.
Increasing amplitude: 	36.4103 MV/m: 	 no AP.
Increasing amplitude: 	39.7057 MV/m: 	 no AP.
Increasing amplitude: 	43.2994 MV/m: 	 no AP.
Increasing amplitude: 	47.2183 MV/m: 	 no AP.
Increasing amplitude: 	51.4919 MV/m: 	 no AP.
Increasing amplitude: 	56.1524 MV/m: 	 no AP.
Increasing amplitude: 	61.2346 MV/m: 	 no AP.
Increasing amplitude: 	66.7768 MV/m: 	 no AP.
Increasing amplitude: 	72.8206 MV/m: 	 no AP.
Increasing amplitude: 	79.4114 MV/m: 	 no AP.
Increasing amplitude: 	86.5988 MV/m: 	 no AP.
Increasing amplitude: 	94.4366 MV/m: 	 no AP.
Increasing amplitude: 	0.1030 GV/m: 	 no AP.
Increasing amplitude: 	0.1123 GV/m: 	 no AP.
Increasing amplitude: 	0.1225 GV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 8.98 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	12.5713 kV/m: 	 no AP.
Increasing amplitude: 	13.7091 kV/m: 	 no AP.
Increasing amplitude: 	14.9498 kV/m: 	 no AP.
Increasing amplitude: 	16.3029 kV/m: 	 no AP.
Increasing amplitude: 	17.7785 kV/m: 	 no AP.
Increasing amplitude: 	19.3876 kV/m: 	 no AP.
Increasing amplitude: 	21.1423 kV/m: 	 no AP.
Increasing amplitude: 	23.0558 kV/m: 	 no AP.
Increasing amplitude: 	25.1425 kV/m: 	 no AP.
Increasing amplitude: 	27.4181 kV/m: 	 no AP.
Increasing amplitude: 	29.8997 kV/m: 	 no AP.
Increasing amplitude: 	32.6059 kV/m: 	 no AP.
Increasing amplitude: 	35.5569 kV/m: 	 no AP.
Increasing amplitude: 	38.7751 kV/m: 	 no AP.
Increasing amplitude: 	42.2846 kV/m: 	 no AP.
Increasing amplitude: 	46.1116 kV/m: 	 no AP.
Increasing amplitude: 	50.2851 kV/m: 	 no AP.
Increasing amplitude: 	54.8363 kV/m: 	 no AP.
Increasing amplitude: 	59.7994 kV/m: 	 no AP.
Increasing amplitude: 	65.2117 kV/m: 	 no AP.
Increasing amplitude: 	71.1139 kV/m: 	 no AP.
Increasing amplitude: 	77.5502 kV/m: 	 no AP.
Increasing amplitude: 	84.5691 kV/m: 	 no AP.
Increasing amplitude: 	92.2233 kV/m: 	 no AP.
Increasing amplitude: 	0.1006 MV/m: 	 no AP.
Increasing amplitude: 	0.1097 MV/m: 	 no AP.
Increasing amplitude: 	0.1196 MV/m: 	 no AP.
Increasing amplitude: 	0.1304 MV/m: 	 no AP.
Increasing amplitude: 	0.1422 MV/m: 	 AP.
Lower bound: 0.1304 MV/m.   Upper bound: 0.1422 MV/m.   Search amplitude: 0.1362 MV/m: no AP.
Lower bound: 0.1362 MV/m.   Upper bound: 0.1422 MV/m.   Search amplitude: 0.1392 MV/m: AP.
Lower bound: 0.1362 MV/m.   Upper bound: 0.1392 MV/m.   Search amplitude: 0.1377 MV/m: AP.
Lower bound: 0.1362 MV/m.   Upper bound: 0.1377 MV/m.   Search amplitude: 0.1369 MV/m: AP.
Lower bound: 0.1362 MV/m.   Upper bound: 0.1369 MV/m.   Search amplitude: 0.1366 MV/m: no AP.
Binary search ended. Threshold: 0.1366 MV/m.
Percentage difference: -100.000 %.
 
Run time for search: 22.52 min.
 
