Model type: 	Bend axon, antidromic
Parameter ID:	212
Pulse duration in ms:	0.0210
Field orientation in degrees:	117.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	1.3949 kV/m: 	 no AP.
Increasing amplitude: 	1.5211 kV/m: 	 no AP.
Increasing amplitude: 	1.6588 kV/m: 	 no AP.
Increasing amplitude: 	1.8090 kV/m: 	 no AP.
Increasing amplitude: 	1.9727 kV/m: 	 no AP.
Increasing amplitude: 	2.1512 kV/m: 	 no AP.
Increasing amplitude: 	2.3459 kV/m: 	 no AP.
Increasing amplitude: 	2.5582 kV/m: 	 no AP.
Increasing amplitude: 	2.7898 kV/m: 	 no AP.
Increasing amplitude: 	3.0423 kV/m: 	 no AP.
Increasing amplitude: 	3.3176 kV/m: 	 no AP.
Increasing amplitude: 	3.6179 kV/m: 	 no AP.
Increasing amplitude: 	3.9453 kV/m: 	 no AP.
Increasing amplitude: 	4.3024 kV/m: 	 no AP.
Increasing amplitude: 	4.6918 kV/m: 	 no AP.
Increasing amplitude: 	5.1165 kV/m: 	 no AP.
Increasing amplitude: 	5.5796 kV/m: 	 no AP.
Increasing amplitude: 	6.0846 kV/m: 	 no AP.
Increasing amplitude: 	6.6353 kV/m: 	 no AP.
Increasing amplitude: 	7.2358 kV/m: 	 no AP.
Increasing amplitude: 	7.8907 kV/m: 	 no AP.
Increasing amplitude: 	8.6049 kV/m: 	 no AP.
Increasing amplitude: 	9.3837 kV/m: 	 no AP.
Increasing amplitude: 	10.2330 kV/m: 	 no AP.
Increasing amplitude: 	11.1591 kV/m: 	 no AP.
Increasing amplitude: 	12.1691 kV/m: 	 no AP.
Increasing amplitude: 	13.2705 kV/m: 	 no AP.
Increasing amplitude: 	14.4716 kV/m: 	 no AP.
Increasing amplitude: 	15.7814 kV/m: 	 no AP.
Increasing amplitude: 	17.2097 kV/m: 	 no AP.
Increasing amplitude: 	18.7673 kV/m: 	 no AP.
Increasing amplitude: 	20.4659 kV/m: 	 no AP.
Increasing amplitude: 	22.3183 kV/m: 	 no AP.
Increasing amplitude: 	24.3382 kV/m: 	 no AP.
Increasing amplitude: 	26.5410 kV/m: 	 no AP.
Increasing amplitude: 	28.9432 kV/m: 	 no AP.
Increasing amplitude: 	31.5628 kV/m: 	 no AP.
Increasing amplitude: 	34.4195 kV/m: 	 no AP.
Increasing amplitude: 	37.5347 kV/m: 	 no AP.
Increasing amplitude: 	40.9319 kV/m: 	 no AP.
Increasing amplitude: 	44.6365 kV/m: 	 no AP.
Increasing amplitude: 	48.6765 kV/m: 	 no AP.
Increasing amplitude: 	53.0821 kV/m: 	 no AP.
Increasing amplitude: 	57.8864 kV/m: 	 no AP.
Increasing amplitude: 	63.1256 kV/m: 	 no AP.
Increasing amplitude: 	68.8389 kV/m: 	 no AP.
Increasing amplitude: 	75.0694 kV/m: 	 no AP.
Increasing amplitude: 	81.8638 kV/m: 	 no AP.
Increasing amplitude: 	89.2731 kV/m: 	 no AP.
Increasing amplitude: 	97.3530 kV/m: 	 no AP.
Increasing amplitude: 	0.1062 MV/m: 	 no AP.
Increasing amplitude: 	0.1158 MV/m: 	 no AP.
Increasing amplitude: 	0.1263 MV/m: 	 no AP.
Increasing amplitude: 	0.1377 MV/m: 	 no AP.
Increasing amplitude: 	0.1501 MV/m: 	 no AP.
Increasing amplitude: 	0.1637 MV/m: 	 no AP.
Increasing amplitude: 	0.1785 MV/m: 	 no AP.
Increasing amplitude: 	0.1947 MV/m: 	 no AP.
Increasing amplitude: 	0.2123 MV/m: 	 no AP.
Increasing amplitude: 	0.2315 MV/m: 	 no AP.
Increasing amplitude: 	0.2525 MV/m: 	 no AP.
Increasing amplitude: 	0.2754 MV/m: 	 no AP.
Increasing amplitude: 	0.3003 MV/m: 	 no AP.
Increasing amplitude: 	0.3275 MV/m: 	 no AP.
Increasing amplitude: 	0.3571 MV/m: 	 no AP.
Increasing amplitude: 	0.3894 MV/m: 	 no AP.
Increasing amplitude: 	0.4247 MV/m: 	 no AP.
Increasing amplitude: 	0.4631 MV/m: 	 no AP.
Increasing amplitude: 	0.5050 MV/m: 	 no AP.
Increasing amplitude: 	0.5507 MV/m: 	 no AP.
Increasing amplitude: 	0.6006 MV/m: 	 no AP.
Increasing amplitude: 	0.6549 MV/m: 	 no AP.
Increasing amplitude: 	0.7142 MV/m: 	 no AP.
Increasing amplitude: 	0.7788 MV/m: 	 no AP.
Increasing amplitude: 	0.8493 MV/m: 	 no AP.
Increasing amplitude: 	0.9262 MV/m: 	 no AP.
Increasing amplitude: 	1.0100 MV/m: 	 no AP.
Increasing amplitude: 	1.1014 MV/m: 	 no AP.
Increasing amplitude: 	1.2011 MV/m: 	 no AP.
Increasing amplitude: 	1.3098 MV/m: 	 no AP.
Increasing amplitude: 	1.4284 MV/m: 	 no AP.
Increasing amplitude: 	1.5576 MV/m: 	 no AP.
Increasing amplitude: 	1.6986 MV/m: 	 no AP.
Increasing amplitude: 	1.8524 MV/m: 	 no AP.
Increasing amplitude: 	2.0200 MV/m: 	 no AP.
Increasing amplitude: 	2.2028 MV/m: 	 no AP.
Increasing amplitude: 	2.4022 MV/m: 	 no AP.
Increasing amplitude: 	2.6196 MV/m: 	 no AP.
Increasing amplitude: 	2.8567 MV/m: 	 no AP.
Increasing amplitude: 	3.1153 MV/m: 	 no AP.
Increasing amplitude: 	3.3973 MV/m: 	 no AP.
Increasing amplitude: 	3.7047 MV/m: 	 no AP.
Increasing amplitude: 	4.0400 MV/m: 	 no AP.
Increasing amplitude: 	4.4057 MV/m: 	 no AP.
Increasing amplitude: 	4.8044 MV/m: 	 no AP.
Increasing amplitude: 	5.2393 MV/m: 	 no AP.
Increasing amplitude: 	5.7135 MV/m: 	 no AP.
Increasing amplitude: 	6.2306 MV/m: 	 no AP.
Increasing amplitude: 	6.7945 MV/m: 	 no AP.
Increasing amplitude: 	7.4095 MV/m: 	 no AP.
Increasing amplitude: 	8.0801 MV/m: 	 no AP.
Increasing amplitude: 	8.8114 MV/m: 	 no AP.
Increasing amplitude: 	9.6089 MV/m: 	 no AP.
Increasing amplitude: 	10.4786 MV/m: 	 no AP.
Increasing amplitude: 	11.4270 MV/m: 	 no AP.
Increasing amplitude: 	12.4612 MV/m: 	 no AP.
Increasing amplitude: 	13.5890 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 11.46 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	1.3949 kV/m: 	 no AP.
Increasing amplitude: 	1.5211 kV/m: 	 no AP.
Increasing amplitude: 	1.6588 kV/m: 	 no AP.
Increasing amplitude: 	1.8090 kV/m: 	 no AP.
Increasing amplitude: 	1.9727 kV/m: 	 no AP.
Increasing amplitude: 	2.1512 kV/m: 	 no AP.
Increasing amplitude: 	2.3459 kV/m: 	 no AP.
Increasing amplitude: 	2.5582 kV/m: 	 no AP.
Increasing amplitude: 	2.7898 kV/m: 	 no AP.
Increasing amplitude: 	3.0423 kV/m: 	 no AP.
Increasing amplitude: 	3.3176 kV/m: 	 no AP.
Increasing amplitude: 	3.6179 kV/m: 	 no AP.
Increasing amplitude: 	3.9453 kV/m: 	 no AP.
Increasing amplitude: 	4.3024 kV/m: 	 no AP.
Increasing amplitude: 	4.6918 kV/m: 	 no AP.
Increasing amplitude: 	5.1165 kV/m: 	 no AP.
Increasing amplitude: 	5.5796 kV/m: 	 no AP.
Increasing amplitude: 	6.0846 kV/m: 	 no AP.
Increasing amplitude: 	6.6353 kV/m: 	 no AP.
Increasing amplitude: 	7.2358 kV/m: 	 no AP.
Increasing amplitude: 	7.8907 kV/m: 	 no AP.
Increasing amplitude: 	8.6049 kV/m: 	 no AP.
Increasing amplitude: 	9.3837 kV/m: 	 no AP.
Increasing amplitude: 	10.2330 kV/m: 	 no AP.
Increasing amplitude: 	11.1591 kV/m: 	 no AP.
Increasing amplitude: 	12.1691 kV/m: 	 no AP.
Increasing amplitude: 	13.2705 kV/m: 	 no AP.
Increasing amplitude: 	14.4716 kV/m: 	 no AP.
Increasing amplitude: 	15.7814 kV/m: 	 no AP.
Increasing amplitude: 	17.2097 kV/m: 	 AP.
Lower bound: 15.7814 kV/m.   Upper bound: 17.2097 kV/m.   Search amplitude: 16.4801 kV/m: no AP.
Lower bound: 16.4801 kV/m.   Upper bound: 17.2097 kV/m.   Search amplitude: 16.8410 kV/m: no AP.
Lower bound: 16.8410 kV/m.   Upper bound: 17.2097 kV/m.   Search amplitude: 17.0244 kV/m: AP.
Lower bound: 16.8410 kV/m.   Upper bound: 17.0244 kV/m.   Search amplitude: 16.9324 kV/m: no AP.
Lower bound: 16.9324 kV/m.   Upper bound: 17.0244 kV/m.   Search amplitude: 16.9783 kV/m: no AP.
Binary search ended. Threshold: 16.9783 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 39.55 min.
 
-----------------------------------------------------------
Total run time: 51.010 min.
Results saved in UF_BndA_HH/Results/result_212.mat.
