Model type: 	Bend axon, antidromic
Parameter ID:	289
Pulse duration in ms:	0.1000
Field orientation in degrees:	0.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	23.1417  V/m: 	 no AP.
Increasing amplitude: 	25.2362  V/m: 	 no AP.
Increasing amplitude: 	27.5202  V/m: 	 no AP.
Increasing amplitude: 	30.0110  V/m: 	 no AP.
Increasing amplitude: 	32.7273  V/m: 	 no AP.
Increasing amplitude: 	35.6893  V/m: 	 no AP.
Increasing amplitude: 	38.9195  V/m: 	 no AP.
Increasing amplitude: 	42.4420  V/m: 	 no AP.
Increasing amplitude: 	46.2833  V/m: 	 no AP.
Increasing amplitude: 	50.4724  V/m: 	 no AP.
Increasing amplitude: 	55.0405  V/m: 	 no AP.
Increasing amplitude: 	60.0221  V/m: 	 no AP.
Increasing amplitude: 	65.4545  V/m: 	 no AP.
Increasing amplitude: 	71.3787  V/m: 	 no AP.
Increasing amplitude: 	77.8390  V/m: 	 no AP.
Increasing amplitude: 	84.8840  V/m: 	 no AP.
Increasing amplitude: 	92.5667  V/m: 	 no AP.
Increasing amplitude: 	0.1009 kV/m: 	 no AP.
Increasing amplitude: 	0.1101 kV/m: 	 no AP.
Increasing amplitude: 	0.1200 kV/m: 	 no AP.
Increasing amplitude: 	0.1309 kV/m: 	 no AP.
Increasing amplitude: 	0.1428 kV/m: 	 no AP.
Increasing amplitude: 	0.1557 kV/m: 	 no AP.
Increasing amplitude: 	0.1698 kV/m: 	 no AP.
Increasing amplitude: 	0.1851 kV/m: 	 no AP.
Increasing amplitude: 	0.2019 kV/m: 	 no AP.
Increasing amplitude: 	0.2202 kV/m: 	 AP.
Lower bound: 0.2019 kV/m.   Upper bound: 0.2202 kV/m.   Search amplitude: 0.2108 kV/m: AP.
Lower bound: 0.2019 kV/m.   Upper bound: 0.2108 kV/m.   Search amplitude: 0.2063 kV/m: no AP.
Lower bound: 0.2063 kV/m.   Upper bound: 0.2108 kV/m.   Search amplitude: 0.2086 kV/m: AP.
Lower bound: 0.2063 kV/m.   Upper bound: 0.2086 kV/m.   Search amplitude: 0.2074 kV/m: AP.
Lower bound: 0.2063 kV/m.   Upper bound: 0.2074 kV/m.   Search amplitude: 0.2069 kV/m: no AP.
Binary search ended. Threshold: 0.2069 kV/m.
 
Run time for search: 3.29 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	22.5315  V/m: 	 no AP.
Increasing amplitude: 	23.0248  V/m: 	 no AP.
Increasing amplitude: 	23.5290  V/m: 	 no AP.
Increasing amplitude: 	24.0442  V/m: 	 no AP.
Increasing amplitude: 	24.5707  V/m: 	 no AP.
Increasing amplitude: 	25.1088  V/m: 	 no AP.
Increasing amplitude: 	25.6586  V/m: 	 no AP.
Increasing amplitude: 	26.2204  V/m: 	 no AP.
Increasing amplitude: 	26.7946  V/m: 	 no AP.
Increasing amplitude: 	27.3813  V/m: 	 no AP.
Increasing amplitude: 	27.9809  V/m: 	 no AP.
Increasing amplitude: 	28.5936  V/m: 	 no AP.
Increasing amplitude: 	29.2197  V/m: 	 no AP.
Increasing amplitude: 	29.8595  V/m: 	 no AP.
Increasing amplitude: 	30.5133  V/m: 	 no AP.
Increasing amplitude: 	31.1815  V/m: 	 no AP.
Increasing amplitude: 	31.8643  V/m: 	 no AP.
Increasing amplitude: 	32.5620  V/m: 	 no AP.
Increasing amplitude: 	33.2750  V/m: 	 no AP.
Increasing amplitude: 	34.0037  V/m: 	 no AP.
Increasing amplitude: 	34.7483  V/m: 	 no AP.
Increasing amplitude: 	35.5091  V/m: 	 no AP.
