Model type: 	Axon terminal with synapse
Parameter ID:	216
Pulse duration in ms:	0.0210
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	64.2376  V/m: 	 no AP.
Increasing amplitude: 	70.0516  V/m: 	 no AP.
Increasing amplitude: 	76.3919  V/m: 	 no AP.
Increasing amplitude: 	83.3059  V/m: 	 no AP.
Increasing amplitude: 	90.8457  V/m: 	 no AP.
Increasing amplitude: 	99.0680  V/m: 	 no AP.
Increasing amplitude: 	0.1080 kV/m: 	 no AP.
Increasing amplitude: 	0.1178 kV/m: 	 no AP.
Increasing amplitude: 	0.1285 kV/m: 	 no AP.
Increasing amplitude: 	0.1401 kV/m: 	 no AP.
Increasing amplitude: 	0.1528 kV/m: 	 no AP.
Increasing amplitude: 	0.1666 kV/m: 	 no AP.
Increasing amplitude: 	0.1817 kV/m: 	 no AP.
Increasing amplitude: 	0.1981 kV/m: 	 no AP.
Increasing amplitude: 	0.2161 kV/m: 	 no AP.
Increasing amplitude: 	0.2356 kV/m: 	 no AP.
Increasing amplitude: 	0.2570 kV/m: 	 no AP.
Increasing amplitude: 	0.2802 kV/m: 	 no AP.
Increasing amplitude: 	0.3056 kV/m: 	 no AP.
Increasing amplitude: 	0.3332 kV/m: 	 no AP.
Increasing amplitude: 	0.3634 kV/m: 	 no AP.
Increasing amplitude: 	0.3963 kV/m: 	 no AP.
Increasing amplitude: 	0.4321 kV/m: 	 no AP.
Increasing amplitude: 	0.4712 kV/m: 	 no AP.
Increasing amplitude: 	0.5139 kV/m: 	 no AP.
Increasing amplitude: 	0.5604 kV/m: 	 no AP.
Increasing amplitude: 	0.6111 kV/m: 	 no AP.
Increasing amplitude: 	0.6664 kV/m: 	 no AP.
Increasing amplitude: 	0.7268 kV/m: 	 no AP.
Increasing amplitude: 	0.7925 kV/m: 	 no AP.
Increasing amplitude: 	0.8643 kV/m: 	 no AP.
Increasing amplitude: 	0.9425 kV/m: 	 no AP.
Increasing amplitude: 	1.0278 kV/m: 	 no AP.
Increasing amplitude: 	1.1208 kV/m: 	 no AP.
Increasing amplitude: 	1.2223 kV/m: 	 no AP.
Increasing amplitude: 	1.3329 kV/m: 	 no AP.
Increasing amplitude: 	1.4535 kV/m: 	 no AP.
Increasing amplitude: 	1.5851 kV/m: 	 no AP.
Increasing amplitude: 	1.7286 kV/m: 	 no AP.
Increasing amplitude: 	1.8850 kV/m: 	 no AP.
Increasing amplitude: 	2.0556 kV/m: 	 no AP.
Increasing amplitude: 	2.2417 kV/m: 	 no AP.
Increasing amplitude: 	2.4445 kV/m: 	 no AP.
Increasing amplitude: 	2.6658 kV/m: 	 no AP.
Increasing amplitude: 	2.9071 kV/m: 	 no AP.
Increasing amplitude: 	3.1702 kV/m: 	 no AP.
Increasing amplitude: 	3.4571 kV/m: 	 no AP.
Increasing amplitude: 	3.7700 kV/m: 	 no AP.
Increasing amplitude: 	4.1112 kV/m: 	 no AP.
Increasing amplitude: 	4.4833 kV/m: 	 no AP.
Increasing amplitude: 	4.8891 kV/m: 	 no AP.
Increasing amplitude: 	5.3316 kV/m: 	 no AP.
Increasing amplitude: 	5.8141 kV/m: 	 no AP.
Increasing amplitude: 	6.3404 kV/m: 	 no AP.
Increasing amplitude: 	6.9142 kV/m: 	 no AP.
Increasing amplitude: 	7.5400 kV/m: 	 no AP.
Increasing amplitude: 	8.2224 kV/m: 	 no AP.
Increasing amplitude: 	8.9666 kV/m: 	 no AP.
Increasing amplitude: 	9.7782 kV/m: 	 no AP.
Increasing amplitude: 	10.6632 kV/m: 	 no AP.
Increasing amplitude: 	11.6283 kV/m: 	 no AP.
Increasing amplitude: 	12.6807 kV/m: 	 no AP.
Increasing amplitude: 	13.8284 kV/m: 	 no AP.
Increasing amplitude: 	15.0800 kV/m: 	 no AP.
Increasing amplitude: 	16.4448 kV/m: 	 no AP.
Increasing amplitude: 	17.9332 kV/m: 	 no AP.
Increasing amplitude: 	19.5563 kV/m: 	 no AP.
Increasing amplitude: 	21.3263 kV/m: 	 no AP.
Increasing amplitude: 	23.2565 kV/m: 	 no AP.
Increasing amplitude: 	25.3614 kV/m: 	 no AP.
Increasing amplitude: 	27.6568 kV/m: 	 no AP.
Increasing amplitude: 	30.1600 kV/m: 	 no AP.
Increasing amplitude: 	32.8897 kV/m: 	 no AP.
Increasing amplitude: 	35.8664 kV/m: 	 no AP.
Increasing amplitude: 	39.1126 kV/m: 	 no AP.
Increasing amplitude: 	42.6526 kV/m: 	 no AP.
Increasing amplitude: 	46.5130 kV/m: 	 no AP.
Increasing amplitude: 	50.7228 kV/m: 	 no AP.
Increasing amplitude: 	55.3136 kV/m: 	 no AP.
Increasing amplitude: 	60.3199 kV/m: 	 no AP.
Increasing amplitude: 	65.7793 kV/m: 	 no AP.
Increasing amplitude: 	71.7329 kV/m: 	 no AP.
Increasing amplitude: 	78.2253 kV/m: 	 no AP.
Increasing amplitude: 	85.3053 kV/m: 	 no AP.
Increasing amplitude: 	93.0260 kV/m: 	 no AP.
Increasing amplitude: 	0.1014 MV/m: 	 no AP.
Increasing amplitude: 	0.1106 MV/m: 	 no AP.
Increasing amplitude: 	0.1206 MV/m: 	 no AP.
Increasing amplitude: 	0.1316 MV/m: 	 no AP.
Increasing amplitude: 	0.1435 MV/m: 	 no AP.
Increasing amplitude: 	0.1565 MV/m: 	 no AP.
Increasing amplitude: 	0.1706 MV/m: 	 no AP.
Increasing amplitude: 	0.1861 MV/m: 	 no AP.
Increasing amplitude: 	0.2029 MV/m: 	 no AP.
Increasing amplitude: 	0.2213 MV/m: 	 no AP.
Increasing amplitude: 	0.2413 MV/m: 	 no AP.
Increasing amplitude: 	0.2631 MV/m: 	 no AP.
Increasing amplitude: 	0.2869 MV/m: 	 no AP.
Increasing amplitude: 	0.3129 MV/m: 	 no AP.
Increasing amplitude: 	0.3412 MV/m: 	 no AP.
Increasing amplitude: 	0.3721 MV/m: 	 no AP.
Increasing amplitude: 	0.4058 MV/m: 	 no AP.
Increasing amplitude: 	0.4425 MV/m: 	 no AP.
Increasing amplitude: 	0.4826 MV/m: 	 no AP.
Increasing amplitude: 	0.5262 MV/m: 	 no AP.
Increasing amplitude: 	0.5739 MV/m: 	 no AP.
Increasing amplitude: 	0.6258 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 0.93 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	64.2376  V/m: 	 no AP.
Increasing amplitude: 	70.0516  V/m: 	 no AP.
Increasing amplitude: 	76.3919  V/m: 	 no AP.
Increasing amplitude: 	83.3059  V/m: 	 no AP.
Increasing amplitude: 	90.8457  V/m: 	 no AP.
Increasing amplitude: 	99.0680  V/m: 	 no AP.
Increasing amplitude: 	0.1080 kV/m: 	 no AP.
Increasing amplitude: 	0.1178 kV/m: 	 no AP.
Increasing amplitude: 	0.1285 kV/m: 	 no AP.
Increasing amplitude: 	0.1401 kV/m: 	 no AP.
Increasing amplitude: 	0.1528 kV/m: 	 no AP.
Increasing amplitude: 	0.1666 kV/m: 	 no AP.
Increasing amplitude: 	0.1817 kV/m: 	 no AP.
Increasing amplitude: 	0.1981 kV/m: 	 no AP.
Increasing amplitude: 	0.2161 kV/m: 	 no AP.
Increasing amplitude: 	0.2356 kV/m: 	 no AP.
Increasing amplitude: 	0.2570 kV/m: 	 no AP.
Increasing amplitude: 	0.2802 kV/m: 	 no AP.
Increasing amplitude: 	0.3056 kV/m: 	 no AP.
Increasing amplitude: 	0.3332 kV/m: 	 no AP.
Increasing amplitude: 	0.3634 kV/m: 	 no AP.
Increasing amplitude: 	0.3963 kV/m: 	 no AP.
Increasing amplitude: 	0.4321 kV/m: 	 no AP.
Increasing amplitude: 	0.4712 kV/m: 	 no AP.
Increasing amplitude: 	0.5139 kV/m: 	 no AP.
Increasing amplitude: 	0.5604 kV/m: 	 no AP.
Increasing amplitude: 	0.6111 kV/m: 	 no AP.
Increasing amplitude: 	0.6664 kV/m: 	 no AP.
Increasing amplitude: 	0.7268 kV/m: 	 no AP.
Increasing amplitude: 	0.7925 kV/m: 	 no AP.
Increasing amplitude: 	0.8643 kV/m: 	 no AP.
Increasing amplitude: 	0.9425 kV/m: 	 no AP.
Increasing amplitude: 	1.0278 kV/m: 	 no AP.
Increasing amplitude: 	1.1208 kV/m: 	 no AP.
Increasing amplitude: 	1.2223 kV/m: 	 no AP.
Increasing amplitude: 	1.3329 kV/m: 	 no AP.
Increasing amplitude: 	1.4535 kV/m: 	 no AP.
Increasing amplitude: 	1.5851 kV/m: 	 no AP.
Increasing amplitude: 	1.7286 kV/m: 	 no AP.
Increasing amplitude: 	1.8850 kV/m: 	 no AP.
Increasing amplitude: 	2.0556 kV/m: 	 no AP.
Increasing amplitude: 	2.2417 kV/m: 	 no AP.
Increasing amplitude: 	2.4445 kV/m: 	 no AP.
Increasing amplitude: 	2.6658 kV/m: 	 no AP.
Increasing amplitude: 	2.9071 kV/m: 	 no AP.
Increasing amplitude: 	3.1702 kV/m: 	 no AP.
Increasing amplitude: 	3.4571 kV/m: 	 no AP.
Increasing amplitude: 	3.7700 kV/m: 	 no AP.
Increasing amplitude: 	4.1112 kV/m: 	 no AP.
Increasing amplitude: 	4.4833 kV/m: 	 no AP.
Increasing amplitude: 	4.8891 kV/m: 	 no AP.
Increasing amplitude: 	5.3316 kV/m: 	 no AP.
Increasing amplitude: 	5.8141 kV/m: 	 no AP.
Increasing amplitude: 	6.3404 kV/m: 	 no AP.
Increasing amplitude: 	6.9142 kV/m: 	 AP.
Lower bound: 6.3404 kV/m.   Upper bound: 6.9142 kV/m.   Search amplitude: 6.6211 kV/m: AP.
Lower bound: 6.3404 kV/m.   Upper bound: 6.6211 kV/m.   Search amplitude: 6.4792 kV/m: no AP.
Lower bound: 6.4792 kV/m.   Upper bound: 6.6211 kV/m.   Search amplitude: 6.5497 kV/m: AP.
Lower bound: 6.4792 kV/m.   Upper bound: 6.5497 kV/m.   Search amplitude: 6.5144 kV/m: AP.
Lower bound: 6.4792 kV/m.   Upper bound: 6.5144 kV/m.   Search amplitude: 6.4968 kV/m: AP.
Binary search ended. Threshold: 6.4968 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 1.34 min.
 
-----------------------------------------------------------
Total run time: 2.279 min.
Results saved in UF_TrmS_RMG/Results/result_216.mat.
