Model type: 	Axon terminal with synapse
Parameter ID:	192
Pulse duration in ms:	0.0140
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	95.5856  V/m: 	 no AP.
Increasing amplitude: 	0.1042 kV/m: 	 no AP.
Increasing amplitude: 	0.1137 kV/m: 	 no AP.
Increasing amplitude: 	0.1240 kV/m: 	 no AP.
Increasing amplitude: 	0.1352 kV/m: 	 no AP.
Increasing amplitude: 	0.1474 kV/m: 	 no AP.
Increasing amplitude: 	0.1608 kV/m: 	 no AP.
Increasing amplitude: 	0.1753 kV/m: 	 no AP.
Increasing amplitude: 	0.1912 kV/m: 	 no AP.
Increasing amplitude: 	0.2085 kV/m: 	 no AP.
Increasing amplitude: 	0.2273 kV/m: 	 no AP.
Increasing amplitude: 	0.2479 kV/m: 	 no AP.
Increasing amplitude: 	0.2704 kV/m: 	 no AP.
Increasing amplitude: 	0.2948 kV/m: 	 no AP.
Increasing amplitude: 	0.3215 kV/m: 	 no AP.
Increasing amplitude: 	0.3506 kV/m: 	 no AP.
Increasing amplitude: 	0.3823 kV/m: 	 no AP.
Increasing amplitude: 	0.4169 kV/m: 	 no AP.
Increasing amplitude: 	0.4547 kV/m: 	 no AP.
Increasing amplitude: 	0.4958 kV/m: 	 no AP.
Increasing amplitude: 	0.5407 kV/m: 	 no AP.
Increasing amplitude: 	0.5897 kV/m: 	 no AP.
Increasing amplitude: 	0.6430 kV/m: 	 no AP.
Increasing amplitude: 	0.7012 kV/m: 	 no AP.
Increasing amplitude: 	0.7647 kV/m: 	 no AP.
Increasing amplitude: 	0.8339 kV/m: 	 no AP.
Increasing amplitude: 	0.9094 kV/m: 	 no AP.
Increasing amplitude: 	0.9917 kV/m: 	 no AP.
Increasing amplitude: 	1.0814 kV/m: 	 no AP.
Increasing amplitude: 	1.1793 kV/m: 	 no AP.
Increasing amplitude: 	1.2860 kV/m: 	 no AP.
Increasing amplitude: 	1.4024 kV/m: 	 no AP.
Increasing amplitude: 	1.5294 kV/m: 	 no AP.
Increasing amplitude: 	1.6678 kV/m: 	 no AP.
Increasing amplitude: 	1.8187 kV/m: 	 no AP.
Increasing amplitude: 	1.9833 kV/m: 	 no AP.
Increasing amplitude: 	2.1629 kV/m: 	 no AP.
Increasing amplitude: 	2.3586 kV/m: 	 no AP.
Increasing amplitude: 	2.5721 kV/m: 	 no AP.
