Model type: 	Axon terminal with synapse
Parameter ID:	576
Pulse duration in ms:	6.8000
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	3.0424  V/m: 	 no AP.
Increasing amplitude: 	3.3178  V/m: 	 no AP.
Increasing amplitude: 	3.6181  V/m: 	 no AP.
Increasing amplitude: 	3.9455  V/m: 	 no AP.
Increasing amplitude: 	4.3026  V/m: 	 no AP.
Increasing amplitude: 	4.6921  V/m: 	 no AP.
Increasing amplitude: 	5.1167  V/m: 	 no AP.
Increasing amplitude: 	5.5798  V/m: 	 no AP.
Increasing amplitude: 	6.0848  V/m: 	 no AP.
Increasing amplitude: 	6.6356  V/m: 	 no AP.
Increasing amplitude: 	7.2361  V/m: 	 no AP.
Increasing amplitude: 	7.8911  V/m: 	 no AP.
Increasing amplitude: 	8.6053  V/m: 	 no AP.
Increasing amplitude: 	9.3841  V/m: 	 no AP.
Increasing amplitude: 	10.2335  V/m: 	 no AP.
Increasing amplitude: 	11.1597  V/m: 	 no AP.
Increasing amplitude: 	12.1697  V/m: 	 no AP.
Increasing amplitude: 	13.2711  V/m: 	 no AP.
Increasing amplitude: 	14.4723  V/m: 	 no AP.
Increasing amplitude: 	15.7821  V/m: 	 no AP.
Increasing amplitude: 	17.2105  V/m: 	 no AP.
Increasing amplitude: 	18.7682  V/m: 	 no AP.
Increasing amplitude: 	20.4669  V/m: 	 no AP.
Increasing amplitude: 	22.3193  V/m: 	 no AP.
Increasing amplitude: 	24.3394  V/m: 	 no AP.
Increasing amplitude: 	26.5423  V/m: 	 no AP.
Increasing amplitude: 	28.9446  V/m: 	 no AP.
Increasing amplitude: 	31.5643  V/m: 	 no AP.
Increasing amplitude: 	34.4211  V/m: 	 no AP.
Increasing amplitude: 	37.5365  V/m: 	 no AP.
Increasing amplitude: 	40.9338  V/m: 	 no AP.
Increasing amplitude: 	44.6386  V/m: 	 no AP.
Increasing amplitude: 	48.6788  V/m: 	 no AP.
Increasing amplitude: 	53.0846  V/m: 	 no AP.
Increasing amplitude: 	57.8891  V/m: 	 no AP.
Increasing amplitude: 	63.1286  V/m: 	 no AP.
Increasing amplitude: 	68.8422  V/m: 	 no AP.
Increasing amplitude: 	75.0729  V/m: 	 no AP.
Increasing amplitude: 	81.8676  V/m: 	 no AP.
Increasing amplitude: 	89.2773  V/m: 	 no AP.
Increasing amplitude: 	97.3576  V/m: 	 no AP.
Increasing amplitude: 	0.1062 kV/m: 	 no AP.
Increasing amplitude: 	0.1158 kV/m: 	 no AP.
Increasing amplitude: 	0.1263 kV/m: 	 no AP.
Increasing amplitude: 	0.1377 kV/m: 	 no AP.
Increasing amplitude: 	0.1501 kV/m: 	 no AP.
Increasing amplitude: 	0.1637 kV/m: 	 no AP.
Increasing amplitude: 	0.1786 kV/m: 	 no AP.
Increasing amplitude: 	0.1947 kV/m: 	 no AP.
Increasing amplitude: 	0.2123 kV/m: 	 no AP.
Increasing amplitude: 	0.2316 kV/m: 	 no AP.
Increasing amplitude: 	0.2525 kV/m: 	 no AP.
Increasing amplitude: 	0.2754 kV/m: 	 no AP.
Increasing amplitude: 	0.3003 kV/m: 	 no AP.
