Model type: 	Axon terminal with synapse
Parameter ID:	336
Pulse duration in ms:	0.1400
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	11.0087  V/m: 	 no AP.
Increasing amplitude: 	12.0051  V/m: 	 no AP.
Increasing amplitude: 	13.0916  V/m: 	 no AP.
Increasing amplitude: 	14.2765  V/m: 	 no AP.
Increasing amplitude: 	15.5687  V/m: 	 no AP.
Increasing amplitude: 	16.9777  V/m: 	 no AP.
Increasing amplitude: 	18.5143  V/m: 	 no AP.
Increasing amplitude: 	20.1900  V/m: 	 no AP.
Increasing amplitude: 	22.0174  V/m: 	 no AP.
Increasing amplitude: 	24.0101  V/m: 	 no AP.
Increasing amplitude: 	26.1832  V/m: 	 no AP.
Increasing amplitude: 	28.5530  V/m: 	 no AP.
Increasing amplitude: 	31.1373  V/m: 	 no AP.
Increasing amplitude: 	33.9555  V/m: 	 no AP.
Increasing amplitude: 	37.0287  V/m: 	 no AP.
Increasing amplitude: 	40.3801  V/m: 	 no AP.
Increasing amplitude: 	44.0348  V/m: 	 no AP.
Increasing amplitude: 	48.0203  V/m: 	 no AP.
Increasing amplitude: 	52.3665  V/m: 	 no AP.
Increasing amplitude: 	57.1061  V/m: 	 no AP.
Increasing amplitude: 	62.2746  V/m: 	 no AP.
Increasing amplitude: 	67.9109  V/m: 	 no AP.
Increasing amplitude: 	74.0574  V/m: 	 no AP.
Increasing amplitude: 	80.7602  V/m: 	 no AP.
Increasing amplitude: 	88.0696  V/m: 	 no AP.
Increasing amplitude: 	96.0406  V/m: 	 no AP.
Increasing amplitude: 	0.1047 kV/m: 	 no AP.
Increasing amplitude: 	0.1142 kV/m: 	 no AP.
Increasing amplitude: 	0.1245 kV/m: 	 no AP.
Increasing amplitude: 	0.1358 kV/m: 	 no AP.
Increasing amplitude: 	0.1481 kV/m: 	 no AP.
Increasing amplitude: 	0.1615 kV/m: 	 no AP.
Increasing amplitude: 	0.1761 kV/m: 	 no AP.
Increasing amplitude: 	0.1921 kV/m: 	 no AP.
Increasing amplitude: 	0.2095 kV/m: 	 no AP.
Increasing amplitude: 	0.2284 kV/m: 	 no AP.
Increasing amplitude: 	0.2491 kV/m: 	 no AP.
Increasing amplitude: 	0.2716 kV/m: 	 no AP.
Increasing amplitude: 	0.2962 kV/m: 	 no AP.
Increasing amplitude: 	0.3230 kV/m: 	 no AP.
Increasing amplitude: 	0.3523 kV/m: 	 no AP.
Increasing amplitude: 	0.3842 kV/m: 	 no AP.
Increasing amplitude: 	0.4189 kV/m: 	 no AP.
Increasing amplitude: 	0.4568 kV/m: 	 no AP.
Increasing amplitude: 	0.4982 kV/m: 	 no AP.
Increasing amplitude: 	0.5433 kV/m: 	 no AP.
Increasing amplitude: 	0.5925 kV/m: 	 no AP.
Increasing amplitude: 	0.6461 kV/m: 	 no AP.
Increasing amplitude: 	0.7046 kV/m: 	 no AP.
Increasing amplitude: 	0.7683 kV/m: 	 no AP.
Increasing amplitude: 	0.8379 kV/m: 	 no AP.
Increasing amplitude: 	0.9137 kV/m: 	 no AP.
Increasing amplitude: 	0.9964 kV/m: 	 no AP.
Increasing amplitude: 	1.0866 kV/m: 	 no AP.
Increasing amplitude: 	1.1849 kV/m: 	 no AP.
Increasing amplitude: 	1.2922 kV/m: 	 no AP.
Increasing amplitude: 	1.4091 kV/m: 	 no AP.
Increasing amplitude: 	1.5366 kV/m: 	 no AP.
Increasing amplitude: 	1.6757 kV/m: 	 no AP.
Increasing amplitude: 	1.8274 kV/m: 	 no AP.
Increasing amplitude: 	1.9928 kV/m: 	 no AP.
Increasing amplitude: 	2.1731 kV/m: 	 no AP.
Increasing amplitude: 	2.3698 kV/m: 	 no AP.
Increasing amplitude: 	2.5843 kV/m: 	 no AP.
Increasing amplitude: 	2.8182 kV/m: 	 no AP.
Increasing amplitude: 	3.0733 kV/m: 	 no AP.
Increasing amplitude: 	3.3515 kV/m: 	 no AP.
Increasing amplitude: 	3.6548 kV/m: 	 no AP.
Increasing amplitude: 	3.9856 kV/m: 	 no AP.
Increasing amplitude: 	4.3463 kV/m: 	 no AP.
Increasing amplitude: 	4.7397 kV/m: 	 no AP.
Increasing amplitude: 	5.1687 kV/m: 	 no AP.
Increasing amplitude: 	5.6365 kV/m: 	 no AP.
Increasing amplitude: 	6.1466 kV/m: 	 no AP.
Increasing amplitude: 	6.7029 kV/m: 	 no AP.
Increasing amplitude: 	7.3096 kV/m: 	 no AP.
Increasing amplitude: 	7.9711 kV/m: 	 no AP.
Increasing amplitude: 	8.6926 kV/m: 	 no AP.
Increasing amplitude: 	9.4793 kV/m: 	 no AP.
Increasing amplitude: 	10.3373 kV/m: 	 no AP.
Increasing amplitude: 	11.2729 kV/m: 	 no AP.
Increasing amplitude: 	12.2932 kV/m: 	 no AP.
Increasing amplitude: 	13.4058 kV/m: 	 no AP.
Increasing amplitude: 	14.6192 kV/m: 	 no AP.
Increasing amplitude: 	15.9423 kV/m: 	 no AP.
Increasing amplitude: 	17.3852 kV/m: 	 no AP.
Increasing amplitude: 	18.9587 kV/m: 	 no AP.
Increasing amplitude: 	20.6746 kV/m: 	 no AP.
Increasing amplitude: 	22.5458 kV/m: 	 no AP.
Increasing amplitude: 	24.5864 kV/m: 	 no AP.
Increasing amplitude: 	26.8116 kV/m: 	 no AP.
Increasing amplitude: 	29.2383 kV/m: 	 no AP.
Increasing amplitude: 	31.8846 kV/m: 	 no AP.
Increasing amplitude: 	34.7704 kV/m: 	 no AP.
Increasing amplitude: 	37.9174 kV/m: 	 no AP.
Increasing amplitude: 	41.3492 kV/m: 	 no AP.
Increasing amplitude: 	45.0916 kV/m: 	 no AP.
Increasing amplitude: 	49.1728 kV/m: 	 no AP.
Increasing amplitude: 	53.6233 kV/m: 	 no AP.
Increasing amplitude: 	58.4766 kV/m: 	 no AP.
Increasing amplitude: 	63.7692 kV/m: 	 no AP.
Increasing amplitude: 	69.5408 kV/m: 	 no AP.
Increasing amplitude: 	75.8348 kV/m: 	 no AP.
Increasing amplitude: 	82.6984 kV/m: 	 no AP.
Increasing amplitude: 	90.1833 kV/m: 	 no AP.
Increasing amplitude: 	98.3455 kV/m: 	 no AP.
Increasing amplitude: 	0.1072 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 0.65 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	11.0087  V/m: 	 no AP.
Increasing amplitude: 	12.0051  V/m: 	 no AP.
Increasing amplitude: 	13.0916  V/m: 	 no AP.
Increasing amplitude: 	14.2765  V/m: 	 no AP.
Increasing amplitude: 	15.5687  V/m: 	 no AP.
Increasing amplitude: 	16.9777  V/m: 	 no AP.
Increasing amplitude: 	18.5143  V/m: 	 no AP.
Increasing amplitude: 	20.1900  V/m: 	 no AP.
Increasing amplitude: 	22.0174  V/m: 	 no AP.
