Model type: 	Axon terminal with synapse
Parameter ID:	360
Pulse duration in ms:	0.2100
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	7.9142  V/m: 	 no AP.
Increasing amplitude: 	8.6305  V/m: 	 no AP.
Increasing amplitude: 	9.4116  V/m: 	 no AP.
Increasing amplitude: 	10.2634  V/m: 	 no AP.
Increasing amplitude: 	11.1923  V/m: 	 no AP.
Increasing amplitude: 	12.2053  V/m: 	 no AP.
Increasing amplitude: 	13.3100  V/m: 	 no AP.
Increasing amplitude: 	14.5146  V/m: 	 no AP.
Increasing amplitude: 	15.8283  V/m: 	 no AP.
Increasing amplitude: 	17.2609  V/m: 	 no AP.
Increasing amplitude: 	18.8232  V/m: 	 no AP.
Increasing amplitude: 	20.5268  V/m: 	 no AP.
Increasing amplitude: 	22.3846  V/m: 	 no AP.
Increasing amplitude: 	24.4106  V/m: 	 no AP.
Increasing amplitude: 	26.6200  V/m: 	 no AP.
Increasing amplitude: 	29.0293  V/m: 	 no AP.
Increasing amplitude: 	31.6566  V/m: 	 no AP.
Increasing amplitude: 	34.5218  V/m: 	 no AP.
Increasing amplitude: 	37.6463  V/m: 	 no AP.
Increasing amplitude: 	41.0536  V/m: 	 no AP.
Increasing amplitude: 	44.7693  V/m: 	 no AP.
Increasing amplitude: 	48.8212  V/m: 	 no AP.
Increasing amplitude: 	53.2399  V/m: 	 no AP.
Increasing amplitude: 	58.0585  V/m: 	 no AP.
Increasing amplitude: 	63.3133  V/m: 	 no AP.
Increasing amplitude: 	69.0436  V/m: 	 no AP.
Increasing amplitude: 	75.2926  V/m: 	 no AP.
Increasing amplitude: 	82.1072  V/m: 	 no AP.
Increasing amplitude: 	89.5385  V/m: 	 no AP.
Increasing amplitude: 	97.6424  V/m: 	 no AP.
Increasing amplitude: 	0.1065 kV/m: 	 no AP.
Increasing amplitude: 	0.1161 kV/m: 	 no AP.
Increasing amplitude: 	0.1266 kV/m: 	 no AP.
Increasing amplitude: 	0.1381 kV/m: 	 no AP.
Increasing amplitude: 	0.1506 kV/m: 	 no AP.
Increasing amplitude: 	0.1642 kV/m: 	 no AP.
Increasing amplitude: 	0.1791 kV/m: 	 no AP.
Increasing amplitude: 	0.1953 kV/m: 	 no AP.
Increasing amplitude: 	0.2130 kV/m: 	 no AP.
Increasing amplitude: 	0.2322 kV/m: 	 no AP.
Increasing amplitude: 	0.2533 kV/m: 	 no AP.
Increasing amplitude: 	0.2762 kV/m: 	 no AP.
Increasing amplitude: 	0.3012 kV/m: 	 no AP.
Increasing amplitude: 	0.3284 kV/m: 	 no AP.
Increasing amplitude: 	0.3582 kV/m: 	 no AP.
Increasing amplitude: 	0.3906 kV/m: 	 no AP.
Increasing amplitude: 	0.4259 kV/m: 	 no AP.
Increasing amplitude: 	0.4645 kV/m: 	 no AP.
Increasing amplitude: 	0.5065 kV/m: 	 no AP.
Increasing amplitude: 	0.5523 kV/m: 	 no AP.
Increasing amplitude: 	0.6023 kV/m: 	 no AP.
Increasing amplitude: 	0.6569 kV/m: 	 no AP.
Increasing amplitude: 	0.7163 kV/m: 	 no AP.
Increasing amplitude: 	0.7811 kV/m: 	 no AP.
Increasing amplitude: 	0.8518 kV/m: 	 no AP.
Increasing amplitude: 	0.9289 kV/m: 	 no AP.
Increasing amplitude: 	1.0130 kV/m: 	 no AP.
Increasing amplitude: 	1.1047 kV/m: 	 no AP.
Increasing amplitude: 	1.2047 kV/m: 	 no AP.
Increasing amplitude: 	1.3137 kV/m: 	 no AP.
Increasing amplitude: 	1.4326 kV/m: 	 no AP.
Increasing amplitude: 	1.5623 kV/m: 	 no AP.
Increasing amplitude: 	1.7037 kV/m: 	 no AP.
Increasing amplitude: 	1.8579 kV/m: 	 no AP.
