Model type: 	Axon terminal with synapse
Parameter ID:	264
Pulse duration in ms:	0.0450
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	30.8095  V/m: 	 no AP.
Increasing amplitude: 	33.5980  V/m: 	 no AP.
Increasing amplitude: 	36.6389  V/m: 	 no AP.
Increasing amplitude: 	39.9550  V/m: 	 no AP.
Increasing amplitude: 	43.5712  V/m: 	 no AP.
Increasing amplitude: 	47.5147  V/m: 	 no AP.
Increasing amplitude: 	51.8152  V/m: 	 no AP.
Increasing amplitude: 	56.5049  V/m: 	 no AP.
Increasing amplitude: 	61.6190  V/m: 	 no AP.
Increasing amplitude: 	67.1960  V/m: 	 no AP.
Increasing amplitude: 	73.2777  V/m: 	 no AP.
Increasing amplitude: 	79.9099  V/m: 	 no AP.
Increasing amplitude: 	87.1424  V/m: 	 no AP.
Increasing amplitude: 	95.0295  V/m: 	 no AP.
Increasing amplitude: 	0.1036 kV/m: 	 no AP.
Increasing amplitude: 	0.1130 kV/m: 	 no AP.
Increasing amplitude: 	0.1232 kV/m: 	 no AP.
Increasing amplitude: 	0.1344 kV/m: 	 no AP.
Increasing amplitude: 	0.1466 kV/m: 	 no AP.
Increasing amplitude: 	0.1598 kV/m: 	 no AP.
Increasing amplitude: 	0.1743 kV/m: 	 no AP.
Increasing amplitude: 	0.1901 kV/m: 	 no AP.
Increasing amplitude: 	0.2073 kV/m: 	 no AP.
Increasing amplitude: 	0.2260 kV/m: 	 no AP.
Increasing amplitude: 	0.2465 kV/m: 	 no AP.
Increasing amplitude: 	0.2688 kV/m: 	 no AP.
Increasing amplitude: 	0.2931 kV/m: 	 no AP.
Increasing amplitude: 	0.3196 kV/m: 	 no AP.
Increasing amplitude: 	0.3486 kV/m: 	 no AP.
Increasing amplitude: 	0.3801 kV/m: 	 no AP.
Increasing amplitude: 	0.4145 kV/m: 	 no AP.
Increasing amplitude: 	0.4520 kV/m: 	 no AP.
Increasing amplitude: 	0.4930 kV/m: 	 no AP.
Increasing amplitude: 	0.5376 kV/m: 	 no AP.
Increasing amplitude: 	0.5862 kV/m: 	 no AP.
Increasing amplitude: 	0.6393 kV/m: 	 no AP.
Increasing amplitude: 	0.6971 kV/m: 	 no AP.
Increasing amplitude: 	0.7602 kV/m: 	 no AP.
Increasing amplitude: 	0.8290 kV/m: 	 no AP.
Increasing amplitude: 	0.9041 kV/m: 	 no AP.
Increasing amplitude: 	0.9859 kV/m: 	 no AP.
Increasing amplitude: 	1.0751 kV/m: 	 no AP.
Increasing amplitude: 	1.1724 kV/m: 	 no AP.
Increasing amplitude: 	1.2786 kV/m: 	 no AP.
Increasing amplitude: 	1.3943 kV/m: 	 no AP.
Increasing amplitude: 	1.5205 kV/m: 	 no AP.
Increasing amplitude: 	1.6581 kV/m: 	 no AP.
Increasing amplitude: 	1.8082 kV/m: 	 no AP.
Increasing amplitude: 	1.9718 kV/m: 	 no AP.
Increasing amplitude: 	2.1503 kV/m: 	 no AP.
Increasing amplitude: 	2.3449 kV/m: 	 no AP.
Increasing amplitude: 	2.5571 kV/m: 	 no AP.
Increasing amplitude: 	2.7886 kV/m: 	 no AP.
Increasing amplitude: 	3.0409 kV/m: 	 no AP.
Increasing amplitude: 	3.3162 kV/m: 	 no AP.
Increasing amplitude: 	3.6163 kV/m: 	 no AP.
Increasing amplitude: 	3.9436 kV/m: 	 no AP.
Increasing amplitude: 	4.3005 kV/m: 	 no AP.
Increasing amplitude: 	4.6898 kV/m: 	 no AP.
Increasing amplitude: 	5.1142 kV/m: 	 no AP.
Increasing amplitude: 	5.5771 kV/m: 	 no AP.
Increasing amplitude: 	6.0819 kV/m: 	 no AP.
Increasing amplitude: 	6.6323 kV/m: 	 no AP.
Increasing amplitude: 	7.2326 kV/m: 	 no AP.
Increasing amplitude: 	7.8872 kV/m: 	 no AP.
Increasing amplitude: 	8.6011 kV/m: 	 no AP.
Increasing amplitude: 	9.3796 kV/m: 	 no AP.
Increasing amplitude: 	10.2285 kV/m: 	 no AP.
Increasing amplitude: 	11.1542 kV/m: 	 no AP.
Increasing amplitude: 	12.1638 kV/m: 	 no AP.
Increasing amplitude: 	13.2647 kV/m: 	 no AP.
Increasing amplitude: 	14.4652 kV/m: 	 no AP.
Increasing amplitude: 	15.7745 kV/m: 	 no AP.
