Model type: 	Axon terminal with synapse
Parameter ID:	552
Pulse duration in ms:	4.5000
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	3.0425  V/m: 	 no AP.
Increasing amplitude: 	3.3179  V/m: 	 no AP.
Increasing amplitude: 	3.6182  V/m: 	 no AP.
Increasing amplitude: 	3.9457  V/m: 	 no AP.
Increasing amplitude: 	4.3028  V/m: 	 no AP.
Increasing amplitude: 	4.6922  V/m: 	 no AP.
Increasing amplitude: 	5.1169  V/m: 	 no AP.
Increasing amplitude: 	5.5800  V/m: 	 no AP.
Increasing amplitude: 	6.0850  V/m: 	 no AP.
Increasing amplitude: 	6.6358  V/m: 	 no AP.
Increasing amplitude: 	7.2364  V/m: 	 no AP.
Increasing amplitude: 	7.8913  V/m: 	 no AP.
Increasing amplitude: 	8.6055  V/m: 	 no AP.
Increasing amplitude: 	9.3844  V/m: 	 no AP.
Increasing amplitude: 	10.2338  V/m: 	 no AP.
Increasing amplitude: 	11.1600  V/m: 	 no AP.
Increasing amplitude: 	12.1701  V/m: 	 no AP.
Increasing amplitude: 	13.2715  V/m: 	 no AP.
Increasing amplitude: 	14.4727  V/m: 	 no AP.
Increasing amplitude: 	15.7826  V/m: 	 no AP.
Increasing amplitude: 	17.2111  V/m: 	 no AP.
Increasing amplitude: 	18.7688  V/m: 	 no AP.
Increasing amplitude: 	20.4675  V/m: 	 no AP.
Increasing amplitude: 	22.3200  V/m: 	 no AP.
Increasing amplitude: 	24.3401  V/m: 	 no AP.
Increasing amplitude: 	26.5431  V/m: 	 no AP.
Increasing amplitude: 	28.9455  V/m: 	 no AP.
Increasing amplitude: 	31.5652  V/m: 	 no AP.
Increasing amplitude: 	34.4221  V/m: 	 no AP.
Increasing amplitude: 	37.5376  V/m: 	 no AP.
Increasing amplitude: 	40.9351  V/m: 	 no AP.
Increasing amplitude: 	44.6400  V/m: 	 no AP.
Increasing amplitude: 	48.6803  V/m: 	 no AP.
Increasing amplitude: 	53.0862  V/m: 	 no AP.
Increasing amplitude: 	57.8909  V/m: 	 no AP.
Increasing amplitude: 	63.1305  V/m: 	 no AP.
Increasing amplitude: 	68.8443  V/m: 	 no AP.
Increasing amplitude: 	75.0752  V/m: 	 no AP.
Increasing amplitude: 	81.8701  V/m: 	 no AP.
Increasing amplitude: 	89.2800  V/m: 	 no AP.
Increasing amplitude: 	97.3605  V/m: 	 no AP.
Increasing amplitude: 	0.1062 kV/m: 	 no AP.
Increasing amplitude: 	0.1158 kV/m: 	 no AP.
Increasing amplitude: 	0.1263 kV/m: 	 no AP.
Increasing amplitude: 	0.1377 kV/m: 	 no AP.
Increasing amplitude: 	0.1502 kV/m: 	 no AP.
Increasing amplitude: 	0.1637 kV/m: 	 no AP.
Increasing amplitude: 	0.1786 kV/m: 	 no AP.
Increasing amplitude: 	0.1947 kV/m: 	 no AP.
Increasing amplitude: 	0.2123 kV/m: 	 no AP.
Increasing amplitude: 	0.2316 kV/m: 	 no AP.
Increasing amplitude: 	0.2525 kV/m: 	 no AP.
Increasing amplitude: 	0.2754 kV/m: 	 no AP.
Increasing amplitude: 	0.3003 kV/m: 	 no AP.
Increasing amplitude: 	0.3275 kV/m: 	 no AP.
Increasing amplitude: 	0.3571 kV/m: 	 no AP.
Increasing amplitude: 	0.3894 kV/m: 	 no AP.
Increasing amplitude: 	0.4247 kV/m: 	 no AP.
Increasing amplitude: 	0.4631 kV/m: 	 no AP.
Increasing amplitude: 	0.5050 kV/m: 	 no AP.
Increasing amplitude: 	0.5508 kV/m: 	 no AP.
Increasing amplitude: 	0.6006 kV/m: 	 no AP.
Increasing amplitude: 	0.6550 kV/m: 	 no AP.
Increasing amplitude: 	0.7142 kV/m: 	 no AP.
Increasing amplitude: 	0.7789 kV/m: 	 no AP.
Increasing amplitude: 	0.8494 kV/m: 	 no AP.
Increasing amplitude: 	0.9263 kV/m: 	 no AP.
Increasing amplitude: 	1.0101 kV/m: 	 no AP.
Increasing amplitude: 	1.1015 kV/m: 	 no AP.
Increasing amplitude: 	1.2012 kV/m: 	 no AP.
Increasing amplitude: 	1.3099 kV/m: 	 no AP.
Increasing amplitude: 	1.4285 kV/m: 	 no AP.
Increasing amplitude: 	1.5578 kV/m: 	 no AP.
Increasing amplitude: 	1.6988 kV/m: 	 no AP.
Increasing amplitude: 	1.8525 kV/m: 	 no AP.
Increasing amplitude: 	2.0202 kV/m: 	 no AP.
Increasing amplitude: 	2.2030 kV/m: 	 no AP.
Increasing amplitude: 	2.4024 kV/m: 	 no AP.
Increasing amplitude: 	2.6198 kV/m: 	 no AP.
Increasing amplitude: 	2.8570 kV/m: 	 no AP.
Increasing amplitude: 	3.1155 kV/m: 	 no AP.
Increasing amplitude: 	3.3975 kV/m: 	 no AP.
Increasing amplitude: 	3.7050 kV/m: 	 no AP.
Increasing amplitude: 	4.0404 kV/m: 	 no AP.
Increasing amplitude: 	4.4060 kV/m: 	 no AP.
Increasing amplitude: 	4.8048 kV/m: 	 no AP.
Increasing amplitude: 	5.2397 kV/m: 	 no AP.
Increasing amplitude: 	5.7139 kV/m: 	 no AP.
Increasing amplitude: 	6.2311 kV/m: 	 no AP.
Increasing amplitude: 	6.7950 kV/m: 	 no AP.
Increasing amplitude: 	7.4100 kV/m: 	 no AP.
Increasing amplitude: 	8.0807 kV/m: 	 no AP.
Increasing amplitude: 	8.8121 kV/m: 	 no AP.
Increasing amplitude: 	9.6096 kV/m: 	 no AP.
Increasing amplitude: 	10.4794 kV/m: 	 no AP.
Increasing amplitude: 	11.4278 kV/m: 	 no AP.
Increasing amplitude: 	12.4621 kV/m: 	 no AP.
Increasing amplitude: 	13.5901 kV/m: 	 no AP.
Increasing amplitude: 	14.8201 kV/m: 	 no AP.
Increasing amplitude: 	16.1614 kV/m: 	 no AP.
Increasing amplitude: 	17.6241 kV/m: 	 no AP.
Increasing amplitude: 	19.2193 kV/m: 	 no AP.
Increasing amplitude: 	20.9587 kV/m: 	 no AP.
Increasing amplitude: 	22.8557 kV/m: 	 no AP.
Increasing amplitude: 	24.9243 kV/m: 	 no AP.
Increasing amplitude: 	27.1801 kV/m: 	 no AP.
Increasing amplitude: 	29.6401 kV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 4.86 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	3.0425  V/m: 	 no AP.
Increasing amplitude: 	3.3179  V/m: 	 no AP.
Increasing amplitude: 	3.6182  V/m: 	 no AP.
Increasing amplitude: 	3.9457  V/m: 	 no AP.
Increasing amplitude: 	4.3028  V/m: 	 no AP.
