Model type: 	Bend axon, orthodromic
Parameter ID:	140
Pulse duration in ms:	0.0068
Field orientation in degrees:	117.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.2066 kV/m: 	 no AP.
Increasing amplitude: 	0.2253 kV/m: 	 no AP.
Increasing amplitude: 	0.2457 kV/m: 	 no AP.
Increasing amplitude: 	0.2679 kV/m: 	 no AP.
Increasing amplitude: 	0.2922 kV/m: 	 no AP.
Increasing amplitude: 	0.3186 kV/m: 	 no AP.
Increasing amplitude: 	0.3475 kV/m: 	 no AP.
Increasing amplitude: 	0.3789 kV/m: 	 no AP.
Increasing amplitude: 	0.4132 kV/m: 	 no AP.
Increasing amplitude: 	0.4506 kV/m: 	 no AP.
Increasing amplitude: 	0.4914 kV/m: 	 no AP.
Increasing amplitude: 	0.5359 kV/m: 	 no AP.
Increasing amplitude: 	0.5844 kV/m: 	 no AP.
Increasing amplitude: 	0.6372 kV/m: 	 no AP.
Increasing amplitude: 	0.6949 kV/m: 	 no AP.
Increasing amplitude: 	0.7578 kV/m: 	 no AP.
Increasing amplitude: 	0.8264 kV/m: 	 no AP.
Increasing amplitude: 	0.9012 kV/m: 	 no AP.
Increasing amplitude: 	0.9828 kV/m: 	 no AP.
Increasing amplitude: 	1.0717 kV/m: 	 no AP.
Increasing amplitude: 	1.1687 kV/m: 	 no AP.
Increasing amplitude: 	1.2745 kV/m: 	 no AP.
Increasing amplitude: 	1.3899 kV/m: 	 no AP.
Increasing amplitude: 	1.5156 kV/m: 	 no AP.
Increasing amplitude: 	1.6528 kV/m: 	 no AP.
Increasing amplitude: 	1.8024 kV/m: 	 no AP.
Increasing amplitude: 	1.9655 kV/m: 	 no AP.
Increasing amplitude: 	2.1434 kV/m: 	 no AP.
Increasing amplitude: 	2.3374 kV/m: 	 no AP.
Increasing amplitude: 	2.5490 kV/m: 	 no AP.
Increasing amplitude: 	2.7797 kV/m: 	 no AP.
Increasing amplitude: 	3.0313 kV/m: 	 no AP.
Increasing amplitude: 	3.3056 kV/m: 	 no AP.
Increasing amplitude: 	3.6048 kV/m: 	 no AP.
Increasing amplitude: 	3.9311 kV/m: 	 no AP.
Increasing amplitude: 	4.2869 kV/m: 	 no AP.
Increasing amplitude: 	4.6749 kV/m: 	 no AP.
Increasing amplitude: 	5.0980 kV/m: 	 no AP.
Increasing amplitude: 	5.5594 kV/m: 	 no AP.
Increasing amplitude: 	6.0626 kV/m: 	 no AP.
Increasing amplitude: 	6.6113 kV/m: 	 no AP.
Increasing amplitude: 	7.2097 kV/m: 	 no AP.
