Model type: 	Bend axon, orthodromic
Parameter ID:	96
Pulse duration in ms:	0.0031
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.4513 kV/m: 	 no AP.
Increasing amplitude: 	0.4921 kV/m: 	 no AP.
Increasing amplitude: 	0.5366 kV/m: 	 no AP.
Increasing amplitude: 	0.5852 kV/m: 	 no AP.
Increasing amplitude: 	0.6382 kV/m: 	 no AP.
Increasing amplitude: 	0.6959 kV/m: 	 no AP.
Increasing amplitude: 	0.7589 kV/m: 	 no AP.
Increasing amplitude: 	0.8276 kV/m: 	 no AP.
Increasing amplitude: 	0.9025 kV/m: 	 no AP.
Increasing amplitude: 	0.9842 kV/m: 	 no AP.
Increasing amplitude: 	1.0733 kV/m: 	 no AP.
Increasing amplitude: 	1.1704 kV/m: 	 no AP.
Increasing amplitude: 	1.2764 kV/m: 	 no AP.
Increasing amplitude: 	1.3919 kV/m: 	 no AP.
Increasing amplitude: 	1.5179 kV/m: 	 no AP.
Increasing amplitude: 	1.6552 kV/m: 	 no AP.
Increasing amplitude: 	1.8051 kV/m: 	 no AP.
Increasing amplitude: 	1.9684 kV/m: 	 no AP.
Increasing amplitude: 	2.1466 kV/m: 	 no AP.
Increasing amplitude: 	2.3409 kV/m: 	 no AP.
Increasing amplitude: 	2.5527 kV/m: 	 no AP.
Increasing amplitude: 	2.7838 kV/m: 	 no AP.
Increasing amplitude: 	3.0357 kV/m: 	 no AP.
Increasing amplitude: 	3.3105 kV/m: 	 no AP.
Increasing amplitude: 	3.6101 kV/m: 	 no AP.
Increasing amplitude: 	3.9369 kV/m: 	 no AP.
Increasing amplitude: 	4.2932 kV/m: 	 no AP.
Increasing amplitude: 	4.6817 kV/m: 	 no AP.
Increasing amplitude: 	5.1055 kV/m: 	 no AP.
Increasing amplitude: 	5.5675 kV/m: 	 no AP.
Increasing amplitude: 	6.0715 kV/m: 	 no AP.
Increasing amplitude: 	6.6210 kV/m: 	 no AP.
Increasing amplitude: 	7.2202 kV/m: 	 no AP.
Increasing amplitude: 	7.8737 kV/m: 	 no AP.
Increasing amplitude: 	8.5863 kV/m: 	 no AP.
Increasing amplitude: 	9.3635 kV/m: 	 no AP.
Increasing amplitude: 	10.2109 kV/m: 	 no AP.
Increasing amplitude: 	11.1351 kV/m: 	 no AP.
Increasing amplitude: 	12.1429 kV/m: 	 no AP.
Increasing amplitude: 	13.2419 kV/m: 	 no AP.
Increasing amplitude: 	14.4404 kV/m: 	 no AP.
Increasing amplitude: 	15.7474 kV/m: 	 no AP.
Increasing amplitude: 	17.1727 kV/m: 	 no AP.
Increasing amplitude: 	18.7269 kV/m: 	 no AP.
Increasing amplitude: 	20.4219 kV/m: 	 no AP.
Increasing amplitude: 	22.2702 kV/m: 	 no AP.
Increasing amplitude: 	24.2858 kV/m: 	 no AP.
Increasing amplitude: 	26.4839 kV/m: 	 no AP.
Increasing amplitude: 	28.8809 kV/m: 	 no AP.
Increasing amplitude: 	31.4948 kV/m: 	 no AP.
Increasing amplitude: 	34.3453 kV/m: 	 no AP.
Increasing amplitude: 	37.4539 kV/m: 	 no AP.
Increasing amplitude: 	40.8437 kV/m: 	 no AP.
Increasing amplitude: 	44.5404 kV/m: 	 no AP.
Increasing amplitude: 	48.5717 kV/m: 	 no AP.
Increasing amplitude: 	52.9678 kV/m: 	 no AP.
Increasing amplitude: 	57.7618 kV/m: 	 no AP.
Increasing amplitude: 	62.9896 kV/m: 	 no AP.
Increasing amplitude: 	68.6907 kV/m: 	 no AP.
Increasing amplitude: 	74.9077 kV/m: 	 no AP.
Increasing amplitude: 	81.6875 kV/m: 	 no AP.
Increasing amplitude: 	89.0808 kV/m: 	 no AP.
Increasing amplitude: 	97.1433 kV/m: 	 no AP.
Increasing amplitude: 	0.1059 MV/m: 	 no AP.
Increasing amplitude: 	0.1155 MV/m: 	 no AP.
Increasing amplitude: 	0.1260 MV/m: 	 no AP.
Increasing amplitude: 	0.1374 MV/m: 	 no AP.
Increasing amplitude: 	0.1498 MV/m: 	 no AP.
Increasing amplitude: 	0.1634 MV/m: 	 no AP.
Increasing amplitude: 	0.1782 MV/m: 	 no AP.
Increasing amplitude: 	0.1943 MV/m: 	 no AP.
Increasing amplitude: 	0.2119 MV/m: 	 no AP.
Increasing amplitude: 	0.2310 MV/m: 	 no AP.
Increasing amplitude: 	0.2520 MV/m: 	 no AP.
Increasing amplitude: 	0.2748 MV/m: 	 no AP.
Increasing amplitude: 	0.2996 MV/m: 	 no AP.
Increasing amplitude: 	0.3267 MV/m: 	 no AP.
Increasing amplitude: 	0.3563 MV/m: 	 no AP.
Increasing amplitude: 	0.3886 MV/m: 	 no AP.
Increasing amplitude: 	0.4237 MV/m: 	 no AP.
Increasing amplitude: 	0.4621 MV/m: 	 no AP.
Increasing amplitude: 	0.5039 MV/m: 	 no AP.
Increasing amplitude: 	0.5495 MV/m: 	 no AP.
Increasing amplitude: 	0.5993 MV/m: 	 no AP.
Increasing amplitude: 	0.6535 MV/m: 	 no AP.
Increasing amplitude: 	0.7126 MV/m: 	 no AP.
Increasing amplitude: 	0.7771 MV/m: 	 no AP.
Increasing amplitude: 	0.8475 MV/m: 	 no AP.
Increasing amplitude: 	0.9242 MV/m: 	 no AP.
Increasing amplitude: 	1.0078 MV/m: 	 no AP.
Increasing amplitude: 	1.0991 MV/m: 	 no AP.
Increasing amplitude: 	1.1985 MV/m: 	 no AP.
Increasing amplitude: 	1.3070 MV/m: 	 no AP.
Increasing amplitude: 	1.4253 MV/m: 	 no AP.
Increasing amplitude: 	1.5543 MV/m: 	 no AP.
Increasing amplitude: 	1.6950 MV/m: 	 no AP.
Increasing amplitude: 	1.8484 MV/m: 	 no AP.
Increasing amplitude: 	2.0157 MV/m: 	 no AP.
Increasing amplitude: 	2.1981 MV/m: 	 no AP.
Increasing amplitude: 	2.3970 MV/m: 	 no AP.
Increasing amplitude: 	2.6140 MV/m: 	 no AP.
Increasing amplitude: 	2.8506 MV/m: 	 no AP.
Increasing amplitude: 	3.1086 MV/m: 	 no AP.
Increasing amplitude: 	3.3899 MV/m: 	 no AP.
Increasing amplitude: 	3.6968 MV/m: 	 no AP.
