Model type: 	Bend axon, orthodromic
Parameter ID:	70
Pulse duration in ms:	0.0021
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.6654 kV/m: 	 no AP.
Increasing amplitude: 	0.7256 kV/m: 	 no AP.
Increasing amplitude: 	0.7913 kV/m: 	 no AP.
Increasing amplitude: 	0.8629 kV/m: 	 no AP.
Increasing amplitude: 	0.9410 kV/m: 	 no AP.
Increasing amplitude: 	1.0262 kV/m: 	 no AP.
Increasing amplitude: 	1.1190 kV/m: 	 no AP.
Increasing amplitude: 	1.2203 kV/m: 	 no AP.
Increasing amplitude: 	1.3308 kV/m: 	 no AP.
Increasing amplitude: 	1.4512 kV/m: 	 no AP.
Increasing amplitude: 	1.5826 kV/m: 	 no AP.
Increasing amplitude: 	1.7258 kV/m: 	 no AP.
Increasing amplitude: 	1.8820 kV/m: 	 no AP.
Increasing amplitude: 	2.0523 kV/m: 	 no AP.
Increasing amplitude: 	2.2381 kV/m: 	 no AP.
Increasing amplitude: 	2.4406 kV/m: 	 no AP.
Increasing amplitude: 	2.6615 kV/m: 	 no AP.
Increasing amplitude: 	2.9024 kV/m: 	 no AP.
Increasing amplitude: 	3.1651 kV/m: 	 no AP.
Increasing amplitude: 	3.4516 kV/m: 	 no AP.
Increasing amplitude: 	3.7640 kV/m: 	 no AP.
Increasing amplitude: 	4.1046 kV/m: 	 no AP.
Increasing amplitude: 	4.4761 kV/m: 	 no AP.
Increasing amplitude: 	4.8813 kV/m: 	 no AP.
Increasing amplitude: 	5.3231 kV/m: 	 no AP.
Increasing amplitude: 	5.8048 kV/m: 	 no AP.
Increasing amplitude: 	6.3302 kV/m: 	 no AP.
Increasing amplitude: 	6.9032 kV/m: 	 no AP.
Increasing amplitude: 	7.5279 kV/m: 	 no AP.
Increasing amplitude: 	8.2093 kV/m: 	 no AP.
Increasing amplitude: 	8.9523 kV/m: 	 no AP.
Increasing amplitude: 	9.7625 kV/m: 	 no AP.
Increasing amplitude: 	10.6461 kV/m: 	 no AP.
Increasing amplitude: 	11.6097 kV/m: 	 no AP.
Increasing amplitude: 	12.6604 kV/m: 	 no AP.
Increasing amplitude: 	13.8063 kV/m: 	 no AP.
Increasing amplitude: 	15.0559 kV/m: 	 no AP.
Increasing amplitude: 	16.4186 kV/m: 	 no AP.
Increasing amplitude: 	17.9046 kV/m: 	 no AP.
Increasing amplitude: 	19.5251 kV/m: 	 no AP.
Increasing amplitude: 	21.2922 kV/m: 	 no AP.
