Model type: 	Bend axon, orthodromic
Parameter ID:	187
Pulse duration in ms:	0.0140
Field orientation in degrees:	115.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.1012 kV/m: 	 no AP.
Increasing amplitude: 	0.1103 kV/m: 	 no AP.
Increasing amplitude: 	0.1203 kV/m: 	 no AP.
Increasing amplitude: 	0.1312 kV/m: 	 no AP.
Increasing amplitude: 	0.1431 kV/m: 	 no AP.
Increasing amplitude: 	0.1560 kV/m: 	 no AP.
Increasing amplitude: 	0.1702 kV/m: 	 no AP.
Increasing amplitude: 	0.1856 kV/m: 	 no AP.
Increasing amplitude: 	0.2024 kV/m: 	 no AP.
Increasing amplitude: 	0.2207 kV/m: 	 no AP.
Increasing amplitude: 	0.2407 kV/m: 	 no AP.
Increasing amplitude: 	0.2624 kV/m: 	 no AP.
Increasing amplitude: 	0.2862 kV/m: 	 no AP.
Increasing amplitude: 	0.3121 kV/m: 	 no AP.
Increasing amplitude: 	0.3403 kV/m: 	 no AP.
Increasing amplitude: 	0.3711 kV/m: 	 no AP.
Increasing amplitude: 	0.4047 kV/m: 	 no AP.
Increasing amplitude: 	0.4414 kV/m: 	 no AP.
Increasing amplitude: 	0.4813 kV/m: 	 no AP.
Increasing amplitude: 	0.5249 kV/m: 	 no AP.
Increasing amplitude: 	0.5724 kV/m: 	 no AP.
Increasing amplitude: 	0.6242 kV/m: 	 no AP.
Increasing amplitude: 	0.6807 kV/m: 	 no AP.
Increasing amplitude: 	0.7423 kV/m: 	 no AP.
Increasing amplitude: 	0.8095 kV/m: 	 no AP.
Increasing amplitude: 	0.8827 kV/m: 	 no AP.
Increasing amplitude: 	0.9626 kV/m: 	 no AP.
Increasing amplitude: 	1.0498 kV/m: 	 no AP.
Increasing amplitude: 	1.1448 kV/m: 	 no AP.
Increasing amplitude: 	1.2484 kV/m: 	 no AP.
Increasing amplitude: 	1.3614 kV/m: 	 no AP.
Increasing amplitude: 	1.4846 kV/m: 	 no AP.
Increasing amplitude: 	1.6190 kV/m: 	 no AP.
Increasing amplitude: 	1.7655 kV/m: 	 no AP.
Increasing amplitude: 	1.9253 kV/m: 	 no AP.
Increasing amplitude: 	2.0995 kV/m: 	 no AP.
Increasing amplitude: 	2.2895 kV/m: 	 no AP.
Increasing amplitude: 	2.4968 kV/m: 	 no AP.
Increasing amplitude: 	2.7227 kV/m: 	 no AP.
Increasing amplitude: 	2.9692 kV/m: 	 no AP.
Increasing amplitude: 	3.2379 kV/m: 	 no AP.
Increasing amplitude: 	3.5310 kV/m: 	 no AP.
Increasing amplitude: 	3.8505 kV/m: 	 no AP.
Increasing amplitude: 	4.1990 kV/m: 	 no AP.
Increasing amplitude: 	4.5791 kV/m: 	 no AP.
Increasing amplitude: 	4.9935 kV/m: 	 no AP.
Increasing amplitude: 	5.4455 kV/m: 	 no AP.
Increasing amplitude: 	5.9384 kV/m: 	 no AP.
Increasing amplitude: 	6.4758 kV/m: 	 no AP.
Increasing amplitude: 	7.0619 kV/m: 	 no AP.
Increasing amplitude: 	7.7011 kV/m: 	 no AP.
Increasing amplitude: 	8.3981 kV/m: 	 no AP.
Increasing amplitude: 	9.1582 kV/m: 	 no AP.
Increasing amplitude: 	9.9871 kV/m: 	 no AP.
Increasing amplitude: 	10.8910 kV/m: 	 no AP.
Increasing amplitude: 	11.8767 kV/m: 	 no AP.
Increasing amplitude: 	12.9516 kV/m: 	 no AP.
Increasing amplitude: 	14.1239 kV/m: 	 no AP.
Increasing amplitude: 	15.4022 kV/m: 	 no AP.
Increasing amplitude: 	16.7962 kV/m: 	 no AP.
Increasing amplitude: 	18.3164 kV/m: 	 no AP.
Increasing amplitude: 	19.9742 kV/m: 	 no AP.
Increasing amplitude: 	21.7820 kV/m: 	 no AP.
Increasing amplitude: 	23.7534 kV/m: 	 no AP.
Increasing amplitude: 	25.9033 kV/m: 	 no AP.
Increasing amplitude: 	28.2477 kV/m: 	 no AP.
Increasing amplitude: 	30.8044 kV/m: 	 no AP.
Increasing amplitude: 	33.5924 kV/m: 	 no AP.
Increasing amplitude: 	36.6328 kV/m: 	 no AP.
Increasing amplitude: 	39.9483 kV/m: 	 no AP.
Increasing amplitude: 	43.5639 kV/m: 	 no AP.
Increasing amplitude: 	47.5068 kV/m: 	 no AP.
Increasing amplitude: 	51.8066 kV/m: 	 no AP.
Increasing amplitude: 	56.4954 kV/m: 	 no AP.
Increasing amplitude: 	61.6087 kV/m: 	 no AP.
Increasing amplitude: 	67.1848 kV/m: 	 no AP.
Increasing amplitude: 	73.2655 kV/m: 	 no AP.
Increasing amplitude: 	79.8966 kV/m: 	 no AP.
Increasing amplitude: 	87.1279 kV/m: 	 no AP.
Increasing amplitude: 	95.0136 kV/m: 	 no AP.
Increasing amplitude: 	0.1036 MV/m: 	 no AP.
Increasing amplitude: 	0.1130 MV/m: 	 no AP.
Increasing amplitude: 	0.1232 MV/m: 	 no AP.
Increasing amplitude: 	0.1344 MV/m: 	 no AP.
Increasing amplitude: 	0.1465 MV/m: 	 no AP.
Increasing amplitude: 	0.1598 MV/m: 	 no AP.
Increasing amplitude: 	0.1743 MV/m: 	 no AP.
Increasing amplitude: 	0.1900 MV/m: 	 no AP.
Increasing amplitude: 	0.2072 MV/m: 	 no AP.
Increasing amplitude: 	0.2260 MV/m: 	 no AP.
Increasing amplitude: 	0.2464 MV/m: 	 no AP.
Increasing amplitude: 	0.2687 MV/m: 	 no AP.
Increasing amplitude: 	0.2931 MV/m: 	 no AP.
Increasing amplitude: 	0.3196 MV/m: 	 no AP.
Increasing amplitude: 	0.3485 MV/m: 	 no AP.
Increasing amplitude: 	0.3801 MV/m: 	 no AP.
Increasing amplitude: 	0.4145 MV/m: 	 no AP.
Increasing amplitude: 	0.4520 MV/m: 	 no AP.
Increasing amplitude: 	0.4929 MV/m: 	 no AP.
Increasing amplitude: 	0.5375 MV/m: 	 no AP.
Increasing amplitude: 	0.5861 MV/m: 	 no AP.
Increasing amplitude: 	0.6392 MV/m: 	 no AP.
Increasing amplitude: 	0.6970 MV/m: 	 no AP.
Increasing amplitude: 	0.7601 MV/m: 	 no AP.
Increasing amplitude: 	0.8289 MV/m: 	 no AP.
Increasing amplitude: 	0.9039 MV/m: 	 no AP.
Increasing amplitude: 	0.9857 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 1.25 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.1012 kV/m: 	 no AP.
Increasing amplitude: 	0.1103 kV/m: 	 no AP.
Increasing amplitude: 	0.1203 kV/m: 	 no AP.
Increasing amplitude: 	0.1312 kV/m: 	 no AP.
Increasing amplitude: 	0.1431 kV/m: 	 no AP.
Increasing amplitude: 	0.1560 kV/m: 	 no AP.
Increasing amplitude: 	0.1702 kV/m: 	 no AP.
Increasing amplitude: 	0.1856 kV/m: 	 no AP.
Increasing amplitude: 	0.2024 kV/m: 	 no AP.
Increasing amplitude: 	0.2207 kV/m: 	 no AP.
Increasing amplitude: 	0.2407 kV/m: 	 no AP.
Increasing amplitude: 	0.2624 kV/m: 	 no AP.
Increasing amplitude: 	0.2862 kV/m: 	 no AP.
Increasing amplitude: 	0.3121 kV/m: 	 no AP.
Increasing amplitude: 	0.3403 kV/m: 	 no AP.
Increasing amplitude: 	0.3711 kV/m: 	 no AP.
Increasing amplitude: 	0.4047 kV/m: 	 no AP.
Increasing amplitude: 	0.4414 kV/m: 	 no AP.
Increasing amplitude: 	0.4813 kV/m: 	 no AP.
Increasing amplitude: 	0.5249 kV/m: 	 no AP.
Increasing amplitude: 	0.5724 kV/m: 	 no AP.
Increasing amplitude: 	0.6242 kV/m: 	 no AP.
Increasing amplitude: 	0.6807 kV/m: 	 no AP.
Increasing amplitude: 	0.7423 kV/m: 	 no AP.
Increasing amplitude: 	0.8095 kV/m: 	 no AP.
Increasing amplitude: 	0.8827 kV/m: 	 no AP.
Increasing amplitude: 	0.9626 kV/m: 	 no AP.
Increasing amplitude: 	1.0498 kV/m: 	 no AP.
Increasing amplitude: 	1.1448 kV/m: 	 no AP.
Increasing amplitude: 	1.2484 kV/m: 	 no AP.
Increasing amplitude: 	1.3614 kV/m: 	 no AP.
Increasing amplitude: 	1.4846 kV/m: 	 no AP.
Increasing amplitude: 	1.6190 kV/m: 	 no AP.
Increasing amplitude: 	1.7655 kV/m: 	 no AP.
Increasing amplitude: 	1.9253 kV/m: 	 no AP.
Increasing amplitude: 	2.0995 kV/m: 	 no AP.
Increasing amplitude: 	2.2895 kV/m: 	 no AP.
Increasing amplitude: 	2.4968 kV/m: 	 no AP.
Increasing amplitude: 	2.7227 kV/m: 	 no AP.
Increasing amplitude: 	2.9692 kV/m: 	 no AP.
Increasing amplitude: 	3.2379 kV/m: 	 no AP.
Increasing amplitude: 	3.5310 kV/m: 	 no AP.
Increasing amplitude: 	3.8505 kV/m: 	 no AP.
Increasing amplitude: 	4.1990 kV/m: 	 no AP.
Increasing amplitude: 	4.5791 kV/m: 	 no AP.
Increasing amplitude: 	4.9935 kV/m: 	 no AP.
Increasing amplitude: 	5.4455 kV/m: 	 no AP.
Increasing amplitude: 	5.9384 kV/m: 	 no AP.
Increasing amplitude: 	6.4758 kV/m: 	 no AP.
Increasing amplitude: 	7.0619 kV/m: 	 no AP.
Increasing amplitude: 	7.7011 kV/m: 	 no AP.
Increasing amplitude: 	8.3981 kV/m: 	 no AP.
Increasing amplitude: 	9.1582 kV/m: 	 no AP.
Increasing amplitude: 	9.9871 kV/m: 	 no AP.
Increasing amplitude: 	10.8910 kV/m: 	 no AP.
Increasing amplitude: 	11.8767 kV/m: 	 no AP.
Increasing amplitude: 	12.9516 kV/m: 	 no AP.
Increasing amplitude: 	14.1239 kV/m: 	 no AP.
Increasing amplitude: 	15.4022 kV/m: 	 AP.
Lower bound: 14.1239 kV/m.   Upper bound: 15.4022 kV/m.   Search amplitude: 14.7492 kV/m: no AP.
Lower bound: 14.7492 kV/m.   Upper bound: 15.4022 kV/m.   Search amplitude: 15.0721 kV/m: AP.
Lower bound: 14.7492 kV/m.   Upper bound: 15.0721 kV/m.   Search amplitude: 14.9098 kV/m: AP.
Lower bound: 14.7492 kV/m.   Upper bound: 14.9098 kV/m.   Search amplitude: 14.8293 kV/m: no AP.
Lower bound: 14.8293 kV/m.   Upper bound: 14.9098 kV/m.   Search amplitude: 14.8695 kV/m: AP.
Binary search ended. Threshold: 14.8695 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 2.69 min.
 
-----------------------------------------------------------
Total run time: 3.946 min.
Results saved in UF_BndO_RMG/Results/result_187.mat.
