Model type: 	Bend axon, orthodromic
Parameter ID:	24
Pulse duration in ms:	0.0010
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	1.3955 kV/m: 	 no AP.
Increasing amplitude: 	1.5218 kV/m: 	 no AP.
Increasing amplitude: 	1.6596 kV/m: 	 no AP.
Increasing amplitude: 	1.8098 kV/m: 	 no AP.
Increasing amplitude: 	1.9736 kV/m: 	 no AP.
Increasing amplitude: 	2.1522 kV/m: 	 no AP.
Increasing amplitude: 	2.3470 kV/m: 	 no AP.
Increasing amplitude: 	2.5594 kV/m: 	 no AP.
Increasing amplitude: 	2.7911 kV/m: 	 no AP.
Increasing amplitude: 	3.0437 kV/m: 	 no AP.
Increasing amplitude: 	3.3191 kV/m: 	 no AP.
Increasing amplitude: 	3.6196 kV/m: 	 no AP.
Increasing amplitude: 	3.9472 kV/m: 	 no AP.
Increasing amplitude: 	4.3044 kV/m: 	 no AP.
Increasing amplitude: 	4.6940 kV/m: 	 no AP.
Increasing amplitude: 	5.1188 kV/m: 	 no AP.
Increasing amplitude: 	5.5821 kV/m: 	 no AP.
Increasing amplitude: 	6.0873 kV/m: 	 no AP.
Increasing amplitude: 	6.6383 kV/m: 	 no AP.
Increasing amplitude: 	7.2391 kV/m: 	 no AP.
Increasing amplitude: 	7.8943 kV/m: 	 no AP.
Increasing amplitude: 	8.6088 kV/m: 	 no AP.
Increasing amplitude: 	9.3880 kV/m: 	 no AP.
Increasing amplitude: 	10.2377 kV/m: 	 no AP.
Increasing amplitude: 	11.1642 kV/m: 	 no AP.
Increasing amplitude: 	12.1747 kV/m: 	 no AP.
Increasing amplitude: 	13.2766 kV/m: 	 no AP.
Increasing amplitude: 	14.4782 kV/m: 	 no AP.
Increasing amplitude: 	15.7886 kV/m: 	 no AP.
Increasing amplitude: 	17.2176 kV/m: 	 no AP.
Increasing amplitude: 	18.7759 kV/m: 	 no AP.
Increasing amplitude: 	20.4753 kV/m: 	 no AP.
Increasing amplitude: 	22.3285 kV/m: 	 no AP.
Increasing amplitude: 	24.3494 kV/m: 	 no AP.
Increasing amplitude: 	26.5532 kV/m: 	 no AP.
Increasing amplitude: 	28.9565 kV/m: 	 no AP.
Increasing amplitude: 	31.5772 kV/m: 	 no AP.
Increasing amplitude: 	34.4352 kV/m: 	 no AP.
Increasing amplitude: 	37.5519 kV/m: 	 no AP.
Increasing amplitude: 	40.9506 kV/m: 	 no AP.
Increasing amplitude: 	44.6570 kV/m: 	 no AP.
Increasing amplitude: 	48.6988 kV/m: 	 no AP.
Increasing amplitude: 	53.1064 kV/m: 	 no AP.
Increasing amplitude: 	57.9129 kV/m: 	 no AP.
Increasing amplitude: 	63.1545 kV/m: 	 no AP.
Increasing amplitude: 	68.8705 kV/m: 	 no AP.
Increasing amplitude: 	75.1038 kV/m: 	 no AP.
Increasing amplitude: 	81.9013 kV/m: 	 no AP.
Increasing amplitude: 	89.3139 kV/m: 	 no AP.
