Model type: 	Bend axon, orthodromic
Parameter ID:	167
Pulse duration in ms:	0.0100
Field orientation in degrees:	130.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.1410 kV/m: 	 no AP.
Increasing amplitude: 	0.1538 kV/m: 	 no AP.
Increasing amplitude: 	0.1677 kV/m: 	 no AP.
Increasing amplitude: 	0.1829 kV/m: 	 no AP.
Increasing amplitude: 	0.1994 kV/m: 	 no AP.
Increasing amplitude: 	0.2175 kV/m: 	 no AP.
Increasing amplitude: 	0.2371 kV/m: 	 no AP.
Increasing amplitude: 	0.2586 kV/m: 	 no AP.
Increasing amplitude: 	0.2820 kV/m: 	 no AP.
Increasing amplitude: 	0.3075 kV/m: 	 no AP.
Increasing amplitude: 	0.3354 kV/m: 	 no AP.
Increasing amplitude: 	0.3657 kV/m: 	 no AP.
Increasing amplitude: 	0.3988 kV/m: 	 no AP.
Increasing amplitude: 	0.4349 kV/m: 	 no AP.
Increasing amplitude: 	0.4743 kV/m: 	 no AP.
Increasing amplitude: 	0.5172 kV/m: 	 no AP.
Increasing amplitude: 	0.5640 kV/m: 	 no AP.
Increasing amplitude: 	0.6151 kV/m: 	 no AP.
Increasing amplitude: 	0.6708 kV/m: 	 no AP.
Increasing amplitude: 	0.7315 kV/m: 	 no AP.
Increasing amplitude: 	0.7977 kV/m: 	 no AP.
Increasing amplitude: 	0.8699 kV/m: 	 no AP.
Increasing amplitude: 	0.9486 kV/m: 	 no AP.
Increasing amplitude: 	1.0344 kV/m: 	 no AP.
Increasing amplitude: 	1.1281 kV/m: 	 no AP.
Increasing amplitude: 	1.2302 kV/m: 	 no AP.
Increasing amplitude: 	1.3415 kV/m: 	 no AP.
Increasing amplitude: 	1.4629 kV/m: 	 no AP.
Increasing amplitude: 	1.5953 kV/m: 	 no AP.
Increasing amplitude: 	1.7397 kV/m: 	 no AP.
Increasing amplitude: 	1.8972 kV/m: 	 no AP.
Increasing amplitude: 	2.0689 kV/m: 	 no AP.
Increasing amplitude: 	2.2561 kV/m: 	 no AP.
Increasing amplitude: 	2.4603 kV/m: 	 no AP.
Increasing amplitude: 	2.6830 kV/m: 	 no AP.
Increasing amplitude: 	2.9258 kV/m: 	 no AP.
Increasing amplitude: 	3.1907 kV/m: 	 no AP.
Increasing amplitude: 	3.4794 kV/m: 	 no AP.
Increasing amplitude: 	3.7944 kV/m: 	 no AP.
Increasing amplitude: 	4.1378 kV/m: 	 no AP.
Increasing amplitude: 	4.5123 kV/m: 	 no AP.
Increasing amplitude: 	4.9207 kV/m: 	 no AP.
Increasing amplitude: 	5.3660 kV/m: 	 no AP.
Increasing amplitude: 	5.8517 kV/m: 	 no AP.
Increasing amplitude: 	6.3813 kV/m: 	 no AP.
Increasing amplitude: 	6.9589 kV/m: 	 no AP.
Increasing amplitude: 	7.5887 kV/m: 	 no AP.
Increasing amplitude: 	8.2755 kV/m: 	 no AP.
Increasing amplitude: 	9.0245 kV/m: 	 no AP.
Increasing amplitude: 	9.8413 kV/m: 	 no AP.
Increasing amplitude: 	10.7320 kV/m: 	 no AP.
Increasing amplitude: 	11.7034 kV/m: 	 no AP.
Increasing amplitude: 	12.7626 kV/m: 	 no AP.
Increasing amplitude: 	13.9177 kV/m: 	 no AP.
Increasing amplitude: 	15.1774 kV/m: 	 no AP.
Increasing amplitude: 	16.5511 kV/m: 	 no AP.
Increasing amplitude: 	18.0491 kV/m: 	 no AP.
Increasing amplitude: 	19.6827 kV/m: 	 no AP.
Increasing amplitude: 	21.4641 kV/m: 	 no AP.
Increasing amplitude: 	23.4068 kV/m: 	 no AP.
Increasing amplitude: 	25.5253 kV/m: 	 no AP.
Increasing amplitude: 	27.8355 kV/m: 	 no AP.
Increasing amplitude: 	30.3548 kV/m: 	 no AP.
Increasing amplitude: 	33.1022 kV/m: 	 no AP.
Increasing amplitude: 	36.0982 kV/m: 	 no AP.
Increasing amplitude: 	39.3653 kV/m: 	 no AP.
Increasing amplitude: 	42.9282 kV/m: 	 no AP.
Increasing amplitude: 	46.8135 kV/m: 	 no AP.
Increasing amplitude: 	51.0505 kV/m: 	 no AP.
Increasing amplitude: 	55.6710 kV/m: 	 no AP.
Increasing amplitude: 	60.7096 kV/m: 	 no AP.
Increasing amplitude: 	66.2043 kV/m: 	 no AP.
Increasing amplitude: 	72.1963 kV/m: 	 no AP.
Increasing amplitude: 	78.7307 kV/m: 	 no AP.
Increasing amplitude: 	85.8564 kV/m: 	 no AP.
Increasing amplitude: 	93.6271 kV/m: 	 no AP.
Increasing amplitude: 	0.1021 MV/m: 	 no AP.
Increasing amplitude: 	0.1113 MV/m: 	 no AP.
Increasing amplitude: 	0.1214 MV/m: 	 no AP.
Increasing amplitude: 	0.1324 MV/m: 	 no AP.
Increasing amplitude: 	0.1444 MV/m: 	 no AP.
Increasing amplitude: 	0.1575 MV/m: 	 no AP.
Increasing amplitude: 	0.1717 MV/m: 	 no AP.
Increasing amplitude: 	0.1873 MV/m: 	 no AP.
Increasing amplitude: 	0.2042 MV/m: 	 no AP.
Increasing amplitude: 	0.2227 MV/m: 	 no AP.
Increasing amplitude: 	0.2428 MV/m: 	 no AP.
Increasing amplitude: 	0.2648 MV/m: 	 no AP.
Increasing amplitude: 	0.2888 MV/m: 	 no AP.
Increasing amplitude: 	0.3149 MV/m: 	 no AP.
Increasing amplitude: 	0.3434 MV/m: 	 no AP.
Increasing amplitude: 	0.3745 MV/m: 	 no AP.
Increasing amplitude: 	0.4084 MV/m: 	 no AP.
Increasing amplitude: 	0.4454 MV/m: 	 no AP.
Increasing amplitude: 	0.4857 MV/m: 	 no AP.
Increasing amplitude: 	0.5296 MV/m: 	 no AP.
Increasing amplitude: 	0.5776 MV/m: 	 no AP.
Increasing amplitude: 	0.6298 MV/m: 	 no AP.
Increasing amplitude: 	0.6869 MV/m: 	 no AP.
Increasing amplitude: 	0.7490 MV/m: 	 no AP.
Increasing amplitude: 	0.8168 MV/m: 	 no AP.
Increasing amplitude: 	0.8907 MV/m: 	 no AP.
Increasing amplitude: 	0.9714 MV/m: 	 no AP.
Increasing amplitude: 	1.0593 MV/m: 	 no AP.
Increasing amplitude: 	1.1551 MV/m: 	 no AP.
Increasing amplitude: 	1.2597 MV/m: 	 no AP.
Increasing amplitude: 	1.3737 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 2.45 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.1410 kV/m: 	 no AP.
Increasing amplitude: 	0.1538 kV/m: 	 no AP.
Increasing amplitude: 	0.1677 kV/m: 	 no AP.
Increasing amplitude: 	0.1829 kV/m: 	 no AP.
Increasing amplitude: 	0.1994 kV/m: 	 no AP.
Increasing amplitude: 	0.2175 kV/m: 	 no AP.
Increasing amplitude: 	0.2371 kV/m: 	 no AP.
Increasing amplitude: 	0.2586 kV/m: 	 no AP.
Increasing amplitude: 	0.2820 kV/m: 	 no AP.
Increasing amplitude: 	0.3075 kV/m: 	 no AP.
Increasing amplitude: 	0.3354 kV/m: 	 no AP.
Increasing amplitude: 	0.3657 kV/m: 	 no AP.
Increasing amplitude: 	0.3988 kV/m: 	 no AP.
Increasing amplitude: 	0.4349 kV/m: 	 no AP.
Increasing amplitude: 	0.4743 kV/m: 	 no AP.
Increasing amplitude: 	0.5172 kV/m: 	 no AP.
Increasing amplitude: 	0.5640 kV/m: 	 no AP.
Increasing amplitude: 	0.6151 kV/m: 	 no AP.
Increasing amplitude: 	0.6708 kV/m: 	 no AP.
Increasing amplitude: 	0.7315 kV/m: 	 no AP.
Increasing amplitude: 	0.7977 kV/m: 	 no AP.
Increasing amplitude: 	0.8699 kV/m: 	 no AP.
Increasing amplitude: 	0.9486 kV/m: 	 no AP.
Increasing amplitude: 	1.0344 kV/m: 	 no AP.
